concept_id,concept_name,domain_id,vocabulary_id,concept_class_id,standard_concept,concept_code,valid_start_date,valid_end_date,invalid_reason
313226,Carotid artery occlusion,Condition,SNOMED,Disorder,S,266254007,2002-01-31,2099-12-31,NA
314667,Nonpyogenic thrombosis of intracranial venous sinus,Condition,SNOMED,Disorder,S,42970005,2002-01-31,2099-12-31,NA
315116,Injury of carotid artery,Condition,SNOMED,Disorder,S,6956001,2002-01-31,2099-12-31,NA
316437,Cerebral atherosclerosis,Condition,SNOMED,Disorder,S,55382008,2002-01-31,2099-12-31,NA
316494,Cerebrovascular disorder in the puerperium,Condition,SNOMED,Disorder,S,6594005,2002-01-31,2099-12-31,NA
372721,Congenital anomaly of cerebrovascular system,Condition,SNOMED,Disorder,S,65587001,2002-01-31,2099-12-31,NA
372924,Cerebral artery occlusion,Condition,SNOMED,Disorder,S,20059004,2002-01-31,2099-12-31,NA
373503,Transient cerebral ischemia,Condition,SNOMED,Disorder,S,266257000,2002-01-31,2099-12-31,NA
374055,Basilar artery syndrome,Condition,SNOMED,Disorder,S,64009001,2002-01-31,2099-12-31,NA
374371,Stenosis of precerebral artery,Condition,SNOMED,Disorder,S,1055001,2002-01-31,2099-12-31,NA
374384,Cerebral ischemia,Condition,SNOMED,Disorder,S,287731003,2002-01-31,2099-12-31,NA
375557,Cerebral embolism,Condition,SNOMED,Disorder,S,75543006,2002-01-31,2099-12-31,NA
377254,"Multi-infarct dementia, uncomplicated",Condition,SNOMED,Disorder,S,70936005,2002-01-31,2099-12-31,NA
378774,Moyamoya disease,Condition,SNOMED,Disorder,S,69116000,2002-01-31,2099-12-31,NA
379778,Multi-infarct dementia,Condition,SNOMED,Disorder,S,56267009,2002-01-31,2099-12-31,NA
380423,Vertebral artery stenosis,Condition,SNOMED,Disorder,S,90520006,2002-01-31,2099-12-31,NA
380747,Cerebral arteritis,Condition,SNOMED,Disorder,S,28366008,2002-01-31,2099-12-31,NA
380943,Rupture of syphilitic cerebral aneurysm,Condition,SNOMED,Disorder,S,186893003,2002-01-31,2099-12-31,NA
381036,Multiple AND bilateral precerebral artery stenosis,Condition,SNOMED,Disorder,S,73192008,2002-01-31,2099-12-31,NA
381316,Cerebrovascular accident,Condition,SNOMED,Disorder,S,230690007,2002-01-31,2099-12-31,NA
381591,Cerebrovascular disease,Condition,SNOMED,Disorder,S,62914000,2002-01-31,2099-12-31,NA
432346,Dissection of vertebral artery,Condition,SNOMED,Disorder,S,230730001,2002-01-31,2099-12-31,NA
434656,Vertebral artery syndrome,Condition,SNOMED,Disorder,S,34781003,2002-01-31,2099-12-31,NA
