concept_id,concept_name,domain_id,vocabulary_id,concept_class_id,standard_concept,concept_code,valid_start_date,valid_end_date,invalid_reason
22340,Esophageal varices without bleeding,Condition,SNOMED,Disorder,S,14223005,2002-01-31,2099-12-31,NA
22426,Congenital macrostomia,Condition,SNOMED,Disorder,S,40159009,2002-01-31,2099-12-31,NA
22492,Foreign body in pharynx,Condition,SNOMED,Disorder,S,25479004,2002-01-31,2099-12-31,NA
22557,Malignant tumor of submandibular gland,Condition,SNOMED,Disorder,S,363380002,2002-01-31,2099-12-31,NA
22665,Chronic peptic ulcer with hemorrhage AND with perforation but without obstruction,Condition,SNOMED,Disorder,S,55746001,2002-01-31,2099-12-31,NA
22666,Vomiting after gastrointestinal tract surgery,Condition,SNOMED,Disorder,S,197130009,2002-01-31,2099-12-31,NA
22722,Accessory salivary gland,Condition,SNOMED,Disorder,S,70705008,2002-01-31,2099-12-31,NA
22820,Tuberculosis of esophagus,Condition,SNOMED,Disorder,S,15284007,2002-01-31,2099-12-31,NA
22945,Horizontal overbite,Condition,SNOMED,Disorder,S,70305005,2002-01-31,2099-12-31,NA
22955,Perforation of esophagus,Condition,SNOMED,Disorder,S,23387001,2002-01-31,2099-12-31,NA
23137,Chlamydial pharyngitis,Condition,SNOMED,Disorder,S,232403001,2002-01-31,2099-12-31,NA
23220,Chronic tonsillitis,Condition,SNOMED,Disorder,S,90979004,2002-01-31,2099-12-31,NA
23237,Acute peptic ulcer with hemorrhage AND obstruction,Condition,SNOMED,Disorder,S,43406003,2002-01-31,2099-12-31,NA
23245,Esophageal bleeding,Condition,SNOMED,Disorder,S,15238002,2002-01-31,2099-12-31,NA
23247,Chronic peptic ulcer with perforation but without obstruction,Condition,SNOMED,Disorder,S,80953005,2002-01-31,2099-12-31,NA
23653,Foreign body in esophagus,Condition,SNOMED,Disorder,S,47609003,2002-01-31,2099-12-31,NA
23798,Acute laryngopharyngitis,Condition,SNOMED,Disorder,S,55355000,2002-01-31,2099-12-31,NA
23799,Pharynx or nasopharynx edema,Condition,SNOMED,Disorder,S,195834004,2002-01-31,2099-12-31,NA
23806,Atrophy of salivary gland,Condition,SNOMED,Disorder,S,48128006,2002-01-31,2099-12-31,NA
23808,"Chronic peptic ulcer without hemorrhage, without perforation AND without obstruction",Condition,SNOMED,Disorder,S,60400003,2002-01-31,2099-12-31,NA
23865,Congenital anomaly of pharynx,Condition,SNOMED,Disorder,S,11223009,2002-01-31,2099-12-31,NA
23868,Congenital anomaly of esophagus,Condition,SNOMED,Disorder,S,69771008,2002-01-31,2099-12-31,NA
24076,Chronic peptic ulcer with hemorrhage AND obstruction,Condition,SNOMED,Disorder,S,56461008,2002-01-31,2099-12-31,NA
24148,Congenital diverticulum of pharynx,Condition,SNOMED,Disorder,S,111328001,2002-01-31,2099-12-31,NA
24198,Contusion of esophagus,Condition,SNOMED,Disorder,S,262791003,2002-01-31,2099-12-31,NA
24397,"Chronic peptic ulcer with hemorrhage, with perforation AND with obstruction",Condition,SNOMED,Disorder,S,77661009,2002-01-31,2099-12-31,NA
24602,Benign neoplasm of esophagus,Condition,SNOMED,Disorder,S,92091003,2002-01-31,2099-12-31,NA
24660,Acute tonsillitis,Condition,SNOMED,Disorder,S,17741008,2002-01-31,2099-12-31,NA
24966,Esophageal varices,Condition,SNOMED,Disorder,S,28670008,2002-01-31,2099-12-31,NA
24973,Chronic peptic ulcer without hemorrhage AND without perforation but with obstruction,Condition,SNOMED,Disorder,S,12384004,2002-01-31,2099-12-31,NA
24977,Mucocele of salivary gland,Condition,SNOMED,Disorder,S,69825009,2002-01-31,2099-12-31,NA
24978,Chronic adenotonsillitis,Condition,SNOMED,Disorder,S,195798007,2002-01-31,2099-12-31,NA
25189,Malignant tumor of oral cavity,Condition,SNOMED,Disorder,S,363505006,2002-01-31,2099-12-31,NA
25297,Acute pharyngitis,Condition,SNOMED,Disorder,S,363746003,2002-01-31,2099-12-31,NA
25486,Primary malignant neoplasm of islets of Langerhans,Condition,SNOMED,Disorder,S,93843007,2002-01-31,2099-12-31,NA
25572,Disorder of salivary gland,Condition,SNOMED,Disorder,S,10890000,2002-01-31,2099-12-31,NA
25582,Tracheoesophageal fistula,Condition,SNOMED,Disorder,S,95435007,2002-01-31,2099-12-31,NA
25698,Complication of transplanted pancreas,Condition,SNOMED,Disorder,S,79369007,2002-01-31,2099-12-31,NA
25748,Overlapping malignant neoplasm of esophagus,Condition,SNOMED,Disorder,S,109835005,2002-01-31,2099-12-31,NA
25844,Ulcer of esophagus,Condition,SNOMED,Disorder,S,30811009,2002-01-31,2099-12-31,NA
26060,Benign neoplasm of tonsil,Condition,SNOMED,Disorder,S,92263001,2002-01-31,2099-12-31,NA
26141,Barrett's esophagus with esophagitis,Condition,SNOMED,Disorder,S,235597001,2002-01-31,2099-12-31,NA
26213,Congenital salivary gland fistula,Condition,SNOMED,Disorder,S,204635008,2002-01-31,2099-12-31,NA
26441,Bleeding ulcer of esophagus,Condition,SNOMED,Disorder,S,57748001,2002-01-31,2099-12-31,NA
26459,Acute esophagitis,Condition,SNOMED,Disorder,S,409656006,2004-07-31,2099-12-31,NA
26638,Primary malignant neoplasm of esophagus,Condition,SNOMED,Disorder,S,371984007,2002-07-31,2099-12-31,NA
26711,Chronic pharyngitis,Condition,SNOMED,Disorder,S,140004,2002-01-31,2099-12-31,NA
26718,Acute peptic ulcer with perforation AND obstruction,Condition,SNOMED,Disorder,S,35681000,2002-01-31,2099-12-31,NA
26727,Hematemesis,Condition,SNOMED,Disorder,S,8765009,2002-01-31,2099-12-31,NA
26823,Oral phase dysphagia,Condition,SNOMED,Disorder,S,429975007,2008-07-31,2099-12-31,NA
26908,Vincent's angina,Condition,SNOMED,Disorder,S,186963008,2002-01-31,2099-12-31,NA
27026,Acute peptic ulcer with hemorrhage AND with perforation but without obstruction,Condition,SNOMED,Disorder,S,47064007,2002-01-31,2099-12-31,NA
27321,Persistent vomiting,Condition,SNOMED,Disorder,S,196746003,2002-01-31,2099-12-31,NA
27438,Burn of esophagus,Condition,SNOMED,Disorder,S,45982008,2002-01-31,2099-12-31,NA
27587,Disturbance of salivary secretion,Condition,SNOMED,Disorder,S,78948009,2002-01-31,2099-12-31,NA
27674,Nausea and vomiting,Condition,SNOMED,Disorder,S,16932000,2002-01-31,2099-12-31,NA
27918,Eosinophilic esophagitis,Condition,SNOMED,Disorder,S,235599003,2002-01-31,2099-12-31,NA
28060,Streptococcal sore throat,Condition,SNOMED,Disorder,S,43878008,2002-01-31,2099-12-31,NA
28083,Primary malignant neoplasm of pharynx,Condition,SNOMED,Disorder,S,93961004,2002-01-31,2099-12-31,NA
28109,Carcinoma in situ of esophagus,Condition,SNOMED,Disorder,S,92585006,2002-01-31,2099-12-31,NA
28356,Overlapping malignant neoplasm of major salivary gland,Condition,SNOMED,Disorder,S,109824000,2002-01-31,2099-12-31,NA
28457,Hypertrophy of tonsils,Condition,SNOMED,Disorder,S,46689006,2002-01-31,2099-12-31,NA
28461,Hypertrophy of salivary gland,Condition,SNOMED,Disorder,S,45338009,2002-01-31,2099-12-31,NA
28462,Fistula of salivary gland,Condition,SNOMED,Disorder,S,75260002,2002-01-31,2099-12-31,NA
28779,Bleeding esophageal varices,Condition,SNOMED,Disorder,S,17709002,2002-01-31,2099-12-31,NA
28974,Candidiasis of the esophagus,Condition,SNOMED,Disorder,S,20639004,2002-01-31,2099-12-31,NA
29056,Sialoadenitis,Condition,SNOMED,Disorder,S,42982001,2002-01-31,2099-12-31,NA
29735,Candidiasis of mouth,Condition,SNOMED,Disorder,S,79740000,2002-01-31,2099-12-31,NA
30061,Neoplasm of uncertain behavior of major salivary gland,Condition,SNOMED,Disorder,S,189362009,2002-01-31,2099-12-31,NA
30333,Gonorrhea of pharynx,Condition,SNOMED,Disorder,S,74372003,2002-01-31,2099-12-31,NA
30356,Benign neoplasm of pharynx,Condition,SNOMED,Disorder,S,92293007,2002-01-31,2099-12-31,NA
30437,Gastro-esophageal reflux disease with esophagitis,Condition,SNOMED,Disorder,S,266433003,2002-01-31,2099-12-31,NA
30439,Acute peptic ulcer with perforation but without obstruction,Condition,SNOMED,Disorder,S,34921009,2002-01-31,2099-12-31,NA
30441,Sialolithiasis,Condition,SNOMED,Disorder,S,28826002,2002-01-31,2099-12-31,NA
30442,Chronic peptic ulcer with perforation AND obstruction,Condition,SNOMED,Disorder,S,57871005,2002-01-31,2099-12-31,NA
30515,Congenital esophageal ring,Condition,SNOMED,Disorder,S,253760004,2002-01-31,2099-12-31,NA
30679,Benign neoplasm of major salivary gland,Condition,SNOMED,Disorder,S,92205005,2002-01-31,2099-12-31,NA
30753,Esophagitis,Condition,SNOMED,Disorder,S,16761005,2002-01-31,2099-12-31,NA
30770,Chronic peptic ulcer with hemorrhage but without obstruction,Condition,SNOMED,Disorder,S,81518000,2002-01-31,2099-12-31,NA
31057,Disorder of pharynx,Condition,SNOMED,Disorder,S,75860007,2002-01-31,2099-12-31,NA
31317,Dysphagia,Condition,SNOMED,Disorder,S,40739000,2002-01-31,2099-12-31,NA
31335,Acute peptic ulcer with hemorrhage but without obstruction,Condition,SNOMED,Disorder,S,22157005,2002-01-31,2099-12-31,NA
31386,Congenital absence of salivary gland,Condition,SNOMED,Disorder,S,22589009,2002-01-31,2099-12-31,NA
31509,Primary malignant neoplasm of tonsil,Condition,SNOMED,Disorder,S,372020000,2002-07-31,2099-12-31,NA
31598,Hypertrophy of tonsils AND adenoids,Condition,SNOMED,Disorder,S,66622006,2002-01-31,2099-12-31,NA
31609,Abscess of salivary gland,Condition,SNOMED,Disorder,S,80483009,2002-01-31,2099-12-31,NA
31610,Disorder of esophagus,Condition,SNOMED,Disorder,S,37657006,2002-01-31,2099-12-31,NA
31884,Acquired diverticulum of esophagus,Condition,SNOMED,Disorder,S,35563005,2002-01-31,2099-12-31,NA
73241,Anal and rectal polyp,Condition,SNOMED,Disorder,S,197210001,2002-01-31,2099-12-31,NA
73349,Injury of rectum without open wound into abdominal cavity,Condition,SNOMED,Disorder,S,52087004,2002-01-31,2099-12-31,NA
73409,Primary anal syphilis,Condition,SNOMED,Disorder,S,31015008,2002-01-31,2099-12-31,NA
74582,Primary malignant neoplasm of rectum,Condition,SNOMED,Disorder,S,93984006,2002-01-31,2099-12-31,NA
75210,Carcinoma in situ of rectum,Condition,SNOMED,Disorder,S,92696009,2002-01-31,2099-12-31,NA
75512,Carcinoma in situ of colon,Condition,SNOMED,Disorder,S,92568009,2002-01-31,2099-12-31,NA
75576,Irritable bowel syndrome,Condition,SNOMED,Disorder,S,10743008,2002-01-31,2099-12-31,NA
75580,Chronic ulcerative proctitis,Condition,SNOMED,Disorder,S,52231000,2002-01-31,2099-12-31,NA
75708,Foreign body in anus and rectum,Condition,SNOMED,Disorder,S,211644003,2002-01-31,2099-12-31,NA
76022,Amebic nondysenteric colitis,Condition,SNOMED,Disorder,S,55023005,2002-01-31,2099-12-31,NA
76150,Ulcer of rectum,Condition,SNOMED,Disorder,S,54609002,2002-01-31,2099-12-31,NA
76472,Dysplasia of anus,Condition,SNOMED,Disorder,S,399563001,2003-07-31,2099-12-31,NA
76725,Anal fissure,Condition,SNOMED,Disorder,S,30037006,2002-01-31,2099-12-31,NA
77025,Diverticulitis of colon,Condition,SNOMED,Disorder,S,111359004,2002-01-31,2099-12-31,NA
77234,Benign neoplasm of colon,Condition,SNOMED,Disorder,S,92065004,2002-01-31,2099-12-31,NA
77317,Chronic ulcerative rectosigmoiditis,Condition,SNOMED,Disorder,S,52506002,2002-01-31,2099-12-31,NA
77923,Eosinophilic colitis,Condition,SNOMED,Disorder,S,29120000,2002-01-31,2099-12-31,NA
78110,Carcinoma in situ of anus,Condition,SNOMED,Disorder,S,92537005,2002-01-31,2099-12-31,NA
78799,Chronic ulcerative ileocolitis,Condition,SNOMED,Disorder,S,13470001,2002-01-31,2099-12-31,NA
79061,Slow transit constipation,Condition,SNOMED,Disorder,S,35298007,2002-01-31,2099-12-31,NA
79069,Disorder of rectum,Condition,SNOMED,Disorder,S,5964004,2002-01-31,2099-12-31,NA
79740,Overlapping malignant neoplasm of colon,Condition,SNOMED,Disorder,S,109838007,2002-01-31,2099-12-31,NA
80045,Primary malignant neoplasm of anus,Condition,SNOMED,Disorder,S,93676009,2002-01-31,2099-12-31,NA
80141,Functional diarrhea,Condition,SNOMED,Disorder,S,47812002,2002-01-31,2099-12-31,NA
80838,Chondroectodermal dysplasia,Condition,SNOMED,Disorder,S,62501005,2002-01-31,2099-12-31,NA
81064,Pseudopolyposis of colon,Condition,SNOMED,Disorder,S,13025001,2002-01-31,2099-12-31,NA
81336,Rectal prolapse,Condition,SNOMED,Disorder,S,57773001,2002-01-31,2099-12-31,NA
81611,Diverticular disease of colon,Condition,SNOMED,Disorder,S,398050005,2003-07-31,2099-12-31,NA
81893,Ulcerative colitis,Condition,SNOMED,Disorder,S,64766004,2002-01-31,2099-12-31,NA
132356,Disorder of oral mucous membrane,Condition,SNOMED,Disorder,S,128046007,2002-01-31,2099-12-31,NA
132420,Incomplete bilateral cleft lip,Condition,SNOMED,Disorder,S,62815003,2002-01-31,2099-12-31,NA
132553,Herpangina,Condition,SNOMED,Disorder,S,186659004,2002-01-31,2099-12-31,NA
132565,Primary malignant neoplasm of vermilion border of lower lip,Condition,SNOMED,Disorder,S,372026006,2002-07-31,2099-12-31,NA
132573,Benign neoplasm of floor of mouth,Condition,SNOMED,Disorder,S,92109005,2002-01-31,2099-12-31,NA
132832,Primary malignant neoplasm of inner aspect of lip,Condition,SNOMED,Disorder,S,93835002,2002-01-31,2099-12-31,NA
132943,Acute periodontitis,Condition,SNOMED,Disorder,S,21638000,2002-01-31,2099-12-31,NA
133228,Dental caries,Condition,SNOMED,Disorder,S,80967001,2002-01-31,2099-12-31,NA
133303,Congenital anomaly of mouth,Condition,SNOMED,Disorder,S,128334002,2002-01-31,2099-12-31,NA
133710,Overlapping malignant neoplasm of lip,Condition,SNOMED,Disorder,S,109822001,2002-01-31,2099-12-31,NA
133725,Carcinoma in situ of skin of lip,Condition,SNOMED,Disorder,S,92734000,2002-01-31,2099-12-31,NA
133794,Chronic gingivitis,Condition,SNOMED,Disorder,S,72621003,2002-01-31,2099-12-31,NA
133803,Periapical abscess with sinus tract,Condition,SNOMED,Disorder,S,74598008,2002-01-31,2099-12-31,NA
133861,Cleft lip,Condition,SNOMED,Disorder,S,80281008,2002-01-31,2099-12-31,NA
133969,Primary malignant neoplasm of vermilion border of lip,Condition,SNOMED,Disorder,S,94135007,2002-01-31,2099-12-31,NA
134067,"Primary dental caries, root surface origin",Condition,SNOMED,Disorder,S,109576008,2002-01-31,2099-12-31,NA
134074,Cellulitis of oral soft tissues,Condition,SNOMED,Disorder,S,8771003,2002-01-31,2099-12-31,NA
134144,Cleft palate with cleft lip,Condition,SNOMED,Disorder,S,66948001,2002-01-31,2099-12-31,NA
134386,Gingival recession,Condition,SNOMED,Disorder,S,4356008,2002-01-31,2099-12-31,NA
134398,Periodontal disease,Condition,SNOMED,Disorder,S,2556008,2002-01-31,2099-12-31,NA
134404,Anal spasm,Condition,SNOMED,Disorder,S,17440005,2002-01-31,2099-12-31,NA
134579,Primary malignant neoplasm of buccal mucosa,Condition,SNOMED,Disorder,S,371976008,2002-07-31,2099-12-31,NA
134681,Diffuse spasm of esophagus,Condition,SNOMED,Disorder,S,79962008,2002-01-31,2099-12-31,NA
135208,Benign neoplasm of lip,Condition,SNOMED,Disorder,S,92185002,2002-01-31,2099-12-31,NA
135303,Cyst of oral soft tissue,Condition,SNOMED,Disorder,S,196546001,2002-01-31,2099-12-31,NA
135424,Foreign body in mouth,Condition,SNOMED,Disorder,S,14380007,2002-01-31,2099-12-31,NA
135476,Primary malignant neoplasm of thoracic esophagus,Condition,SNOMED,Disorder,S,372017008,2002-07-31,2099-12-31,NA
135750,Primary malignant neoplasm of floor of mouth,Condition,SNOMED,Disorder,S,93802007,2002-01-31,2099-12-31,NA
135858,Disorder of lip,Condition,SNOMED,Disorder,S,90678009,2002-01-31,2099-12-31,NA
136216,Congenital fistula of lip,Condition,SNOMED,Disorder,S,11102005,2002-01-31,2099-12-31,NA
136566,Epidermal burn of lip,Condition,SNOMED,Disorder,S,78202006,2002-01-31,2099-12-31,NA
136915,Primary malignant neoplasm of skin of lip,Condition,SNOMED,Disorder,S,94032008,2002-01-31,2099-12-31,NA
137016,Retained dental root,Condition,SNOMED,Disorder,S,66569006,2002-01-31,2099-12-31,NA
137219,Primary malignant neoplasm of inner aspect of lower lip,Condition,SNOMED,Disorder,S,93836001,2002-01-31,2099-12-31,NA
137322,Oral submucosal fibrosis,Condition,SNOMED,Disorder,S,32883009,2002-01-31,2099-12-31,NA
137813,Benign neoplasm of mouth region,Condition,SNOMED,Disorder,S,419958000,2006-01-31,2099-12-31,NA
137909,Disorder of periapical tissues of tooth,Condition,SNOMED,Disorder,S,34282009,2002-01-31,2099-12-31,NA
137972,Complete bilateral cleft lip,Condition,SNOMED,Disorder,S,80446009,2002-01-31,2099-12-31,NA
138074,Primary malignant neoplasm of vermilion border of upper lip,Condition,SNOMED,Disorder,S,372027002,2002-07-31,2099-12-31,NA
138176,Acute gingivitis,Condition,SNOMED,Disorder,S,31642005,2002-01-31,2099-12-31,NA
138181,Radicular cyst,Condition,SNOMED,Disorder,S,89988002,2002-01-31,2099-12-31,NA
138351,Primary malignant neoplasm of inner aspect of upper lip,Condition,SNOMED,Disorder,S,93837005,2002-01-31,2099-12-31,NA
138455,Stomatitis,Condition,SNOMED,Disorder,S,61170000,2002-01-31,2099-12-31,NA
138463,Aphthous ulcer of mouth,Condition,SNOMED,Disorder,S,426965005,2007-07-31,2099-12-31,NA
138466,Leukoplakia of oral mucosa,Condition,SNOMED,Disorder,S,414603003,2005-01-31,2099-12-31,NA
138553,Congenital macrocheilia,Condition,SNOMED,Disorder,S,27409004,2002-01-31,2099-12-31,NA
138622,Burn of lip,Condition,SNOMED,Disorder,S,73518002,2002-01-31,2099-12-31,NA
138790,Chronic periodontitis,Condition,SNOMED,Disorder,S,5689008,2002-01-31,2099-12-31,NA
138918,Partial thickness burn of lip,Condition,SNOMED,Disorder,S,284205006,2002-01-31,2099-12-31,NA
139046,Odontoclasia,Condition,SNOMED,Disorder,S,196305005,2002-01-31,2099-12-31,NA
139057,Disorder of oral soft tissues,Condition,SNOMED,Disorder,S,41188003,2002-01-31,2099-12-31,NA
140027,Herpetic gingivostomatitis,Condition,SNOMED,Disorder,S,57920007,2002-01-31,2099-12-31,NA
140048,Malignant melanoma of skin of lip,Condition,SNOMED,Disorder,S,93640008,2002-01-31,2099-12-31,NA
140435,Arrested dental caries,Condition,SNOMED,Disorder,S,80753001,2002-01-31,2099-12-31,NA
140506,Bilateral complete cleft palate with cleft lip,Condition,SNOMED,Disorder,S,204614006,2002-01-31,2099-12-31,NA
140520,Microstomia,Condition,SNOMED,Disorder,S,14582003,2002-01-31,2099-12-31,NA
140950,Primary malignant neoplasm of gum,Condition,SNOMED,Disorder,S,371990006,2002-07-31,2099-12-31,NA
140955,Overlapping malignant neoplasm of floor of mouth,Condition,SNOMED,Disorder,S,109830000,2002-01-31,2099-12-31,NA
141050,Disorder of hard tissues of teeth,Condition,SNOMED,Disorder,S,46557008,2002-01-31,2099-12-31,NA
141055,Cancrum oris,Condition,SNOMED,Disorder,S,18116006,2002-01-31,2099-12-31,NA
141248,Benign neoplasm of skin of lip,Condition,SNOMED,Disorder,S,92369000,2002-01-31,2099-12-31,NA
141608,Periodontitis,Condition,SNOMED,Disorder,S,41565005,2002-01-31,2099-12-31,NA
192240,Chronic viral hepatitis B with hepatitis D,Condition,SNOMED,Disorder,S,235869004,2002-01-31,2099-12-31,NA
192242,Acute hepatitis C,Condition,SNOMED,Disorder,S,235866006,2002-01-31,2099-12-31,NA
192255,Primary malignant neoplasm of pylorus,Condition,SNOMED,Disorder,S,93977003,2002-01-31,2099-12-31,NA
192259,Ascariasis,Condition,SNOMED,Disorder,S,2435008,2002-01-31,2099-12-31,NA
192261,Overlapping malignant neoplasm of pancreas,Condition,SNOMED,Disorder,S,109848009,2002-01-31,2099-12-31,NA
192275,Alpha-1-antitrypsin deficiency,Condition,SNOMED,Disorder,S,30188007,2002-01-31,2099-12-31,NA
192286,Intestinal disaccharidase deficiency,Condition,SNOMED,Disorder,S,22169002,2002-01-31,2099-12-31,NA
192291,Carcinoma in situ of intestinal tract,Condition,SNOMED,Disorder,S,92617001,2002-01-31,2099-12-31,NA
192292,Carcinoma in situ of liver and/or biliary system,Condition,SNOMED,Disorder,S,271525004,2002-01-31,2099-12-31,NA
192353,Disorder of gallbladder,Condition,SNOMED,Disorder,S,39621005,2002-01-31,2099-12-31,NA
192355,Alveolar ridge abnormality,Condition,SNOMED,Disorder,S,235013007,2002-01-31,2099-12-31,NA
192357,Paralytic ileus,Condition,SNOMED,Disorder,S,55525008,2002-01-31,2099-12-31,NA
192360,Cyst and pseudocyst of pancreas,Condition,SNOMED,Disorder,S,197464001,2002-01-31,2099-12-31,NA
192363,Obstruction of gallbladder,Condition,SNOMED,Disorder,S,75726005,2002-01-31,2099-12-31,NA
192433,Congenital hypertrophic pyloric stenosis,Condition,SNOMED,Disorder,S,48644003,2002-01-31,2099-12-31,NA
192591,Post-surgical hypoinsulinemia,Condition,SNOMED,Disorder,S,190437000,2002-01-31,2099-12-31,NA
192667,Atrophic gastritis,Condition,SNOMED,Disorder,S,84568007,2002-01-31,2099-12-31,NA
192669,Gastric fistula,Condition,SNOMED,Disorder,S,235671002,2002-01-31,2099-12-31,NA
192671,Gastrointestinal hemorrhage,Condition,SNOMED,Disorder,S,74474003,2002-01-31,2099-12-31,NA
192673,Vascular insufficiency of intestine,Condition,SNOMED,Disorder,S,82196007,2002-01-31,2099-12-31,NA
192674,Allergic gastroenteritis and colitis,Condition,SNOMED,Disorder,S,266451002,2002-01-31,2099-12-31,NA
192675,Biliary cirrhosis,Condition,SNOMED,Disorder,S,1761006,2002-01-31,2099-12-31,NA
192753,Injury of small intestine with open wound into abdominal cavity,Condition,SNOMED,Disorder,S,210114006,2002-01-31,2099-12-31,NA
192815,Intestinal infection caused by Escherichia coli,Condition,SNOMED,Disorder,S,111839008,2002-01-31,2099-12-31,NA
192819,Typhoid fever,Condition,SNOMED,Disorder,S,4834000,2002-01-31,2099-12-31,NA
