concept_id,concept_name,domain_id,vocabulary_id,concept_class_id,standard_concept,concept_code,valid_start_date,valid_end_date,invalid_reason
193210,Transient ischemic deafness,Condition,SNOMED,Disorder,S,194387002,2002-01-31,2099-12-31,NA
374053,Sudden hearing loss,Condition,SNOMED,Disorder,S,79471008,2002-01-31,2099-12-31,NA
374366,Sensorineural hearing loss,Condition,SNOMED,Disorder,S,60700002,2002-01-31,2099-12-31,NA
374367,Bilateral hearing loss,Condition,SNOMED,Disorder,S,95820000,2002-01-31,2099-12-31,NA
375826,Central hearing loss,Condition,SNOMED,Disorder,S,68467004,2002-01-31,2099-12-31,NA
376131,Tympanic membrane conductive hearing loss,Condition,SNOMED,Disorder,S,15190000,2002-01-31,2099-12-31,NA
376417,Middle ear conductive hearing loss,Condition,SNOMED,Disorder,S,61743004,2002-01-31,2099-12-31,NA
376793,Congenital anomaly of ear with impairment of hearing,Condition,SNOMED,Disorder,S,111339003,2002-01-31,2099-12-31,NA
377574,Presbycusis,Condition,SNOMED,Disorder,S,49526009,2002-01-31,2099-12-31,NA
377888,Conductive hearing loss,Condition,SNOMED,Disorder,S,44057004,2002-01-31,2099-12-31,NA
377889,Hearing loss,Condition,SNOMED,Disorder,S,15188001,2002-01-31,2099-12-31,NA
378442,Conductive hearing loss of combined sites,Condition,SNOMED,Disorder,S,2061000,2002-01-31,2099-12-31,NA
379832,Mixed conductive AND sensorineural hearing loss,Condition,SNOMED,Disorder,S,77507001,2002-01-31,2099-12-31,NA
380734,External ear conductive hearing loss,Condition,SNOMED,Disorder,S,47111006,2002-01-31,2099-12-31,NA
380742,Inner ear conductive hearing loss,Condition,SNOMED,Disorder,S,3820005,2002-01-31,2099-12-31,NA
381306,Deaf mutism,Condition,SNOMED,Disorder,S,61947007,2002-01-31,2099-12-31,NA
381312,Neural hearing loss,Condition,SNOMED,Disorder,S,73371001,2002-01-31,2099-12-31,NA
433495,"Conductive hearing loss, bilateral",Condition,SNOMED,Disorder,S,194417009,2002-01-31,2099-12-31,NA
