concept_id,concept_name,domain_id,vocabulary_id,concept_class_id,standard_concept,concept_code,valid_start_date,valid_end_date,invalid_reason
30234,Neck sprain,Condition,SNOMED,Disorder,S,209557005,2002-01-31,2099-12-31,NA
72398,Arthropathy in Behcet's syndrome,Condition,SNOMED,Disorder,S,62918002,2002-01-31,2099-12-31,NA
72399,Arthropathy in Behcet's syndrome of multiple sites,Condition,SNOMED,Disorder,S,201492003,2002-01-31,2099-12-31,NA
72400,Arthropathy of the pelvic region and thigh associated with helminthiasis,Condition,SNOMED,Disorder,S,201550005,2002-01-31,2099-12-31,NA
72401,Kashin-Bek disease,Condition,SNOMED,Disorder,S,270505009,2002-01-31,2099-12-31,NA
72403,Hemarthrosis of the ankle and/or foot,Condition,SNOMED,Disorder,S,267948008,2002-01-31,2099-12-31,NA
72405,Osteoarthritis of shoulder region,Condition,SNOMED,Disorder,S,67315001,2002-01-31,2099-12-31,NA
72406,Old disruption of ligament of knee other than collateral AND/OR cruciate ligaments,Condition,SNOMED,Disorder,S,56458007,2002-01-31,2099-12-31,NA
72407,Effusion of joint of shoulder region,Condition,SNOMED,Disorder,S,40884005,2002-01-31,2099-12-31,NA
72468,Open dislocation of jaw,Condition,SNOMED,Disorder,S,208748005,2002-01-31,2099-12-31,NA
72469,Closed traumatic dislocation of joint of shoulder region,Condition,SNOMED,Disorder,S,22911007,2002-01-31,2099-12-31,NA
72708,Traumatic arthropathy of the shoulder region,Condition,SNOMED,Disorder,S,201932009,2002-01-31,2099-12-31,NA
72709,Crystal arthropathy of multiple sites,Condition,SNOMED,Disorder,S,20075001,2002-01-31,2099-12-31,NA
72745,Open dislocation of elbow,Condition,SNOMED,Disorder,S,11920000,2002-01-31,2099-12-31,NA
72984,Reactive arthritis of joint of shoulder region due to and following dysentery,Condition,SNOMED,Disorder,S,201497009,2002-01-31,2099-12-31,NA
72985,Arthropathy of the ankle and/or foot associated with helminthiasis,Condition,SNOMED,Disorder,S,201552002,2002-01-31,2099-12-31,NA
72988,Pyogenic arthritis of hand,Condition,SNOMED,Disorder,S,61112000,2002-01-31,2099-12-31,NA
72989,"Arthropathy associated with mycoses, of the ankle and/or foot",Condition,SNOMED,Disorder,S,201540009,2002-01-31,2099-12-31,NA
72990,Localized osteoarthrosis uncertain if primary OR secondary,Condition,SNOMED,Disorder,S,90860001,2002-01-31,2099-12-31,NA
72991,Traumatic arthropathy of multiple sites,Condition,SNOMED,Disorder,S,201940003,2002-01-31,2099-12-31,NA
72992,Allergic arthritis,Condition,SNOMED,Disorder,S,16935003,2002-01-31,2099-12-31,NA
72993,"Localized, primary osteoarthritis",Condition,SNOMED,Disorder,S,201829007,2002-01-31,2099-12-31,NA
72994,Jaccoud's syndrome,Condition,SNOMED,Disorder,S,84801008,2002-01-31,2099-12-31,NA
72997,Articular cartilage disorder of upper arm,Condition,SNOMED,Disorder,S,9051008,2002-01-31,2099-12-31,NA
73021,Bilateral congenital dislocation of hip,Condition,SNOMED,Disorder,S,10155006,2002-01-31,2099-12-31,NA
73036,Closed fracture of olecranon process of ulna,Condition,SNOMED,Disorder,S,64902007,2002-01-31,2099-12-31,NA
73043,Open dislocation of glenohumeral joint,Condition,SNOMED,Disorder,S,13975002,2002-01-31,2099-12-31,NA
73045,Sprain of hand,Condition,SNOMED,Disorder,S,87778004,2002-01-31,2099-12-31,NA
73122,Tuberculosis of knee,Condition,SNOMED,Disorder,S,17136009,2002-01-31,2099-12-31,NA
73287,Crystal arthropathy of ankle AND/OR foot,Condition,SNOMED,Disorder,S,75468006,2002-01-31,2099-12-31,NA
73289,Pathological dislocation of multiple joints,Condition,SNOMED,Disorder,S,202175000,2002-01-31,2099-12-31,NA
73291,Palindromic rheumatism of ankle and/or foot,Condition,SNOMED,Disorder,S,202463000,2002-01-31,2099-12-31,NA
73334,Closed posterior dislocation of elbow,Condition,SNOMED,Disorder,S,4273008,2002-01-31,2099-12-31,NA
73335,Closed posterior dislocation of proximal end of tibia,Condition,SNOMED,Disorder,S,14741001,2002-01-31,2099-12-31,NA
73336,Closed traumatic dislocation ankle joint,Condition,SNOMED,Disorder,S,208981003,2002-01-31,2099-12-31,NA
73338,Sprain of lateral collateral ligament of knee,Condition,SNOMED,Disorder,S,35726004,2002-01-31,2099-12-31,NA
73341,Closed fracture of head of radius,Condition,SNOMED,Disorder,S,68854005,2002-01-31,2099-12-31,NA
73343,Closed posterior dislocation of hip,Condition,SNOMED,Disorder,S,63975004,2002-01-31,2099-12-31,NA
73550,Crystal arthropathy of elbow,Condition,SNOMED,Disorder,S,428768008,2008-01-31,2099-12-31,NA
73553,Arthropathy,Condition,SNOMED,Disorder,S,399269003,2003-07-31,2099-12-31,NA
73554,Kashin-Beck disease of the pelvic region and thigh,Condition,SNOMED,Disorder,S,201925000,2002-01-31,2099-12-31,NA
73555,Transient arthropathy of the pelvic region and thigh,Condition,SNOMED,Disorder,S,201992007,2002-01-31,2099-12-31,NA
73557,Allergic arthritis of the pelvic region and thigh,Condition,SNOMED,Disorder,S,201968004,2002-01-31,2099-12-31,NA
73561,Loose body in joint of shoulder region,Condition,SNOMED,Disorder,S,202148007,2002-01-31,2099-12-31,NA
73568,Palindromic rheumatism of shoulder region,Condition,SNOMED,Disorder,S,202457009,2002-01-31,2099-12-31,NA
73673,Disorder of prosthetic joint,Condition,SNOMED,Disorder,S,240266004,2002-01-31,2099-12-31,NA
73838,Pyogenic arthritis of multiple sites,Condition,SNOMED,Disorder,S,34934005,2002-01-31,2099-12-31,NA
73840,"Localized, primary osteoarthritis of the shoulder region",Condition,SNOMED,Disorder,S,201831003,2002-01-31,2099-12-31,NA
73845,Joint ankylosis of the shoulder region,Condition,SNOMED,Disorder,S,202298000,2002-01-31,2099-12-31,NA
73851,Effusion of joint of multiple sites,Condition,SNOMED,Disorder,S,36662003,2002-01-31,2099-12-31,NA
73872,Congenital deformity of knee joint,Condition,SNOMED,Disorder,S,61293001,2002-01-31,2099-12-31,NA
73889,Sprain of distal tibiofibular ligament,Condition,SNOMED,Disorder,S,74383007,2002-01-31,2099-12-31,NA
74064,Ankylosis of temporomandibular joint,Condition,SNOMED,Disorder,S,50603008,2002-01-31,2099-12-31,NA
74120,Arthropathy of the shoulder region associated with helminthiasis,Condition,SNOMED,Disorder,S,201546003,2002-01-31,2099-12-31,NA
74124,Traumatic arthropathy,Condition,SNOMED,Disorder,S,58188004,2002-01-31,2099-12-31,NA
74125,Inflammatory polyarthropathy,Condition,SNOMED,Disorder,S,417373000,2005-07-31,2099-12-31,NA
74126,Protrusio acetabuli of the pelvic region and thigh,Condition,SNOMED,Disorder,S,202326005,2002-01-31,2099-12-31,NA
74129,Allergic arthritis of the ankle and/or foot,Condition,SNOMED,Disorder,S,201970008,2002-01-31,2099-12-31,NA
74130,Thoracic spondylosis without myelopathy,Condition,SNOMED,Disorder,S,267971005,2002-01-31,2099-12-31,NA
74132,Degeneration of lumbosacral intervertebral disc,Condition,SNOMED,Disorder,S,60937000,2002-01-31,2099-12-31,NA
74150,"Congenital subluxation of hip, bilateral",Condition,SNOMED,Disorder,S,205052001,2002-01-31,2099-12-31,NA
74189,Sprain of cruciate ligament of knee,Condition,SNOMED,Disorder,S,60058008,2002-01-31,2099-12-31,NA
74192,Open fracture of coronoid process of ulna,Condition,SNOMED,Disorder,S,86357008,2002-01-31,2099-12-31,NA
74194,Sprain of spinal ligament,Condition,SNOMED,Disorder,S,281598004,2002-01-31,2099-12-31,NA
74396,Temporomandibular joint disorder,Condition,SNOMED,Disorder,S,41888000,2002-01-31,2099-12-31,NA
74399,Articular disc disorder of temporomandibular joint,Condition,SNOMED,Disorder,S,91945006,2002-01-31,2099-12-31,NA
74444,Crystal arthropathy of knee,Condition,SNOMED,Disorder,S,429420005,2008-01-31,2099-12-31,NA
74445,Crystal arthropathy of shoulder region,Condition,SNOMED,Disorder,S,34427002,2002-01-31,2099-12-31,NA
74448,Articular cartilage disorder of the pelvic region and thigh,Condition,SNOMED,Disorder,S,202137000,2002-01-31,2099-12-31,NA
74450,Ankylosis of joint of pelvis and/or hip,Condition,SNOMED,Disorder,S,267934008,2002-01-31,2099-12-31,NA
74503,"Open traumatic dislocation hip joint, posterior",Condition,SNOMED,Disorder,S,208900000,2002-01-31,2099-12-31,NA
74564,Rubella arthritis,Condition,SNOMED,Disorder,S,19431000,2002-01-31,2099-12-31,NA
74720,Arthropathy in Behcet's syndrome of the ankle and/or foot,Condition,SNOMED,Disorder,S,201491005,2002-01-31,2099-12-31,NA
74722,Secondary localized osteoarthrosis of pelvic region,Condition,SNOMED,Disorder,S,25343008,2002-01-31,2099-12-31,NA
74723,Arthropathy associated with a neurological disorder,Condition,SNOMED,Disorder,S,67536000,2002-01-31,2099-12-31,NA
74724,Transient arthropathy of multiple sites,Condition,SNOMED,Disorder,S,201996005,2002-01-31,2099-12-31,NA
74725,Displacement of cervical intervertebral disc without myelopathy,Condition,SNOMED,Disorder,S,85216006,2002-01-31,2099-12-31,NA
74726,Dislocation of joint,Condition,SNOMED,Disorder,S,108367008,2002-01-31,2099-12-31,NA
74727,Transient arthropathy of shoulder region,Condition,SNOMED,Disorder,S,201988000,2002-01-31,2099-12-31,NA
74728,Synovitis and tenosynovitis,Condition,SNOMED,Disorder,S,202900007,2002-01-31,2099-12-31,NA
74733,Traumatic dislocation of joint of hand,Condition,SNOMED,Disorder,S,129157005,2002-01-31,2099-12-31,NA
74747,Acquired genu recurvatum,Condition,SNOMED,Disorder,S,46101007,2002-01-31,2099-12-31,NA
74763,Open fracture of olecranon process of ulna,Condition,SNOMED,Disorder,S,63948006,2002-01-31,2099-12-31,NA
74783,"Open traumatic dislocation of glenohumeral joint, anterior (sub-coracoid)",Condition,SNOMED,Disorder,S,208766000,2002-01-31,2099-12-31,NA
74864,Gonococcal infection of joint,Condition,SNOMED,Disorder,S,44743006,2002-01-31,2099-12-31,NA
74892,Gouty arthritis,Condition,SNOMED,Disorder,S,48440001,2002-01-31,2099-12-31,NA
75035,Arthropathy associated with non-infective gastrointestinal disorder,Condition,SNOMED,Disorder,S,201726005,2002-01-31,2099-12-31,NA
75036,"Localized, primary osteoarthritis of the hand",Condition,SNOMED,Disorder,S,201834006,2002-01-31,2099-12-31,NA
75037,Kashin-Beck disease of the ankle and/or foot,Condition,SNOMED,Disorder,S,201927008,2002-01-31,2099-12-31,NA
75039,Loose body in knee,Condition,SNOMED,Disorder,S,81512004,2002-01-31,2099-12-31,NA
75042,Allergic arthritis of the shoulder region,Condition,SNOMED,Disorder,S,201964002,2002-01-31,2099-12-31,NA
75043,Hemarthrosis of knee,Condition,SNOMED,Disorder,S,202413005,2002-01-31,2099-12-31,NA
75045,Climacteric arthritis of the pelvic region and thigh,Condition,SNOMED,Disorder,S,201981006,2002-01-31,2099-12-31,NA
75046,Old bucket handle tear of medial meniscus,Condition,SNOMED,Disorder,S,86378006,2002-01-31,2099-12-31,NA
75047,Dislocation of joint of upper limb,Condition,SNOMED,Disorder,S,263017003,2002-01-31,2099-12-31,NA
75051,Derangement of posterior horn of medial meniscus,Condition,SNOMED,Disorder,S,5313005,2002-01-31,2099-12-31,NA
75073,Congenital dislocation of knee with genu recurvatum,Condition,SNOMED,Disorder,S,15453007,2002-01-31,2099-12-31,NA
75103,Sprain of jaw,Condition,SNOMED,Disorder,S,23415000,2002-01-31,2099-12-31,NA
75341,Climacteric arthritis of the ankle and/or foot,Condition,SNOMED,Disorder,S,201983009,2002-01-31,2099-12-31,NA
75344,Intervertebral disc disorder,Condition,SNOMED,Disorder,S,36427004,2002-01-31,2099-12-31,NA
75345,Hemarthrosis of shoulder region,Condition,SNOMED,Disorder,S,2602008,2002-01-31,2099-12-31,NA
75346,Derangement of meniscus,Condition,SNOMED,Disorder,S,111224002,2002-01-31,2099-12-31,NA
75373,Open fracture of head of radius,Condition,SNOMED,Disorder,S,69427008,2002-01-31,2099-12-31,NA
75379,"Open fracture distal humerus, lateral epicondyle",Condition,SNOMED,Disorder,S,208283005,2002-01-31,2099-12-31,NA
75383,"Open traumatic dislocation of glenohumeral joint, inferior (infra-glenoid)",Condition,SNOMED,Disorder,S,208768004,2002-01-31,2099-12-31,NA
