concept_id,concept_name,domain_id,vocabulary_id,concept_class_id,standard_concept,concept_code,valid_start_date,valid_end_date,invalid_reason
132797,Sepsis,Condition,SNOMED,Disorder,S,91302008,2002-01-31,2099-12-31,NA
133594,Bacterial sepsis of newborn,Condition,SNOMED,Disorder,S,276669000,2002-01-31,2099-12-31,NA
602996,Sepsis caused by Erysipelothrix rhusiopathiae,Condition,SNOMED,Disorder,S,1149494008,2021-07-31,2099-12-31,NA
603033,Sepsis caused by vancomycin resistant Enterococcus,Condition,SNOMED,Disorder,S,1153534006,2021-07-31,2099-12-31,NA
607320,Sepsis caused by Coliform,Condition,SNOMED,Disorder,S,1149481006,2021-07-31,2099-12-31,NA
607321,Sepsis caused by Clostridium,Condition,SNOMED,Disorder,S,1149482004,2021-07-31,2099-12-31,NA
607325,Sepsis caused by Proteus,Condition,SNOMED,Disorder,S,1149486001,2021-07-31,2099-12-31,NA
760981,Sepsis without acute organ dysfunction caused by Serratia species,Condition,SNOMED,Disorder,S,126811000119102,2017-09-01,2099-12-31,NA
760987,Sepsis caused by Staphylococcus without acute organ dysfunction,Condition,SNOMED,Disorder,S,127751000119108,2017-03-01,2099-12-31,NA
761851,Neonatal sepsis caused by Staphylococcus,Condition,SNOMED,Disorder,S,16060271000119109,2017-03-01,2099-12-31,NA
761852,Neonatal sepsis caused by Streptococcus,Condition,SNOMED,Disorder,S,16060311000119109,2017-03-01,2099-12-31,NA
763027,Sepsis of newborn due to Streptococcus agalactiae,Condition,SNOMED,Disorder,S,435181000124108,2013-09-01,2099-12-31,NA
763164,Septicemia associated with vascular access catheter,Condition,SNOMED,Disorder,S,436741000124105,2013-09-01,2099-12-31,NA
763165,Sepsis associated with internal vascular access,Condition,SNOMED,Disorder,S,436751000124107,2013-09-01,2099-12-31,NA
1075272,Sepsis due to infection caused by Citrobacter,Condition,SNOMED,Disorder,S,1303592000,2024-03-01,2099-12-31,NA
1076394,Sepsis caused by central venous catheter in situ,Condition,SNOMED,Disorder,S,1342338008,2024-07-01,2099-12-31,NA
1244226,Sepsis due to and following procedure,Condition,SNOMED,Disorder,S,12204111000119105,2023-10-01,2099-12-31,NA
