concept_id,concept_name,domain_id,vocabulary_id,concept_class_id,standard_concept,concept_code,valid_start_date,valid_end_date,invalid_reason
256721,Pneumonitis caused by solids,Condition,SNOMED,Disorder,S,64030005,2002-01-31,2099-12-31,NA
439853,Bird-fanciers' lung,Condition,SNOMED,Disorder,S,69339004,2002-01-31,2099-12-31,NA
442297,Pneumonitis due to inhaled liquid,Condition,SNOMED,Disorder,S,57463004,2002-01-31,2099-12-31,NA
1075638,Aspiration pneumonitis caused by regurgitated food,Condition,SNOMED,Disorder,S,1306601004,2024-04-01,2099-12-31,NA
3655088,Pneumonitis caused by inhalation of oil,Condition,SNOMED,Disorder,S,840728005,2020-07-31,2099-12-31,NA
4026217,Budgerigar-fanciers' disease,Condition,SNOMED,Disorder,S,12088005,2002-01-31,2099-12-31,NA
4110180,Pneumonitis caused by inhalation of vomitus,Condition,SNOMED,Disorder,S,196035006,2002-01-31,2099-12-31,NA
4112683,Pneumonitis caused by inhalation of milk,Condition,SNOMED,Disorder,S,196034005,2002-01-31,2099-12-31,NA
4112839,Pneumonitis caused by inhalation of regurgitated food,Condition,SNOMED,Disorder,S,196033004,2002-01-31,2099-12-31,NA
4187218,Pneumonitis caused by inhaled substance,Condition,SNOMED,Disorder,S,415126001,2005-01-31,2099-12-31,NA
4233319,Aspiration pneumonitis caused by regurgitated gastric secretions,Condition,SNOMED,Disorder,S,40786001,2002-01-31,2099-12-31,NA
4311410,Pneumonitis caused by inhalation of essence,Condition,SNOMED,Disorder,S,86294001,2002-01-31,2099-12-31,NA
4327820,Aspiration pneumonia caused by regurgitated food,Condition,SNOMED,Disorder,S,75426006,2002-01-31,2099-12-31,NA
37018497,Aspiration pneumonitis of fetus,Condition,SNOMED,Disorder,S,715069001,2016-01-31,2099-12-31,NA
