concept_id,concept_name,domain_id,vocabulary_id,concept_class_id,standard_concept,concept_code,valid_start_date,valid_end_date,invalid_reason
506638,Under care of health visitor,Observation,SNOMED,Clinical Finding,S,1052751000000108,2016-10-01,2099-12-31,NA
601788,Mild food insecurity on United States household food security survey module,Observation,SNOMED,Clinical Finding,S,470911000124109,2021-09-01,2099-12-31,NA
601790,Moderate food insecurity on United States household food security survey module,Observation,SNOMED,Clinical Finding,S,470941000124108,2021-09-01,2099-12-31,NA
601791,Severe food insecurity on United States household food security survey module,Observation,SNOMED,Clinical Finding,S,470951000124105,2021-09-01,2099-12-31,NA
601831,Under care of physician assistant,Observation,SNOMED,Clinical Finding,S,471431000124102,2021-09-01,2099-12-31,NA
602662,Food security,Observation,SNOMED,Clinical Finding,S,1078229009,2021-01-31,2099-12-31,NA
603165,Effective protective ability,Observation,SNOMED,Clinical Finding,S,1156934008,2021-07-31,2099-12-31,NA
605672,Able to participate in care planning,Observation,SNOMED,Clinical Finding,S,1137426009,2021-07-31,2099-12-31,NA
607009,Able to perform health maintenance,Observation,SNOMED,Clinical Finding,S,1148972003,2021-07-31,2099-12-31,NA
607607,Limited access to nutrition supplies,Observation,SNOMED,Clinical Finding,S,1155680000,2021-07-31,2099-12-31,NA
761929,Under care of multiple providers,Observation,SNOMED,Clinical Finding,S,2091000124100,2011-08-01,2099-12-31,NA
764365,Unable to afford medication,Observation,SNOMED,Clinical Finding,S,454061000124102,2017-09-01,2099-12-31,NA
764690,Unable to afford glucose monitoring device,Observation,SNOMED,Clinical Finding,S,5371000175108,2016-03-01,2099-12-31,NA
765484,Unable to afford blood pressure monitor,Observation,SNOMED,Clinical Finding,S,5521000175101,2016-03-01,2099-12-31,NA
765498,Unable to afford weight scale,Observation,SNOMED,Clinical Finding,S,5731000175109,2016-03-01,2099-12-31,NA
1076413,Inadequate digital access affecting health care,Observation,SNOMED,Clinical Finding,S,1343356001,2024-08-01,2099-12-31,NA
1077497,Inadequate digital access due to inadequate internet service in geographical region,Observation,SNOMED,Clinical Finding,S,861171000124107,2024-09-01,2099-12-31,NA
1245915,Has plan for transition from paediatric specialist to adult specialist care,Observation,SNOMED,Clinical Finding,S,1854501000000108,2023-11-22,2099-12-31,NA
1245916,Under care of paediatric specialist and adult health service,Observation,SNOMED,Clinical Finding,S,1854511000000105,2023-11-22,2099-12-31,NA
1448932,Inadequate digital literacy skills affecting health care,Observation,SNOMED,Clinical Finding,S,1344884006,2024-09-01,2099-12-31,NA
1450080,Household energy poverty due to energy service disruption in geographical region,Observation,SNOMED,Clinical Finding,S,1354888004,2025-01-01,2099-12-31,NA
3196520,Ineffective self health management,Observation,Nebraska Lexicon,Clinical Finding,S,30620001000004102,2016-01-28,2099-12-31,NA
3661911,Personalised Care and Support Plan agreed,Observation,SNOMED,Clinical Finding,S,1187911000000105,2020-08-05,2099-12-31,NA
4030758,Communication with community resources,Observation,SNOMED,Clinical Finding,S,129686009,2002-01-31,2099-12-31,NA
4031364,Healthcare supervision finding,Observation,SNOMED,Clinical Finding,S,129825007,2002-01-31,2099-12-31,NA
4031369,Health management finding,Observation,SNOMED,Clinical Finding,S,129843006,2002-01-31,2099-12-31,NA
4032525,Ineffective protection,Observation,SNOMED,Clinical Finding,S,129837009,2002-01-31,2099-12-31,NA
4039433,Difficulty coping with pain,Observation,SNOMED,Clinical Finding,S,16399001,2002-01-31,2099-12-31,NA
4047210,Under care of community alcohol team,Observation,SNOMED,Clinical Finding,S,135827004,2002-01-31,2099-12-31,NA
4047215,Has community mental health team key worker,Observation,SNOMED,Clinical Finding,S,135846003,2002-01-31,2099-12-31,NA
4047988,Has support worker,Observation,SNOMED,Clinical Finding,S,135821003,2002-01-31,2099-12-31,NA
4047989,Under care of community drug team,Observation,SNOMED,Clinical Finding,S,135828009,2002-01-31,2099-12-31,NA
4073196,Health maintenance alteration,Observation,SNOMED,Clinical Finding,S,24441001,2002-01-31,2099-12-31,NA
4124067,Under care of genetic counselor,Observation,SNOMED,Clinical Finding,S,305441001,2002-01-31,2099-12-31,NA
4124068,Under care of homeopath,Observation,SNOMED,Clinical Finding,S,305447002,2002-01-31,2099-12-31,NA
4124069,Under care of osteopath,Observation,SNOMED,Clinical Finding,S,305449004,2002-01-31,2099-12-31,NA
4124070,Under care of radiotherapist,Observation,SNOMED,Clinical Finding,S,305454008,2002-01-31,2099-12-31,NA
4124071,Under care of GP,Observation,SNOMED,Clinical Finding,S,305455009,2002-01-31,2099-12-31,NA
4124072,Under care of clinical allergist,Observation,SNOMED,Clinical Finding,S,305471009,2002-01-31,2099-12-31,NA
4124073,Under care of clinical neurophysiologist,Observation,SNOMED,Clinical Finding,S,305478003,2002-01-31,2099-12-31,NA
4124074,Under care of clinical pharmacologist,Observation,SNOMED,Clinical Finding,S,305479006,2002-01-31,2099-12-31,NA
4124075,Under care of dermatologist,Observation,SNOMED,Clinical Finding,S,305481008,2002-01-31,2099-12-31,NA
4124076,Under care of gastroenterologist,Observation,SNOMED,Clinical Finding,S,305483006,2002-01-31,2099-12-31,NA
4124077,Under care of geneticist,Observation,SNOMED,Clinical Finding,S,305485004,2002-01-31,2099-12-31,NA
4124078,Under care of nephrologist,Observation,SNOMED,Clinical Finding,S,305493004,2002-01-31,2099-12-31,NA
4124079,Under care of neurologist,Observation,SNOMED,Clinical Finding,S,305494005,2002-01-31,2099-12-31,NA
4124080,Under care of nuclear medicine physician,Observation,SNOMED,Clinical Finding,S,305495006,2002-01-31,2099-12-31,NA
4124081,Under care of pediatrician,Observation,SNOMED,Clinical Finding,S,305500009,2002-01-31,2099-12-31,NA
4124082,Under care of general pathologist,Observation,SNOMED,Clinical Finding,S,305508002,2002-01-31,2099-12-31,NA
4124083,Under care of immunopathologist,Observation,SNOMED,Clinical Finding,S,305510000,2002-01-31,2099-12-31,NA
4124084,Under care of neuropathologist,Observation,SNOMED,Clinical Finding,S,305512008,2002-01-31,2099-12-31,NA
4124085,Under care of child and adolescent psychiatrist,Observation,SNOMED,Clinical Finding,S,305514009,2002-01-31,2099-12-31,NA
4124086,Under care of forensic psychiatrist,Observation,SNOMED,Clinical Finding,S,305515005,2002-01-31,2099-12-31,NA
4124087,Under care of obstetrician and gynecologist,Observation,SNOMED,Clinical Finding,S,305520005,2002-01-31,2099-12-31,NA
4124088,Under care of obstetrician,Observation,SNOMED,Clinical Finding,S,305522002,2002-01-31,2099-12-31,NA
4124089,Under care of cardiothoracic surgeon,Observation,SNOMED,Clinical Finding,S,305527008,2002-01-31,2099-12-31,NA
4124090,Under care of dental surgeon,Observation,SNOMED,Clinical Finding,S,305530001,2002-01-31,2099-12-31,NA
4124091,Under care of restorative dentist,Observation,SNOMED,Clinical Finding,S,305533004,2002-01-31,2099-12-31,NA
4124092,"Under care of ear, nose and throat surgeon",Observation,SNOMED,Clinical Finding,S,305534005,2002-01-31,2099-12-31,NA
4124093,Under care of endocrine surgeon,Observation,SNOMED,Clinical Finding,S,305535006,2002-01-31,2099-12-31,NA
4124094,Under care of gastrointestinal surgeon,Observation,SNOMED,Clinical Finding,S,305536007,2002-01-31,2099-12-31,NA
4124095,Under care of colorectal surgeon,Observation,SNOMED,Clinical Finding,S,305539000,2002-01-31,2099-12-31,NA
4124096,Under care of general surgeon,Observation,SNOMED,Clinical Finding,S,305540003,2002-01-31,2099-12-31,NA
4124097,Under care of pediatric surgeon,Observation,SNOMED,Clinical Finding,S,305547000,2002-01-31,2099-12-31,NA
4124098,Under care of pancreatic surgeon,Observation,SNOMED,Clinical Finding,S,305548005,2002-01-31,2099-12-31,NA
4124099,Under care of transplant surgeon,Observation,SNOMED,Clinical Finding,S,305550002,2002-01-31,2099-12-31,NA
4124100,Under care of trauma surgeon,Observation,SNOMED,Clinical Finding,S,305551003,2002-01-31,2099-12-31,NA
4124211,Under care of agency nurse,Observation,SNOMED,Clinical Finding,S,305555007,2002-01-31,2099-12-31,NA
4124212,Under care of contact tracing nurse,Observation,SNOMED,Clinical Finding,S,305559001,2002-01-31,2099-12-31,NA
4124213,Under care of genitourinary nurse,Observation,SNOMED,Clinical Finding,S,305562003,2002-01-31,2099-12-31,NA
4124214,Under care of Marie Curie nurse,Observation,SNOMED,Clinical Finding,S,305564002,2002-01-31,2099-12-31,NA
4124215,Under care of nurse psychotherapist,Observation,SNOMED,Clinical Finding,S,305567009,2002-01-31,2099-12-31,NA
4124216,Under care of rheumatology nurse specialist,Observation,SNOMED,Clinical Finding,S,305572000,2002-01-31,2099-12-31,NA
4124217,Under care of stoma nurse,Observation,SNOMED,Clinical Finding,S,305573005,2002-01-31,2099-12-31,NA
4124218,Under care of community psychiatric nurse,Observation,SNOMED,Clinical Finding,S,305575003,2002-01-31,2099-12-31,NA
4124219,Under care of district nurse,Observation,SNOMED,Clinical Finding,S,305578001,2002-01-31,2099-12-31,NA
4124220,Under care of hospital-based midwife,Observation,SNOMED,Clinical Finding,S,305588000,2002-01-31,2099-12-31,NA
4124221,Under care of arts therapist,Observation,SNOMED,Clinical Finding,S,305591000,2002-01-31,2099-12-31,NA
4124222,Under care of dance therapist,Observation,SNOMED,Clinical Finding,S,305593002,2002-01-31,2099-12-31,NA
4124223,Under care of audiologist,Observation,SNOMED,Clinical Finding,S,305597001,2002-01-31,2099-12-31,NA
4124224,Under care of hospital-based physiotherapist,Observation,SNOMED,Clinical Finding,S,305615004,2002-01-31,2099-12-31,NA
4128747,Under care of chiropractor,Observation,SNOMED,Clinical Finding,S,305446006,2002-01-31,2099-12-31,NA
4128748,Under care of anesthetist,Observation,SNOMED,Clinical Finding,S,305452007,2002-01-31,2099-12-31,NA
4128749,Under care of own GP,Observation,SNOMED,Clinical Finding,S,305456005,2002-01-31,2099-12-31,NA
4128750,Under care of adult intensive care specialist,Observation,SNOMED,Clinical Finding,S,305466002,2002-01-31,2099-12-31,NA
4128751,Under care of pain management specialist,Observation,SNOMED,Clinical Finding,S,305469009,2002-01-31,2099-12-31,NA
4128753,Under care of clinical immunologist,Observation,SNOMED,Clinical Finding,S,305477008,2002-01-31,2099-12-31,NA
4128754,Under care of clinical physiologist,Observation,SNOMED,Clinical Finding,S,305480009,2002-01-31,2099-12-31,NA
4128755,Under care of clinical geneticist,Observation,SNOMED,Clinical Finding,S,305486003,2002-01-31,2099-12-31,NA
4128756,Under care of clinical molecular geneticist,Observation,SNOMED,Clinical Finding,S,305488002,2002-01-31,2099-12-31,NA
4128757,Under care of infectious diseases physician,Observation,SNOMED,Clinical Finding,S,305491002,2002-01-31,2099-12-31,NA
4128758,Under care of medical ophthalmologist,Observation,SNOMED,Clinical Finding,S,305492009,2002-01-31,2099-12-31,NA
4128759,Under care of radiologist,Observation,SNOMED,Clinical Finding,S,305497003,2002-01-31,2099-12-31,NA
4128760,Under care of community pediatrician,Observation,SNOMED,Clinical Finding,S,305501008,2002-01-31,2099-12-31,NA
4128761,Under care of neonatologist,Observation,SNOMED,Clinical Finding,S,305502001,2002-01-31,2099-12-31,NA
4128762,Under care of pathologist,Observation,SNOMED,Clinical Finding,S,305505004,2002-01-31,2099-12-31,NA
4128763,Under care of liaison psychiatrist,Observation,SNOMED,Clinical Finding,S,305516006,2002-01-31,2099-12-31,NA
4128764,Under care of rehabilitation psychiatrist,Observation,SNOMED,Clinical Finding,S,305519004,2002-01-31,2099-12-31,NA
4131382,Clinical management plan agreed,Observation,SNOMED,Clinical Finding,S,413094005,2004-07-31,2099-12-31,NA
4131513,Under care of pediatric specialist nurse,Observation,SNOMED,Clinical Finding,S,413151002,2004-07-31,2099-12-31,NA
4131514,Under care of pediatric dietitian,Observation,SNOMED,Clinical Finding,S,413152009,2004-07-31,2099-12-31,NA
4134412,Staff member inadequately supervised,Observation,SNOMED,Clinical Finding,S,397976005,2003-07-31,2099-12-31,NA
4134549,Staff member inadequately assisted,Observation,SNOMED,Clinical Finding,S,398087002,2003-07-31,2099-12-31,NA
