concept_id,concept_name,domain_id,vocabulary_id,concept_class_id,standard_concept,concept_code,valid_start_date,valid_end_date,invalid_reason
192450,Retention of urine,Condition,SNOMED,Disorder,S,267064002,2002-01-31,2099-12-31,NA
4126275,Acute-on-chronic retention of urine,Condition,SNOMED,Disorder,S,236649000,2002-01-31,2099-12-31,NA
4127571,Chronic retention of urine,Condition,SNOMED,Disorder,S,236650000,2002-01-31,2099-12-31,NA
4127572,Clot retention of urine,Condition,SNOMED,Disorder,S,236651001,2002-01-31,2099-12-31,NA
4128388,Acute retention of urine,Condition,SNOMED,Disorder,S,236648008,2002-01-31,2099-12-31,NA
4128390,Postoperative retention of urine,Condition,SNOMED,Disorder,S,236652008,2002-01-31,2099-12-31,NA
4160562,Retention of urine due to occlusion of Foley catheter,Condition,SNOMED,Disorder,S,430976005,2008-07-31,2099-12-31,NA
36684265,Cauda equina syndrome with painless urinary retention,Condition,SNOMED,Disorder,S,782390002,2019-01-31,2099-12-31,NA
36712820,Postprocedural retention of urine,Condition,SNOMED,Disorder,S,12245681000119103,2017-01-31,2099-12-31,NA
37208049,Retention of urine caused by drug,Condition,SNOMED,Disorder,S,367421000119109,2019-07-31,2099-12-31,NA
45763743,Fowler syndrome,Condition,SNOMED,Disorder,S,700242002,2014-07-31,2099-12-31,NA
