concept_id,concept_name,domain_id,vocabulary_id,concept_class_id,standard_concept,concept_code,valid_start_date,valid_end_date,invalid_reason
135360,Syncope,Condition,SNOMED,Clinical Finding,S,271594007,2002-01-31,2099-12-31,NA
140586,Heat syncope,Condition,SNOMED,Clinical Finding,S,89797005,2002-01-31,2099-12-31,NA
194856,Hepatic coma due to viral hepatitis A,Condition,SNOMED,Disorder,S,16060001,2002-01-31,2099-12-31,NA
196029,Hepatic coma due to viral hepatitis,Condition,SNOMED,Disorder,S,40946000,2002-01-31,2099-12-31,NA
200031,Hepatic coma due to viral hepatitis B,Condition,SNOMED,Disorder,S,26206000,2002-01-31,2099-12-31,NA
201530,Hyperosmolar coma due to type 2 diabetes mellitus,Condition,SNOMED,Disorder,S,190331003,2002-01-31,2099-12-31,NA
201531,Hyperosmolar coma due to type 1 diabetes mellitus,Condition,SNOMED,Disorder,S,190330002,2002-01-31,2099-12-31,NA
372444,Coma in the newborn,Condition,SNOMED,Disorder,S,90224001,2002-01-31,2099-12-31,NA
372448,Loss of consciousness,Observation,SNOMED,Clinical Finding,S,419045004,2006-01-31,2099-12-31,NA
375671,Concussion with loss of consciousness,Condition,SNOMED,Disorder,S,62564004,2002-01-31,2099-12-31,NA
376961,Disturbance of consciousness,Observation,SNOMED,Clinical Finding,S,3006004,2002-01-31,2099-12-31,NA
377604,Hepatic coma,Condition,SNOMED,Disorder,S,72836002,2002-01-31,2099-12-31,NA
380688,Hypoglycemic coma,Condition,SNOMED,Disorder,S,267384006,2002-01-31,2099-12-31,NA
380834,Coma,Condition,SNOMED,Disorder,S,371632003,2002-07-31,2099-12-31,NA
380844,Prolonged loss of consciousness,Observation,SNOMED,Clinical Finding,S,7862002,2002-01-31,2099-12-31,NA
381135,Brief loss of consciousness,Observation,SNOMED,Clinical Finding,S,32834005,2002-01-31,2099-12-31,NA
381966,Moderate loss of consciousness,Observation,SNOMED,Clinical Finding,S,40863000,2002-01-31,2099-12-31,NA
433624,Intracranial hemorrhage following injury with open intracranial wound AND loss of consciousness,Condition,SNOMED,Disorder,S,13289004,2002-01-31,2099-12-31,NA
434774,Cortex contusion with open intracranial wound AND loss of consciousness,Condition,SNOMED,Disorder,S,81412002,2002-01-31,2099-12-31,NA
436526,Intracranial hemorrhage following injury with prolonged loss of consciousness AND return to pre-existing conscious level,Condition,SNOMED,Disorder,S,127311008,2002-01-31,2099-12-31,NA
437106,Intracranial hemorrhage following injury with prolonged loss of consciousness without return to pre-existing conscious level,Condition,SNOMED,Disorder,S,127312001,2002-01-31,2099-12-31,NA
437385,Intracranial injury with loss of consciousness,Condition,SNOMED,Disorder,S,127297005,2002-01-31,2099-12-31,NA
438279,Extradural hemorrhage following injury with open intracranial wound AND loss of consciousness,Condition,SNOMED,Disorder,S,111681000,2002-01-31,2099-12-31,NA
439194,Subdural hemorrhage following injury with open intracranial wound AND loss of consciousness,Condition,SNOMED,Disorder,S,45659008,2002-01-31,2099-12-31,NA
439672,Hepatic coma due to viral hepatitis C,Condition,SNOMED,Disorder,S,186628001,2002-01-31,2099-12-31,NA
439675,Hepatic coma due to acute hepatitis B with delta agent,Condition,SNOMED,Disorder,S,186624004,2002-01-31,2099-12-31,NA
440244,Subarachnoid hemorrhage following injury with open intracranial wound AND loss of consciousness,Condition,SNOMED,Disorder,S,75507000,2002-01-31,2099-12-31,NA
440551,Brain injury with open intracranial wound AND loss of consciousness,Condition,SNOMED,Disorder,S,13752003,2002-01-31,2099-12-31,NA
441702,Cerebellar contusion with open intracranial wound AND loss of consciousness,Condition,SNOMED,Disorder,S,19233004,2002-01-31,2099-12-31,NA
442114,Cortex laceration with open intracranial wound AND loss of consciousness,Condition,SNOMED,Disorder,S,41870008,2002-01-31,2099-12-31,NA
442616,Brain stem contusion with open intracranial wound AND loss of consciousness,Condition,SNOMED,Disorder,S,66393002,2002-01-31,2099-12-31,NA
443735,Coma due to diabetes mellitus,Condition,SNOMED,Disorder,S,420662003,2006-07-31,2099-12-31,NA
443799,Brain stem laceration with open intracranial wound AND loss of consciousness,Condition,SNOMED,Disorder,S,3119002,2002-01-31,2099-12-31,NA
444196,Intracranial hemorrhage following injury with moderate loss of consciousness,Condition,SNOMED,Disorder,S,127310009,2002-01-31,2099-12-31,NA
444197,Intracranial hemorrhage following injury with brief loss of consciousness,Condition,SNOMED,Disorder,S,127309004,2002-01-31,2099-12-31,NA
444198,Intracranial hemorrhage following injury with loss of consciousness,Condition,SNOMED,Disorder,S,127308007,2002-01-31,2099-12-31,NA
444257,Cerebellar laceration with open intracranial wound AND loss of consciousness,Condition,SNOMED,Disorder,S,84900008,2002-01-31,2099-12-31,NA
601160,Hyperosmolar coma due to drug induced diabetes mellitus,Condition,SNOMED,Disorder,S,367241000119104,2021-01-31,2099-12-31,NA
604740,Hind brain laceration with open intracranial wound and loss of consciousness,Condition,SNOMED,Disorder,S,1003584006,2021-01-31,2099-12-31,NA
605653,Hepatic coma due to viral hepatitis D,Condition,SNOMED,Disorder,S,1137357005,2021-07-31,2099-12-31,NA
618762,Brain stem laceration with loss of consciousness,Condition,SNOMED,Disorder,S,874943000,2021-01-31,2099-12-31,NA
763021,Chronic viral hepatitis C with hepatic coma,Condition,SNOMED,Disorder,S,435101000124104,2013-09-01,2099-12-31,NA
1340466,Exacerbation of sedation,Condition,OMOP Extension,Clinical Finding,S,OMOP5166121,2022-05-06,2099-12-31,NA
1340472,Exacerbation of syncope,Condition,OMOP Extension,Clinical Finding,S,OMOP5166127,2022-05-06,2099-12-31,NA
1450403,Exercise syncope,Condition,SNOMED,Clinical Finding,S,2427351000000100,2025-04-09,2099-12-31,NA
3169641,Deep coma due to concussion,Condition,Nebraska Lexicon,Clinical Finding,S,12500001000004105,2016-01-28,2099-12-31,NA
3188049,Episodic altered awareness,Condition,Nebraska Lexicon,Clinical Finding,S,22870001000004103,2016-01-28,2099-12-31,NA
3189861,Sundowner's syndrome,Condition,Nebraska Lexicon,Clinical Finding,S,20070001000004107,2016-01-28,2099-12-31,NA
3190265,Psychogenic coma,Condition,Nebraska Lexicon,Clinical Finding,S,20890001000004103,2016-01-28,2099-12-31,NA
4008577,Insulin coma,Condition,SNOMED,Disorder,S,111558006,2002-01-31,2099-12-31,NA
4016541,Intracranial injury with prolonged coma,Condition,SNOMED,Disorder,S,210039000,2002-01-31,2099-12-31,NA
4019263,Concussion with less than 1 hour loss of consciousness,Condition,SNOMED,Disorder,S,209827006,2002-01-31,2099-12-31,NA
4035682,Chronic confusion,Observation,SNOMED,Clinical Finding,S,130988005,2002-01-31,2099-12-31,NA
4038794,Acute confusion,Observation,SNOMED,Clinical Finding,S,130987000,2002-01-31,2099-12-31,NA
4043563,Excessive daytime sleepiness with sleep paralysis,Condition,SNOMED,Disorder,S,230492006,2002-01-31,2099-12-31,NA
4043888,Post-ictal coma,Condition,SNOMED,Disorder,S,230801000,2002-01-31,2099-12-31,NA
4045847,Post-traumatic coma,Condition,SNOMED,Disorder,S,230799003,2002-01-31,2099-12-31,NA
4045848,Alcoholic coma,Condition,SNOMED,Disorder,S,230800004,2002-01-31,2099-12-31,NA
4048804,Pituitary coma,Condition,SNOMED,Disorder,S,230795009,2002-01-31,2099-12-31,NA
4048805,Non-diabetic hypoglycemic coma,Condition,SNOMED,Disorder,S,230796005,2002-01-31,2099-12-31,NA
4048806,Post-anoxic coma,Condition,SNOMED,Disorder,S,230797001,2002-01-31,2099-12-31,NA
4048807,Hypothermic coma,Condition,SNOMED,Disorder,S,230798006,2002-01-31,2099-12-31,NA
4053712,Syncope caused by centrifugal force in flying,Condition,SNOMED,Clinical Finding,S,242030003,2002-01-31,2099-12-31,NA
4059416,Myxedema coma,Condition,SNOMED,Disorder,S,21263006,2002-01-31,2099-12-31,NA
4077017,Sedated,Observation,SNOMED,Clinical Finding,S,17971005,2002-01-31,2099-12-31,NA
4078686,Seems in a dream,Observation,SNOMED,Clinical Finding,S,19129003,2002-01-31,2099-12-31,NA
4083373,Drug-induced coma,Condition,SNOMED,Disorder,S,281510005,2002-01-31,2099-12-31,NA
4084430,Hypoxic-ischemic coma,Condition,SNOMED,Disorder,S,281509000,2002-01-31,2099-12-31,NA
4085732,Intermittent confusion,Observation,SNOMED,Clinical Finding,S,281793005,2002-01-31,2099-12-31,NA
4087467,Feeling faint,Observation,SNOMED,Clinical Finding,S,248223005,2002-01-31,2099-12-31,NA
4087468,Seems in a trance,Observation,SNOMED,Clinical Finding,S,248225003,2002-01-31,2099-12-31,NA
4093832,Absences,Observation,SNOMED,Clinical Finding,S,248227006,2002-01-31,2099-12-31,NA
4093833,Funny turn,Observation,SNOMED,Clinical Finding,S,248228001,2002-01-31,2099-12-31,NA
4095288,Ketoacidotic coma due to diabetes mellitus,Condition,SNOMED,Disorder,S,26298008,2002-01-31,2099-12-31,NA
4098310,Psychogenic stupor,Condition,SNOMED,Disorder,S,191683009,2002-01-31,2099-12-31,NA
4102966,Acute stupor state due to acute stress reaction,Condition,SNOMED,Disorder,S,192039002,2002-01-31,2099-12-31,NA
4108537,Disorder of excessive somnolence,Condition,SNOMED,Disorder,S,194439006,2002-01-31,2099-12-31,NA
4116724,Vacant episode,Observation,SNOMED,Clinical Finding,S,285741001,2002-01-31,2099-12-31,NA
4119784,Defecation syncope,Condition,SNOMED,Clinical Finding,S,234169009,2002-01-31,2099-12-31,NA
4120935,Malignant vasovagal syndrome,Condition,SNOMED,Clinical Finding,S,234164004,2002-01-31,2099-12-31,NA
4120936,Vasovagal syncope due to immersion,Condition,SNOMED,Clinical Finding,S,234166002,2002-01-31,2099-12-31,NA
4121812,Situational syncope,Condition,SNOMED,Clinical Finding,S,234167006,2002-01-31,2099-12-31,NA
4121813,Micturition syncope,Condition,SNOMED,Clinical Finding,S,234168001,2002-01-31,2099-12-31,NA
4125000,Elderly vasovagal syndrome,Condition,SNOMED,Clinical Finding,S,234165003,2002-01-31,2099-12-31,NA
4125001,Deglutition syncope,Condition,SNOMED,Clinical Finding,S,234170005,2002-01-31,2099-12-31,NA
4132082,Traumatic brain injury with loss of consciousness,Condition,SNOMED,Disorder,S,127298000,2002-01-31,2099-12-31,NA
4132083,Traumatic brain injury with brief loss of consciousness,Condition,SNOMED,Disorder,S,127299008,2002-01-31,2099-12-31,NA
4133017,Traumatic brain injury with moderate loss of consciousness,Condition,SNOMED,Disorder,S,127300000,2002-01-31,2099-12-31,NA
4133018,Traumatic brain injury with prolonged loss of consciousness,Condition,SNOMED,Disorder,S,127301001,2002-01-31,2099-12-31,NA
4135923,Grayout,Observation,SNOMED,Clinical Finding,S,31804002,2002-01-31,2099-12-31,NA
4147917,Drugged state,Observation,SNOMED,Clinical Finding,S,34951003,2002-01-31,2099-12-31,NA
4149868,Gets drowsiness,Observation,SNOMED,Clinical Finding,S,267088000,2002-01-31,2099-12-31,NA
4152074,Effort syncope,Condition,SNOMED,Clinical Finding,S,31457007,2002-01-31,2099-12-31,NA
4152347,Drowsy,Observation,SNOMED,Clinical Finding,S,271782001,2002-01-31,2099-12-31,NA
4154638,Stokes-Adams attack,Condition,SNOMED,Disorder,S,271547004,2002-01-31,2099-12-31,NA
4154699,Traumatic intracranial subdural hematoma with brief loss of consciousness,Condition,SNOMED,Disorder,S,371050006,2002-07-31,2099-12-31,NA
4158341,Semiconscious,Observation,SNOMED,Clinical Finding,S,271783006,2002-01-31,2099-12-31,NA
4158978,Somnolence syndrome,Condition,SNOMED,Disorder,S,370971007,2002-07-31,2099-12-31,NA
4162208,Syncope due to orthostatic hypotension,Condition,SNOMED,Clinical Finding,S,432524006,2008-07-31,2099-12-31,NA
4162976,Vasovagal syncope,Condition,SNOMED,Clinical Finding,S,398665005,2003-07-31,2099-12-31,NA
4164633,Clouded consciousness,Observation,SNOMED,Clinical Finding,S,40917007,2002-01-31,2099-12-31,NA
4168031,Unconscious,Observation,SNOMED,Clinical Finding,S,418107008,2006-01-31,2099-12-31,NA
4168294,Nitrogen narcosis,Condition,SNOMED,Disorder,S,48620000,2002-01-31,2099-12-31,NA
4170464,Post-cardiorespiratory arrest coma,Condition,SNOMED,Disorder,S,275470000,2002-01-31,2099-12-31,NA
4187714,Excessive somnolence,Observation,SNOMED,Clinical Finding,S,372947007,2002-07-31,2099-12-31,NA
4199932,Intermittent drowsiness,Observation,SNOMED,Clinical Finding,S,315243006,2002-01-31,2099-12-31,NA
4206148,Syncope and collapse,Condition,SNOMED,Clinical Finding,S,309585006,2002-01-31,2099-12-31,NA
4206874,Intracranial injury with prolonged coma without open wound,Condition,SNOMED,Disorder,S,311827003,2002-01-31,2099-12-31,NA
4209118,Post-ictal drowsiness,Condition,SNOMED,Clinical Finding,S,313432002,2002-01-31,2099-12-31,NA
