concept_id,concept_name,domain_id,vocabulary_id,concept_class_id,standard_concept,concept_code,valid_start_date,valid_end_date,invalid_reason
74130,Thoracic spondylosis without myelopathy,Condition,SNOMED,Disorder,S,267971005,2002-01-31,2099-12-31,NA
74132,Degeneration of lumbosacral intervertebral disc,Condition,SNOMED,Disorder,S,60937000,2002-01-31,2099-12-31,NA
74194,Sprain of spinal ligament,Condition,SNOMED,Disorder,S,281598004,2002-01-31,2099-12-31,NA
74725,Displacement of cervical intervertebral disc without myelopathy,Condition,SNOMED,Disorder,S,85216006,2002-01-31,2099-12-31,NA
75344,Intervertebral disc disorder,Condition,SNOMED,Disorder,S,36427004,2002-01-31,2099-12-31,NA
77638,Displacement of intervertebral disc without myelopathy,Condition,SNOMED,Disorder,S,70218004,2002-01-31,2099-12-31,NA
77639,Diffuse cervicobrachial syndrome,Condition,SNOMED,Disorder,S,33420007,2002-01-31,2099-12-31,NA
78282,Closed traumatic dislocation of coccyx,Condition,SNOMED,Disorder,S,49891002,2002-01-31,2099-12-31,NA
78357,Reactive arthritis triad,Condition,SNOMED,Disorder,S,67224007,2002-01-31,2099-12-31,NA
78832,Intervertebral disc disorder with myelopathy,Condition,SNOMED,Disorder,S,44983007,2002-01-31,2099-12-31,NA
79119,Thoracic spondylosis with myelopathy,Condition,SNOMED,Disorder,S,10948005,2002-01-31,2099-12-31,NA
80189,Displacement of lumbar intervertebral disc without myelopathy,Condition,SNOMED,Disorder,S,20021007,2002-01-31,2099-12-31,NA
80496,Schmorl's nodes,Condition,SNOMED,Disorder,S,45181002,2002-01-31,2099-12-31,NA
80559,Closed traumatic dislocation of thoracic vertebra,Condition,SNOMED,Disorder,S,8758001,2002-01-31,2099-12-31,NA
80813,Lumbosacral spondylosis without myelopathy,Condition,SNOMED,Disorder,S,48210000,2002-01-31,2099-12-31,NA
80816,Degeneration of intervertebral disc,Condition,SNOMED,Disorder,S,77547008,2002-01-31,2099-12-31,NA
132466,Lumbar sprain,Condition,SNOMED,Disorder,S,209565008,2002-01-31,2099-12-31,NA
134186,Open dislocation of vertebra,Condition,SNOMED,Disorder,S,88743001,2002-01-31,2099-12-31,NA
138283,Closed dislocation of sacrum,Condition,SNOMED,Disorder,S,269129003,2002-01-31,2099-12-31,NA
138519,Spondylosis without myelopathy,Condition,SNOMED,Disorder,S,68859000,2002-01-31,2099-12-31,NA
138886,Closed traumatic dislocation of vertebra,Condition,SNOMED,Disorder,S,12462000,2002-01-31,2099-12-31,NA
139110,Intervertebral disc disorder of thoracic region with myelopathy,Condition,SNOMED,Disorder,S,41022003,2002-01-31,2099-12-31,NA
139906,Intervertebral disc disorder of cervical region with myelopathy,Condition,SNOMED,Disorder,S,75467001,2002-01-31,2099-12-31,NA
141104,Intervertebral disc disorder of lumbar region with myelopathy,Condition,SNOMED,Disorder,S,34139004,2002-01-31,2099-12-31,NA
141941,Cervical spondylosis without myelopathy,Condition,SNOMED,Disorder,S,267970006,2002-01-31,2099-12-31,NA
141982,Open dislocation of sacrum,Condition,SNOMED,Disorder,S,209112009,2002-01-31,2099-12-31,NA
198520,Lumbar spondylosis with myelopathy,Condition,SNOMED,Disorder,S,67437007,2002-01-31,2099-12-31,NA
314131,Degeneration of cervical intervertebral disc,Condition,SNOMED,Disorder,S,69195002,2002-01-31,2099-12-31,NA
315947,Thoracic back sprain,Condition,SNOMED,Disorder,S,274162005,2002-01-31,2099-12-31,NA
318521,Displacement of thoracic intervertebral disc without myelopathy,Condition,SNOMED,Disorder,S,64787009,2002-01-31,2099-12-31,NA
318522,Schmorl's nodes of thoracic region,Condition,SNOMED,Disorder,S,86804002,2002-01-31,2099-12-31,NA
321389,Disorder of intervertebral disc of thoracic spine,Condition,SNOMED,Disorder,S,428778006,2008-01-31,2099-12-31,NA
321975,Closed traumatic dislocation of seventh cervical vertebra,Condition,SNOMED,Disorder,S,11008006,2002-01-31,2099-12-31,NA
433048,Closed traumatic dislocation of fifth cervical vertebra,Condition,SNOMED,Disorder,S,89130002,2002-01-31,2099-12-31,NA
433337,Closed traumatic dislocation of fourth cervical vertebra,Condition,SNOMED,Disorder,S,20132009,2002-01-31,2099-12-31,NA
434449,Degeneration of thoracolumbar intervertebral disc,Condition,SNOMED,Disorder,S,91240008,2002-01-31,2099-12-31,NA
434784,Closed traumatic dislocation of first cervical vertebra,Condition,SNOMED,Disorder,S,10771002,2002-01-31,2099-12-31,NA
435041,Schmorl's nodes of lumbar region,Condition,SNOMED,Disorder,S,29574001,2002-01-31,2099-12-31,NA
437082,Ankylosing spondylitis,Condition,SNOMED,Disorder,S,9631008,2002-01-31,2099-12-31,NA
437125,Closed traumatic dislocation of lumbar vertebra,Condition,SNOMED,Disorder,S,17214002,2002-01-31,2099-12-31,NA
438007,Open dislocation of lumbar vertebra,Condition,SNOMED,Disorder,S,54317001,2002-01-31,2099-12-31,NA
438277,Closed traumatic dislocation of third cervical vertebra,Condition,SNOMED,Disorder,S,496002,2002-01-31,2099-12-31,NA
438889,Open dislocation of cervical spine,Condition,SNOMED,Disorder,S,209054005,2002-01-31,2099-12-31,NA
439164,Closed traumatic dislocation of sixth cervical vertebra,Condition,SNOMED,Disorder,S,40047007,2002-01-31,2099-12-31,NA
440224,Closed traumatic dislocation of cervical vertebra,Condition,SNOMED,Disorder,S,111648001,2002-01-31,2099-12-31,NA
440239,Closed traumatic dislocation of second cervical vertebra,Condition,SNOMED,Disorder,S,46931002,2002-01-31,2099-12-31,NA
441434,Open dislocation of multiple cervical vertebrae,Condition,SNOMED,Disorder,S,209071006,2002-01-31,2099-12-31,NA
442186,Open dislocation of first cervical vertebra,Condition,SNOMED,Disorder,S,79125007,2002-01-31,2099-12-31,NA
442331,Open dislocation of coccyx,Condition,SNOMED,Disorder,S,44237008,2002-01-31,2099-12-31,NA
442583,Open dislocation of seventh cervical vertebra,Condition,SNOMED,Disorder,S,78396000,2002-01-31,2099-12-31,NA
442775,Degeneration of thoracic intervertebral disc,Condition,SNOMED,Disorder,S,68675004,2002-01-31,2099-12-31,NA
443075,Open dislocation thoracic spine,Condition,SNOMED,Disorder,S,209090003,2002-01-31,2099-12-31,NA
443116,Cervical posterior longitudinal ligament ossification,Condition,SNOMED,Disorder,S,202771000,2002-01-31,2099-12-31,NA
443769,Degeneration of lumbar intervertebral disc,Condition,SNOMED,Disorder,S,26538006,2002-01-31,2099-12-31,NA
443885,Open dislocation of fifth cervical vertebra,Condition,SNOMED,Disorder,S,13463001,2002-01-31,2099-12-31,NA
443926,Open dislocation of third cervical vertebra,Condition,SNOMED,Disorder,S,50087006,2002-01-31,2099-12-31,NA
443942,Open dislocation of second cervical vertebra,Condition,SNOMED,Disorder,S,45387006,2002-01-31,2099-12-31,NA
443948,Open dislocation of sixth cervical vertebra,Condition,SNOMED,Disorder,S,3217005,2002-01-31,2099-12-31,NA
444281,Open dislocation of fourth cervical vertebra,Condition,SNOMED,Disorder,S,69593000,2002-01-31,2099-12-31,NA
606556,Displacement of lumbar intervertebral disc,Condition,SNOMED,Disorder,S,1145238004,2021-07-31,2099-12-31,NA
606559,Displacement of intervertebral disc,Condition,SNOMED,Disorder,S,1145241008,2021-07-31,2099-12-31,NA
606560,Rupture of cervical intervertebral disc,Condition,SNOMED,Disorder,S,1145242001,2021-07-31,2099-12-31,NA
606561,Rupture of lumbar intervertebral disc,Condition,SNOMED,Disorder,S,1145243006,2021-07-31,2099-12-31,NA
607025,Closed dislocation of thoracic and lumbar spine,Condition,SNOMED,Disorder,S,1148990002,2021-07-31,2099-12-31,NA
607398,Axial spondyloarthritis with peripheral joint involvement,Condition,SNOMED,Disorder,S,1153369009,2021-07-31,2099-12-31,NA
607400,Inflammation of intervertebral disc caused by fungus,Condition,SNOMED,Disorder,S,1153372002,2021-07-31,2099-12-31,NA
607413,Destructive spondylopathy,Condition,SNOMED,Disorder,S,1153391002,2021-07-31,2099-12-31,NA
607418,Infection of intervertebral disc caused by bacterium,Condition,SNOMED,Disorder,S,1153396007,2021-07-31,2099-12-31,NA
607427,Bacterial spondyloarthritis,Condition,SNOMED,Disorder,S,1153410003,2021-07-31,2099-12-31,NA
607428,Spondyloarthritis caused by fungus,Condition,SNOMED,Disorder,S,1153411004,2021-07-31,2099-12-31,NA
760722,Bacterial arthritis of vertebral column,Condition,SNOMED,Disorder,S,116441000119107,2016-03-01,2099-12-31,NA
762770,Syndesmophyte,Condition,SNOMED,Disorder,S,431621000124100,2012-09-01,2099-12-31,NA
762775,Intervertebral disc desiccation,Condition,SNOMED,Disorder,S,431731000124106,2012-09-01,2099-12-31,NA
762917,Concentric tear of annulus fibrosis of intervertebral disc,Condition,SNOMED,Disorder,S,433721000124109,2013-03-01,2099-12-31,NA
762918,Transverse tear of annulus fibrosis of intervertebral disc,Condition,SNOMED,Disorder,S,433731000124107,2013-03-01,2099-12-31,NA
763920,Herniation of nucleus pulposus of cervical intervertebral disc,Condition,SNOMED,Disorder,S,448581000124108,2015-09-01,2099-12-31,NA
763921,Herniation of nucleus pulposus of thoracic intervertebral disc,Condition,SNOMED,Disorder,S,448601000124103,2015-09-01,2099-12-31,NA
763930,Herniation of lumbar intervertebral disc with sciatica,Condition,SNOMED,Disorder,S,448701000124105,2015-09-01,2099-12-31,NA
764930,Spondylosis due to another disorder,Condition,SNOMED,Disorder,S,86261000119104,2016-03-01,2099-12-31,NA
765044,Reactive arthritis of spine,Condition,SNOMED,Disorder,S,104681000119106,2016-03-01,2099-12-31,NA
765402,Herniation of nucleus pulposus of lumbar intervertebral disc,Condition,SNOMED,Disorder,S,448591000124106,2015-09-01,2099-12-31,NA
954085,Discospondylitis,Condition,SNOMED Veterinary,Clinical Finding,S,360871000009103,2019-08-09,2099-12-31,NA
1074905,Infection associated with prosthetic intervertebral disc,Condition,SNOMED,Disorder,S,111681000119107,2024-03-01,2099-12-31,NA
1075900,Thoracolumbar disc disorder,Condition,SNOMED,Disorder,S,1332461009,2024-05-01,2099-12-31,NA
1076200,PASS syndrome,Condition,SNOMED,Disorder,S,1336115002,2024-06-01,2099-12-31,NA
1076699,Arthritis of intervertebral joint due to and following immunization,Condition,SNOMED,Disorder,S,16050831000119100,2024-08-01,2099-12-31,NA
1076990,Staphylococcal arthritis of intervertebral joint,Condition,SNOMED,Disorder,S,321791000119100,2024-06-01,2099-12-31,NA
1077336,Non-radiographic axial spondyloarthritis of lumbar and sacral regions,Condition,SNOMED,Disorder,S,493721211000119100,2024-07-01,2099-12-31,NA
1077446,Non-radiographic axial spondyloarthritis of thoracic and lumbar regions,Condition,SNOMED,Disorder,S,785716931000119106,2024-07-01,2099-12-31,NA
1077466,Non-radiographic axial spondyloarthritis of cervical region,Condition,SNOMED,Disorder,S,834127761000119108,2024-07-01,2099-12-31,NA
1077498,Diffuse tenosynovial giant cell tumor of joint of vertebra,Condition,SNOMED,Disorder,S,87021000119103,2024-08-01,2099-12-31,NA
1077506,Non-radiographic axial spondyloarthritis of lumbar region,Condition,SNOMED,Disorder,S,938000861000119106,2024-07-01,2099-12-31,NA
1244250,Central cord syndrome of cervical spinal cord due to closed dislocation of cervical spine,Condition,SNOMED,Disorder,S,1269527001,2023-12-01,2099-12-31,NA
1244255,Central cord syndrome due to cervical spondylosis,Condition,SNOMED,Disorder,S,1269533005,2023-12-01,2099-12-31,NA
1244256,Central cord syndrome of cervical spinal cord due to closed subluxation of cervical spine,Condition,SNOMED,Disorder,S,1269534004,2023-12-01,2099-12-31,NA
1244257,Central cord syndrome of cervical spinal cord due to open dislocation of cervical spine,Condition,SNOMED,Disorder,S,1269535003,2023-12-01,2099-12-31,NA
1244258,Central cord syndrome of cervical cord due to open subluxation of cervical spine,Condition,SNOMED,Disorder,S,1269536002,2023-12-01,2099-12-31,NA
1244262,Central cord syndrome of lumbar spinal cord due to closed spinal dislocation,Condition,SNOMED,Disorder,S,1279872002,2023-12-01,2099-12-31,NA
1244263,Central cord syndrome of lumbar spinal cord due to closed spinal subluxation,Condition,SNOMED,Disorder,S,1279873007,2023-12-01,2099-12-31,NA
1244264,Central cord syndrome of lumbar spinal cord due to open spinal dislocation,Condition,SNOMED,Disorder,S,1279874001,2023-12-01,2099-12-31,NA
1244265,Central cord syndrome of lumbar spinal cord due to open spinal subluxation,Condition,SNOMED,Disorder,S,1279875000,2023-12-01,2099-12-31,NA
1244608,Disorder of cervicothoracic intervertebral disc,Condition,SNOMED,Disorder,S,1290155005,2023-10-01,2099-12-31,NA
1244707,Facet joint injury,Condition,SNOMED,Disorder,S,1290607009,2023-10-01,2099-12-31,NA
1246668,Infective arthritis of joint of vertebral column,Condition,SNOMED,Disorder,S,673111000119103,2024-02-01,2099-12-31,NA
1246675,Arthritis of joint structure of spine caused by Streptococcus,Condition,SNOMED,Disorder,S,673941000119102,2024-02-01,2099-12-31,NA
1340249,Exacerbation of ankylosing spondylitis,Condition,OMOP Extension,Disorder,S,OMOP5165904,2022-05-06,2099-12-31,NA
1340469,Exacerbation of spondylosis,Condition,OMOP Extension,Disorder,S,OMOP5166124,2022-05-06,2099-12-31,NA
1448865,Posterior cord syndrome due to cervical spondylosis,Condition,SNOMED,Disorder,S,1343514001,2024-12-01,2099-12-31,NA
1448869,Osteoarthritis of spine,Condition,SNOMED,Disorder,S,1343601009,2024-11-01,2099-12-31,NA
1448870,Osteoarthritis of thoracic spine,Condition,SNOMED,Disorder,S,1343603007,2024-11-01,2099-12-31,NA
1448871,Osteoarthritis of cervical spine,Condition,SNOMED,Disorder,S,1343604001,2024-11-01,2099-12-31,NA
1448872,Osteoarthritis of lumbar spine,Condition,SNOMED,Disorder,S,1343605000,2024-11-01,2099-12-31,NA
1448890,Degeneration of seventh cervical intervertebral disc,Condition,SNOMED,Disorder,S,1343715002,2024-11-01,2099-12-31,NA
3172392,C6 C7 unilateral jumped facet,Condition,Nebraska Lexicon,Clinical Finding,S,21120001000004106,2016-01-28,2099-12-31,NA
3176403,Compressed cervical disc,Condition,Nebraska Lexicon,Clinical Finding,S,20820001000004107,2016-01-28,2099-12-31,NA
3179697,L4 L5 disc bulge,Condition,Nebraska Lexicon,Clinical Finding,S,23410001000004108,2016-01-28,2099-12-31,NA
3655287,Iatrogenic instability of spine,Condition,SNOMED,Disorder,S,860817008,2020-07-31,2099-12-31,NA
