concept_id,concept_name,domain_id,vocabulary_id,concept_class_id,standard_concept,concept_code,valid_start_date,valid_end_date,invalid_reason
433315,Feeding problems in newborn,Condition,SNOMED,Clinical Finding,S,72552008,2002-01-31,2099-12-31,NA
434750,Feeding difficulties and mismanagement,Observation,SNOMED,Clinical Finding,S,274540003,2002-01-31,2099-12-31,NA
438872,Excessive eating,Observation,SNOMED,Clinical Finding,S,267023007,2002-01-31,2099-12-31,NA
441137,Eating finding,Observation,SNOMED,Clinical Finding,S,225525008,2002-01-31,2099-12-31,NA
442165,Loss of appetite,Observation,SNOMED,Clinical Finding,S,79890006,2002-01-31,2099-12-31,NA
602850,Tolerating diet,Observation,SNOMED,Clinical Finding,S,1144522003,2021-07-31,2099-12-31,NA
602979,Breastfeeding temporarily discontinued,Observation,SNOMED,Clinical Finding,S,1149253002,2021-07-31,2099-12-31,NA
606615,Exclusively breastfed,Observation,SNOMED,Clinical Finding,S,1145307003,2021-07-31,2099-12-31,NA
763512,Limited food acceptance,Observation,SNOMED,Clinical Finding,S,441941000124104,2014-03-01,2099-12-31,NA
763761,Feeding intention - formula,Observation,SNOMED,Clinical Finding,S,445671000124102,2014-09-01,2099-12-31,NA
764035,Able to control portion size,Observation,SNOMED,Clinical Finding,S,449921000124105,2016-03-01,2099-12-31,NA
764760,Unable to control portion size,Observation,SNOMED,Clinical Finding,S,5971000175109,2016-03-01,2099-12-31,NA
765749,Feeding intention - breast and formula,Observation,SNOMED,Clinical Finding,S,445661000124109,2014-09-01,2099-12-31,NA
765780,Mixes medication with alcohol,Observation,SNOMED,Clinical Finding,S,5581000175102,2016-03-01,2099-12-31,NA
915726,Patient identified as an unhealthy alcohol user when screened for unhealthy alcohol use using a systematic screening method and received brief counseling,Observation,HCPCS,HCPCS,S,G9621,2016-01-01,2099-12-31,NA
915727,Patient not identified as an unhealthy alcohol user when screened for unhealthy alcohol use using a systematic screening method,Observation,HCPCS,HCPCS,S,G9622,2016-01-01,2099-12-31,NA
1075371,"Early-onset obesity, hyperphagia, severe developmental delay syndrome",Condition,SNOMED,Disorder,S,1303867005,2024-03-01,2099-12-31,NA
1076190,Exclusive bottle feeding,Observation,SNOMED,Clinical Finding,S,1336082005,2024-06-01,2099-12-31,NA
1246774,Acute pediatric feeding disorder,Condition,SNOMED,Clinical Finding,S,817685381000119106,2023-10-01,2099-12-31,NA
1449153,Drinks alcohol with meals,Observation,SNOMED,Clinical Finding,S,1351240009,2024-10-01,2099-12-31,NA
1450340,Eating and drinking with acknowledged risks,Observation,SNOMED,Clinical Finding,S,2345081000000105,2025-02-12,2099-12-31,NA
3198798,Difficulty chewing due to dentures,Observation,Nebraska Lexicon,Clinical Finding,S,11420001000004108,2016-01-28,2099-12-31,NA
4004997,Difficulty eating,Observation,SNOMED,Clinical Finding,S,110292000,2002-01-31,2099-12-31,NA
4009390,Feeding problem in child,Condition,SNOMED,Clinical Finding,S,102609007,2002-01-31,2099-12-31,NA
4010021,Carbohydrate craving,Observation,SNOMED,Clinical Finding,S,102607009,2002-01-31,2099-12-31,NA
4010978,Excessive appetite,Observation,SNOMED,Clinical Finding,S,102608004,2002-01-31,2099-12-31,NA
4010980,Regurgitation of food,Condition,SNOMED,Clinical Finding,S,102622004,2002-01-31,2099-12-31,NA
4012070,Difficulty swallowing solids,Observation,SNOMED,Clinical Finding,S,162024005,2002-01-31,2099-12-31,NA
4012071,Difficulty swallowing fluid,Observation,SNOMED,Clinical Finding,S,162025006,2002-01-31,2099-12-31,NA
4012491,Difficulty chewing,Observation,SNOMED,Clinical Finding,S,162020001,2002-01-31,2099-12-31,NA
4012662,Dependent for feeding,Observation,SNOMED,Clinical Finding,S,165222009,2002-01-31,2099-12-31,NA
4012838,Needs help with feeding,Observation,SNOMED,Clinical Finding,S,165223004,2002-01-31,2099-12-31,NA
4012839,Independent feeding,Observation,SNOMED,Clinical Finding,S,165224005,2002-01-31,2099-12-31,NA
4014153,Breastfed,Observation,SNOMED,Clinical Finding,S,169741004,2002-01-31,2099-12-31,NA
4014154,Breastfeeding with supplement,Observation,SNOMED,Clinical Finding,S,169743001,2002-01-31,2099-12-31,NA
4014440,Breast changed to bottle feed,Observation,SNOMED,Clinical Finding,S,169744007,2002-01-31,2099-12-31,NA
4014441,Bottle feeding stopped,Observation,SNOMED,Clinical Finding,S,169748005,2002-01-31,2099-12-31,NA
4014586,Breast fed at 10 days,Observation,SNOMED,Clinical Finding,S,169968005,2002-01-31,2099-12-31,NA
4014587,Breast and supplement fed at 10 days,Observation,SNOMED,Clinical Finding,S,169969002,2002-01-31,2099-12-31,NA
4014588,Bottle fed at 6 weeks,Observation,SNOMED,Clinical Finding,S,169972009,2002-01-31,2099-12-31,NA
4014589,Breast fed at 6 weeks,Observation,SNOMED,Clinical Finding,S,169973004,2002-01-31,2099-12-31,NA
4014591,Bottle fed at 3 months,Observation,SNOMED,Clinical Finding,S,169978008,2002-01-31,2099-12-31,NA
4014592,Breast fed at 3 months,Observation,SNOMED,Clinical Finding,S,169979000,2002-01-31,2099-12-31,NA
4014593,On solids at 3 months,Observation,SNOMED,Clinical Finding,S,169981003,2002-01-31,2099-12-31,NA
4014596,On normal diet at 9 months,Observation,SNOMED,Clinical Finding,S,169995000,2002-01-31,2099-12-31,NA
4014598,On normal diet at 1 year,Observation,SNOMED,Clinical Finding,S,170003005,2002-01-31,2099-12-31,NA
4014722,Bottle fed at 10 days,Observation,SNOMED,Clinical Finding,S,169967000,2002-01-31,2099-12-31,NA
4014724,On solids at 6 weeks,Observation,SNOMED,Clinical Finding,S,169975006,2002-01-31,2099-12-31,NA
4014727,Breast fed at 9 months,Observation,SNOMED,Clinical Finding,S,169992002,2002-01-31,2099-12-31,NA
4014728,On solids at 1 year,Observation,SNOMED,Clinical Finding,S,170002000,2002-01-31,2099-12-31,NA
4015144,Breastfeeding started,Observation,SNOMED,Clinical Finding,S,169745008,2002-01-31,2099-12-31,NA
4015145,Infant weaned,Observation,SNOMED,Clinical Finding,S,169749002,2002-01-31,2099-12-31,NA
4015305,Breastfeeding stopped,Observation,SNOMED,Clinical Finding,S,169746009,2002-01-31,2099-12-31,NA
4015306,Bottle feeding started,Observation,SNOMED,Clinical Finding,S,169747000,2002-01-31,2099-12-31,NA
4015307,Bottle changed to breast,Observation,SNOMED,Clinical Finding,S,169751003,2002-01-31,2099-12-31,NA
4016060,Difficult to establish feeding,Observation,SNOMED,Clinical Finding,S,169947009,2002-01-31,2099-12-31,NA
4016067,Breast and supplement fed at 3 months,Observation,SNOMED,Clinical Finding,S,169980002,2002-01-31,2099-12-31,NA
4016068,Bottle fed at 6 months,Observation,SNOMED,Clinical Finding,S,169984006,2002-01-31,2099-12-31,NA
4016069,Breast fed at 6 months,Observation,SNOMED,Clinical Finding,S,169985007,2002-01-31,2099-12-31,NA
4016070,Breast and supplement fed at 6 months,Observation,SNOMED,Clinical Finding,S,169986008,2002-01-31,2099-12-31,NA
4016071,On solids at 6 months,Observation,SNOMED,Clinical Finding,S,169987004,2002-01-31,2099-12-31,NA
4016072,On normal diet at 6 months,Observation,SNOMED,Clinical Finding,S,169988009,2002-01-31,2099-12-31,NA
4016073,Bottle fed at 9 months,Observation,SNOMED,Clinical Finding,S,169991009,2002-01-31,2099-12-31,NA
4016074,Breast and supplement fed at 9 months,Observation,SNOMED,Clinical Finding,S,169993007,2002-01-31,2099-12-31,NA
4016477,Breast and supplement fed at 6 weeks,Observation,SNOMED,Clinical Finding,S,169974005,2002-01-31,2099-12-31,NA
4016478,On solids at 9 months,Observation,SNOMED,Clinical Finding,S,169994001,2002-01-31,2099-12-31,NA
