concept_id,concept_name,domain_id,vocabulary_id,concept_class_id,standard_concept,concept_code,valid_start_date,valid_end_date,invalid_reason
372599,Severe mixed bipolar I disorder without psychotic features,Condition,SNOMED,Disorder,S,46229002,2002-01-31,2099-12-31,NA
373176,Organic mood disorder,Condition,SNOMED,Disorder,S,23645006,2002-01-31,2099-12-31,NA
381537,Organic anxiety disorder,Condition,SNOMED,Disorder,S,17496003,2002-01-31,2099-12-31,NA
432285,Recurrent major depressive episodes,Condition,SNOMED,Disorder,S,268621008,2002-01-31,2099-12-31,NA
432290,"Mild bipolar I disorder, single manic episode",Condition,SNOMED,Disorder,S,41552001,2002-01-31,2099-12-31,NA
432600,Stress reaction causing mixed disturbance of emotion and conduct,Condition,SNOMED,Disorder,S,192044009,2002-01-31,2099-12-31,NA
432601,Childhood and adolescent disturbance with elective mutism,Condition,SNOMED,Disorder,S,268669006,2002-01-31,2099-12-31,NA
432866,"Bipolar I disorder, single manic episode",Condition,SNOMED,Disorder,S,9340000,2002-01-31,2099-12-31,NA
432876,Bipolar I disorder,Condition,SNOMED,Disorder,S,371596008,2002-07-31,2099-12-31,NA
432883,"Recurrent major depressive episodes, moderate",Condition,SNOMED,Disorder,S,191611001,2002-01-31,2099-12-31,NA
433178,Anxiety disorder of childhood OR adolescence,Condition,SNOMED,Disorder,S,109006,2002-01-31,2099-12-31,NA
433440,Dysthymia,Condition,SNOMED,Disorder,S,78667006,2002-01-31,2099-12-31,NA
433743,Mixed bipolar I disorder in remission,Condition,SNOMED,Disorder,S,35481005,2002-01-31,2099-12-31,NA
433991,Recurrent major depression in remission,Condition,SNOMED,Disorder,S,68019004,2002-01-31,2099-12-31,NA
433992,"Bipolar affective disorder, currently manic, moderate",Condition,SNOMED,Disorder,S,191621009,2002-01-31,2099-12-31,NA
434613,Generalized anxiety disorder,Condition,SNOMED,Disorder,S,21897009,2002-01-31,2099-12-31,NA
434628,Separation anxiety,Condition,SNOMED,Disorder,S,126943008,2002-01-31,2099-12-31,NA
434911,"Recurrent major depressive episodes, severe, with psychosis",Condition,SNOMED,Disorder,S,191613003,2002-01-31,2099-12-31,NA
435220,Severe recurrent major depression without psychotic features,Condition,SNOMED,Disorder,S,36474008,2002-01-31,2099-12-31,NA
435225,Depressed bipolar I disorder in full remission,Condition,SNOMED,Disorder,S,22121000,2002-01-31,2099-12-31,NA
435226,"Bipolar affective disorder, current episode mixed",Condition,SNOMED,Disorder,S,192362008,2002-01-31,2099-12-31,NA
435520,Reactive depressive psychosis,Condition,SNOMED,Disorder,S,191676002,2002-01-31,2099-12-31,NA
436072,Bipolar disorder in partial remission,Condition,SNOMED,Disorder,S,5703000,2002-01-31,2099-12-31,NA
436074,Panic disorder,Condition,SNOMED,Disorder,S,371631005,2002-07-31,2099-12-31,NA
436079,Mood disorder caused by drug,Condition,SNOMED,Disorder,S,429672007,2008-01-31,2099-12-31,NA
436086,Manic bipolar I disorder in full remission,Condition,SNOMED,Disorder,S,30935000,2002-01-31,2099-12-31,NA
436386,Severe depressed bipolar I disorder with psychotic features,Condition,SNOMED,Disorder,S,59617007,2002-01-31,2099-12-31,NA
436665,Bipolar disorder,Condition,SNOMED,Disorder,S,13746004,2002-01-31,2099-12-31,NA
436676,Posttraumatic stress disorder,Condition,SNOMED,Disorder,S,47505003,2002-01-31,2099-12-31,NA
436817,Feeling nervous,Observation,SNOMED,Clinical Finding,S,424196004,2007-01-31,2099-12-31,NA
437249,Recurrent manic episodes,Condition,SNOMED,Disorder,S,191590005,2002-01-31,2099-12-31,NA
437250,Mild depressed bipolar I disorder,Condition,SNOMED,Disorder,S,74686005,2002-01-31,2099-12-31,NA
437522,Severe mood disorder without psychotic features,Condition,SNOMED,Disorder,S,88939009,2002-01-31,2099-12-31,NA
