concept_id,concept_name,domain_id,vocabulary_id,concept_class_id,standard_concept,concept_code,valid_start_date,valid_end_date,invalid_reason
137519,Thyrotoxicosis due to ectopic thyroid nodule with crisis,Condition,SNOMED,Disorder,S,190256007,2002-01-31,2099-12-31,NA
138718,Thyrotoxicosis due to ectopic thyroid nodule with no crisis,Condition,SNOMED,Disorder,S,190255006,2002-01-31,2099-12-31,NA
1244153,Postpartum hyperthyroidism,Condition,SNOMED,Disorder,S,10754961000119101,2023-09-01,2099-12-31,NA
1340365,Exacerbation of hyperthyroidism,Condition,OMOP Extension,Disorder,S,OMOP5166020,2022-05-06,2099-12-31,NA
4030051,Familial dysalbuminemic hyperthyroxinemia,Condition,SNOMED,Disorder,S,237547004,2002-01-31,2099-12-31,NA
4034822,Dysprealbuminemic euthyroidal hyperthyroxinemia,Condition,SNOMED,Disorder,S,237549001,2002-01-31,2099-12-31,NA
4094160,Hyperthyroidism due to struma ovarii,Condition,SNOMED,Disorder,S,25008002,2002-01-31,2099-12-31,NA
4100629,Hyperthyroidism with Hashimoto disease,Condition,SNOMED,Disorder,S,27538003,2002-01-31,2099-12-31,NA
4129357,Iodine-induced hyperthyroidism,Condition,SNOMED,Disorder,S,237510004,2002-01-31,2099-12-31,NA
4130012,Hashitoxicosis - transient,Condition,SNOMED,Disorder,S,237500008,2002-01-31,2099-12-31,NA
4142479,Hyperthyroidism,Condition,SNOMED,Disorder,S,34486009,2002-01-31,2099-12-31,NA
4176932,Subclinical hyperthyroidism,Condition,SNOMED,Disorder,S,427970008,2008-01-31,2099-12-31,NA
4194323,Hyperthyroidism secondary to radio contrast dye,Condition,SNOMED,Disorder,S,67723002,2002-01-31,2099-12-31,NA
4210297,Neonatal transient hyperthyroidism,Condition,SNOMED,Disorder,S,5604000,2002-01-31,2099-12-31,NA
4227238,Hyperthyroidism due to hydatidiform mole with thyrotoxic crisis,Condition,SNOMED,Disorder,S,40607004,2002-01-31,2099-12-31,NA
4241482,Hyperthyroidism secondary to potassium iodide,Condition,SNOMED,Disorder,S,5834008,2002-01-31,2099-12-31,NA
4259138,Hyperthyroidism due to molar thyrotropin,Condition,SNOMED,Disorder,S,44744000,2002-01-31,2099-12-31,NA
4265061,Hyperthyroidism secondary to amiodarone,Condition,SNOMED,Disorder,S,62052002,2002-01-31,2099-12-31,NA
4337834,Hyperthyroidism due to ectopic thyroid nodule,Condition,SNOMED,Disorder,S,87232008,2002-01-31,2099-12-31,NA
36716766,Secondary hyperthyroidism,Condition,SNOMED,Disorder,S,722941003,2017-01-31,2099-12-31,NA
36716767,Familial hyperthyroidism,Condition,SNOMED,Disorder,S,722942005,2017-01-31,2099-12-31,NA
37166868,Resistance to thyroid hormone due to mutation in thyroid hormone receptor beta,Condition,SNOMED,Disorder,S,1260241001,2023-01-31,2099-12-31,NA
37396803,Familial non-autoimmune autosomal dominant hyperthyroidism,Condition,SNOMED,Disorder,S,716743006,2016-07-31,2099-12-31,NA
45757130,Hyperthyroidism in childbirth,Condition,SNOMED,Disorder,S,10754921000119106,2014-07-31,2099-12-31,NA
