concept_id,concept_name,domain_id,vocabulary_id,concept_class_id,standard_concept,concept_code,valid_start_date,valid_end_date,invalid_reason
254058,Acute bronchiolitis caused by respiratory syncytial virus,Condition,SNOMED,Disorder,S,195739001,2002-01-31,2099-12-31,NA
257778,Pertussis,Condition,SNOMED,Disorder,S,27836007,2002-01-31,2099-12-31,NA
260134,Croup,Condition,SNOMED,Disorder,S,71186008,2002-01-31,2099-12-31,NA
1077370,Acute lower respiratory infection caused by respiratory syncytial virus,Condition,SNOMED,Disorder,S,587751151000119107,2024-05-01,2099-12-31,NA
1340298,Exacerbation of croup,Condition,OMOP Extension,Disorder,S,OMOP5165953,2022-05-06,2099-12-31,NA
3661405,Acute bronchitis caused by SARS-CoV-2,Condition,SNOMED,Disorder,S,138389411000119105,2020-07-31,2099-12-31,NA
4048517,Acute bronchopneumonia,Condition,SNOMED,Disorder,S,123587001,2002-01-31,2099-12-31,NA
4049964,Acute bacterial bronchitis,Condition,SNOMED,Disorder,S,233598009,2002-01-31,2099-12-31,NA
4051332,Acute mycoplasmal bronchitis,Condition,SNOMED,Disorder,S,233599001,2002-01-31,2099-12-31,NA
4052542,Acute chlamydial bronchitis,Condition,SNOMED,Disorder,S,233600003,2002-01-31,2099-12-31,NA
4052543,Acute viral bronchitis,Condition,SNOMED,Disorder,S,233601004,2002-01-31,2099-12-31,NA
4052544,Acute viral bronchiolitis,Condition,SNOMED,Disorder,S,233602006,2002-01-31,2099-12-31,NA
4052545,Acute bronchiolitis caused by adenovirus,Condition,SNOMED,Disorder,S,233603001,2002-01-31,2099-12-31,NA
4082065,Acute pulmonary African histoplasmosis,Condition,SNOMED,Disorder,S,240741002,2002-01-31,2099-12-31,NA
4087776,Acute pulmonary coccidioidomycosis,Condition,SNOMED,Disorder,S,187027001,2002-01-31,2099-12-31,NA
4093475,Acute pulmonary blastomycosis,Condition,SNOMED,Disorder,S,187069002,2002-01-31,2099-12-31,NA
4110023,Acute bronchitis caused by Haemophilus influenzae,Condition,SNOMED,Disorder,S,195721005,2002-01-31,2099-12-31,NA
4110056,Chronic obstructive pulmonary disease with acute lower respiratory infection,Condition,SNOMED,Disorder,S,196001008,2002-01-31,2099-12-31,NA
4110481,Acute Moraxella catarrhalis bronchitis,Condition,SNOMED,Disorder,S,195722003,2002-01-31,2099-12-31,NA
4110483,Acute coxsackievirus bronchitis,Condition,SNOMED,Disorder,S,195725001,2002-01-31,2099-12-31,NA
4110484,Acute respiratory syncytial virus bronchitis,Condition,SNOMED,Disorder,S,195727009,2002-01-31,2099-12-31,NA
4110485,Acute echovirus bronchitis,Condition,SNOMED,Disorder,S,195729007,2002-01-31,2099-12-31,NA
4112015,Acute streptococcal bronchitis,Condition,SNOMED,Disorder,S,195720006,2002-01-31,2099-12-31,NA
4112357,Acute purulent bronchitis,Condition,SNOMED,Disorder,S,195717003,2002-01-31,2099-12-31,NA
4112358,Acute pneumococcal bronchitis,Condition,SNOMED,Disorder,S,195719000,2002-01-31,2099-12-31,NA
4112359,Acute parainfluenza virus bronchitis,Condition,SNOMED,Disorder,S,195726000,2002-01-31,2099-12-31,NA
4112521,Acute bronchitis caused by rhinovirus,Condition,SNOMED,Disorder,S,195728004,2002-01-31,2099-12-31,NA
4115044,Acute infective exacerbation of chronic obstructive pulmonary disease,Condition,SNOMED,Disorder,S,285381006,2002-01-31,2099-12-31,NA
4200018,Acute viral laryngotracheitis,Condition,SNOMED,Disorder,S,301824001,2002-01-31,2099-12-31,NA
4208807,Acute infective bronchitis,Condition,SNOMED,Disorder,S,312371005,2002-01-31,2099-12-31,NA
4208810,Acute infective tracheobronchitis,Condition,SNOMED,Disorder,S,312400008,2002-01-31,2099-12-31,NA
4241693,Acute pulmonary histoplasmosis,Condition,SNOMED,Disorder,S,58524006,2002-01-31,2099-12-31,NA
4252538,Healthcare associated pertussis,Condition,SNOMED,Disorder,S,408682005,2004-07-31,2099-12-31,NA
4307774,Acute lower respiratory tract infection,Condition,SNOMED,Disorder,S,195742007,2006-01-31,2099-12-31,NA
40482069,Inflammation of bronchiole caused by Human metapneumovirus,Condition,SNOMED,Disorder,S,445102008,2010-07-31,2099-12-31,NA
45770911,Acute pneumonia caused by coccidioidomycosis,Condition,SNOMED,Disorder,S,184431000119108,2014-07-31,2099-12-31,NA
46270510,Acute aspiration pneumonia,Condition,SNOMED,Disorder,S,35031000119100,2015-07-31,2099-12-31,NA
