concept_id,concept_name,domain_id,vocabulary_id,concept_class_id,standard_concept,concept_code,valid_start_date,valid_end_date,invalid_reason
374326,Arteriosclerotic dementia with depression,Condition,SNOMED,Disorder,S,191466007,2002-01-31,2099-12-31,NA
374341,Huntington's chorea,Condition,SNOMED,Disorder,S,58756001,2002-01-31,2099-12-31,NA
374888,Dementia associated with another disease,Condition,SNOMED,Disorder,S,191519005,2002-01-31,2099-12-31,NA
375791,Uncomplicated senile dementia,Condition,SNOMED,Disorder,S,191449005,2002-01-31,2099-12-31,NA
376085,Uncomplicated presenile dementia,Condition,SNOMED,Disorder,S,191451009,2002-01-31,2099-12-31,NA
376094,Arteriosclerotic dementia with delirium,Condition,SNOMED,Disorder,S,191464005,2002-01-31,2099-12-31,NA
376095,Drug-induced dementia,Condition,SNOMED,Disorder,S,191493005,2002-01-31,2099-12-31,NA
376946,Senile dementia with delirium,Condition,SNOMED,Disorder,S,191461002,2002-01-31,2099-12-31,NA
377254,"Multi-infarct dementia, uncomplicated",Condition,SNOMED,Disorder,S,70936005,2002-01-31,2099-12-31,NA
377527,Presenile dementia with depression,Condition,SNOMED,Disorder,S,191455000,2002-01-31,2099-12-31,NA
377788,General paresis - neurosyphilis,Condition,SNOMED,Disorder,S,51928006,2002-01-31,2099-12-31,NA
378125,Presenile dementia,Condition,SNOMED,Disorder,S,12348006,2002-01-31,2099-12-31,NA
378419,Alzheimer's disease,Condition,SNOMED,Disorder,S,26929004,2002-01-31,2099-12-31,NA
378726,Dementia associated with alcoholism,Condition,SNOMED,Disorder,S,281004,2002-01-31,2099-12-31,NA
379778,Multi-infarct dementia,Condition,SNOMED,Disorder,S,56267009,2002-01-31,2099-12-31,NA
379784,Senile dementia with depression,Condition,SNOMED,Disorder,S,191459006,2002-01-31,2099-12-31,NA
380986,Senile dementia with delusion,Condition,SNOMED,Disorder,S,371024007,2002-07-31,2099-12-31,NA
381832,Presenile dementia with delirium,Condition,SNOMED,Disorder,S,191452002,2002-01-31,2099-12-31,NA
439276,Uncomplicated arteriosclerotic dementia,Condition,SNOMED,Disorder,S,191463004,2002-01-31,2099-12-31,NA
441002,Dementia of frontal lobe type,Condition,SNOMED,Disorder,S,278857002,2002-01-31,2099-12-31,NA
443605,Vascular dementia,Condition,SNOMED,Disorder,S,429998004,2008-07-31,2099-12-31,NA
443790,Multi-infarct dementia with delusions,Condition,SNOMED,Disorder,S,25772007,2002-01-31,2099-12-31,NA
443864,Multi-infarct dementia with depression,Condition,SNOMED,Disorder,S,14070001,2002-01-31,2099-12-31,NA
444091,Multi-infarct dementia with delirium,Condition,SNOMED,Disorder,S,10349009,2002-01-31,2099-12-31,NA
603149,Autosomal dominant Alzheimer disease due to mutation of presenilin 1,Condition,SNOMED,Disorder,S,1156800008,2021-07-31,2099-12-31,NA
606974,Dementia due to deficiency of folic acid,Condition,SNOMED,Disorder,S,1148924004,2021-07-31,2099-12-31,NA
608051,Autosomal dominant Alzheimer disease due to mutation of amyloid precursor protein,Condition,SNOMED,Disorder,S,1156789004,2021-07-31,2099-12-31,NA
608060,Autosomal dominant Alzheimer disease due to mutation of presenilin 2,Condition,SNOMED,Disorder,S,1156798001,2021-07-31,2099-12-31,NA
762497,Mild dementia,Condition,SNOMED,Disorder,S,428051000124108,2012-09-01,2099-12-31,NA
