concept_id,concept_name,domain_id,vocabulary_id,concept_class_id,standard_concept,concept_code,valid_start_date,valid_end_date,invalid_reason
432524,"Noncollision motor vehicle traffic accident involving fall down stairs of motor bus while boarding or alighting, pedestrian injured",Observation,SNOMED,Event,S,214444006,2002-01-31,2099-12-31,NA
432803,Fall from ladder,Observation,SNOMED,Event,S,86591008,2002-01-31,2099-12-31,NA
432804,Fall from scaffold,Observation,SNOMED,Event,S,2617007,2002-01-31,2099-12-31,NA
432806,Fall from cliff,Observation,SNOMED,Event,S,4521008,2002-01-31,2099-12-31,NA
433095,Fall on or from steps,Observation,SNOMED,Event,S,217092005,2002-01-31,2099-12-31,NA
433374,Fall due to roller skates or skateboard,Observation,SNOMED,Event,S,242397005,2002-01-31,2099-12-31,NA
433393,Fall into hole,Observation,SNOMED,Event,S,68274007,2002-01-31,2099-12-31,NA
433657,Fall from furniture,Observation,SNOMED,Event,S,242413007,2002-01-31,2099-12-31,NA
433662,"Fall in aircraft, not due to an accident to aircraft, occupant of military aircraft injured",Observation,SNOMED,Event,S,216134003,2002-01-31,2099-12-31,NA
433946,Fall on same level due to impact against another person,Observation,SNOMED,Event,S,274919008,2002-01-31,2099-12-31,NA
434236,Fall involving sports equipment,Observation,SNOMED,Event,S,39109007,2002-01-31,2099-12-31,NA
434549,Fall from toilet seat,Observation,SNOMED,Event,S,242419006,2002-01-31,2099-12-31,NA
435153,"Noncollision motor vehicle traffic accident involving fall down stairs of motor bus while boarding or alighting, motor cyclist injured",Observation,SNOMED,Event,S,214439004,2002-01-31,2099-12-31,NA
435172,Fall on or from escalator,Observation,SNOMED,Event,S,217084001,2002-01-31,2099-12-31,NA
435442,Fall into well,Observation,SNOMED,Event,S,217123007,2002-01-31,2099-12-31,NA
435443,Fall from wheelchair,Observation,SNOMED,Event,S,17886000,2002-01-31,2099-12-31,NA
435705,"Noncollision motor vehicle traffic accident involving fall down stairs of motor bus while boarding or alighting, driver of motor vehicle injured",Observation,SNOMED,Event,S,214437002,2002-01-31,2099-12-31,NA
435982,Fall on board vessel without accident to vessel,Observation,SNOMED,Event,S,242182003,2002-01-31,2099-12-31,NA
435990,Fall from moving vehicle,Observation,SNOMED,Event,S,84026000,2002-01-31,2099-12-31,NA
435991,Accidental fall,Observation,SNOMED,Event,S,217082002,2002-01-31,2099-12-31,NA
436299,Fall from one level to another,Observation,SNOMED,Event,S,242408008,2002-01-31,2099-12-31,NA
436583,Fall,Observation,SNOMED,Event,S,1912002,2002-01-31,2099-12-31,NA
436614,"Noncollision motor vehicle traffic accident involving fall down stairs of motor bus while boarding or alighting, rider of animal or occupant of animal-drawn vehicle injured",Observation,SNOMED,Event,S,214442005,2002-01-31,2099-12-31,NA
436882,Fall from bed,Observation,SNOMED,Event,S,20902002,2002-01-31,2099-12-31,NA
437174,Fall into storm drain,Observation,SNOMED,Event,S,242421001,2002-01-31,2099-12-31,NA
437175,"Fall on same level from slipping, tripping or stumbling",Observation,SNOMED,Event,S,217154006,2002-01-31,2099-12-31,NA
437477,Fall from playground equipment,Observation,SNOMED,Event,S,41411008,2002-01-31,2099-12-31,NA
438303,Fall on same level from sports contact,Observation,SNOMED,Event,S,217161005,2002-01-31,2099-12-31,NA
438319,"Fall in aircraft, not due to an accident to aircraft, occupant of commercial aircraft in surface to air transport injured",Observation,SNOMED,Event,S,216137005,2002-01-31,2099-12-31,NA
438651,"Fall in train, passenger injured",Observation,SNOMED,Event,S,213914006,2002-01-31,2099-12-31,NA
439492,"Fall from aircraft, not due to an accident to aircraft, member of ground crew or airline employee injured",Observation,SNOMED,Event,S,216163000,2002-01-31,2099-12-31,NA
439493,"Fall from aircraft, not due to an accident to aircraft, parachutist injured",Observation,SNOMED,Event,S,216162005,2002-01-31,2099-12-31,NA
439494,"Fall from aircraft, not due to an accident to aircraft, occupant of unpowered aircraft, except parachutist, injured",Observation,SNOMED,Event,S,216161003,2002-01-31,2099-12-31,NA
439495,"Fall from aircraft, not due to an accident to aircraft, occupant of commercial aircraft in surface to air transport injured",Observation,SNOMED,Event,S,216159007,2002-01-31,2099-12-31,NA
439496,"Fall from aircraft, not due to an accident to aircraft, member of crew of commercial aircraft in surface to surface transport injured",Observation,SNOMED,Event,S,216157009,2002-01-31,2099-12-31,NA
439497,"Fall from aircraft, not due to an accident to aircraft, occupant of military aircraft injured",Observation,SNOMED,Event,S,216156000,2002-01-31,2099-12-31,NA
439499,"Fall in aircraft, not due to an accident to aircraft, member of ground crew or airline employee injured",Observation,SNOMED,Event,S,216141009,2002-01-31,2099-12-31,NA
439500,"Fall in aircraft, not due to an accident to aircraft, member of crew of commercial aircraft in surface to surface transport injured",Observation,SNOMED,Event,S,216135002,2002-01-31,2099-12-31,NA
439615,Fall from stationary vehicle,Observation,SNOMED,Event,S,217150002,2002-01-31,2099-12-31,NA
439616,Fall into manhole,Observation,SNOMED,Event,S,217124001,2002-01-31,2099-12-31,NA
440012,Fall from chair or bed,Observation,SNOMED,Event,S,217142006,2002-01-31,2099-12-31,NA
440306,"Fall on stairs in water transport, occupant of small unpowered boat injured",Observation,SNOMED,Event,S,215635009,2002-01-31,2099-12-31,NA
440308,Fall on snow,Observation,SNOMED,Event,S,56962005,2002-01-31,2099-12-31,NA
440903,"Fall in aircraft, not due to an accident to aircraft, parachutist injured",Observation,SNOMED,Event,S,216140005,2002-01-31,2099-12-31,NA
441201,Fall from building,Observation,SNOMED,Event,S,14047009,2002-01-31,2099-12-31,NA
441740,"Fall in train, railway employee injured",Observation,SNOMED,Event,S,213913000,2002-01-31,2099-12-31,NA
441749,Fall on or from stairs or steps,Observation,SNOMED,Event,S,217083007,2002-01-31,2099-12-31,NA
442020,"Fall on stairs in water transport, occupant of small powered boat injured",Observation,SNOMED,Event,S,215636005,2002-01-31,2099-12-31,NA
442495,"Fall from train, passenger injured",Observation,SNOMED,Event,S,213927005,2002-01-31,2099-12-31,NA
442496,"Fall from train, railway employee injured",Observation,SNOMED,Event,S,213926001,2002-01-31,2099-12-31,NA
442497,"Fall on train, pedal cyclist injured",Observation,SNOMED,Event,S,213922004,2002-01-31,2099-12-31,NA
442498,"Fall on train, pedestrian injured",Observation,SNOMED,Event,S,213920007,2002-01-31,2099-12-31,NA
442499,"Fall on train, passenger injured",Observation,SNOMED,Event,S,213919001,2002-01-31,2099-12-31,NA
442500,"Fall on train, railway employee injured",Observation,SNOMED,Event,S,213918009,2002-01-31,2099-12-31,NA
442504,"Fall in, on, or from train",Observation,SNOMED,Event,S,213911003,2002-01-31,2099-12-31,NA
442541,"Fall in, on, or from aircraft",Observation,SNOMED,Event,S,216107001,2002-01-31,2099-12-31,NA
443047,"Noncollision motor vehicle traffic accident involving fall down stairs of motor bus while boarding or alighting, pedal cyclist injured",Observation,SNOMED,Event,S,214443000,2002-01-31,2099-12-31,NA
443048,"Noncollision motor vehicle traffic accident involving fall down stairs of motor bus while boarding or alighting, occupant of tram injured",Observation,SNOMED,Event,S,214441003,2002-01-31,2099-12-31,NA
443049,"Noncollision motor vehicle traffic accident involving fall down stairs of motor bus while boarding or alighting, passenger of motor vehicle injured",Observation,SNOMED,Event,S,214438007,2002-01-31,2099-12-31,NA
443064,Fall into natural surface opening,Observation,SNOMED,Event,S,242426006,2002-01-31,2099-12-31,NA
443678,Fall-ladder water transport - swimmer injured,Observation,SNOMED,Event,S,215650000,2002-01-31,2099-12-31,NA
443680,"Fall on ladder in water transport, docker or stevedore injured",Observation,SNOMED,Event,S,215651001,2002-01-31,2099-12-31,NA
443681,"Fall on ladder in water transport, occupant of small powered boat injured",Observation,SNOMED,Event,S,215646007,2002-01-31,2099-12-31,NA
443682,"Fall on ladder in water transport, occupant of small unpowered boat injured",Observation,SNOMED,Event,S,215645006,2002-01-31,2099-12-31,NA
443683,"Fall on stairs in water transport, docker or stevedore injured",Observation,SNOMED,Event,S,215641002,2002-01-31,2099-12-31,NA
443684,Fall-stairs water transport - swimmer injured,Observation,SNOMED,Event,S,215640001,2002-01-31,2099-12-31,NA
443685,Fall on stairs or ladders in water transport,Observation,SNOMED,Event,S,215633002,2002-01-31,2099-12-31,NA
763084,Fall due to seizure,Observation,SNOMED,Event,S,435901000124102,2013-09-01,2099-12-31,NA
1447569,Fall on same level due to deliberate assault by push,Observation,SNOMED,Event,S,1345137003,2024-09-01,2099-12-31,NA
3169224,Fall from highchair,Observation,Nebraska Lexicon,Event,S,12900001000004100,2016-01-28,2099-12-31,NA
3175246,Fall while running,Observation,Nebraska Lexicon,Clinical Finding,S,17200001000004101,2016-01-28,2099-12-31,NA
3178191,Fall during current hospitalization,Observation,Nebraska Lexicon,Event,S,23450001000004104,2016-01-28,2099-12-31,NA
4027856,Fall from swing,Observation,SNOMED,Event,S,13278006,2002-01-31,2099-12-31,NA
4028986,Fall from slide,Observation,SNOMED,Event,S,13711007,2002-01-31,2099-12-31,NA
4029154,Fall down elevator shaft,Observation,SNOMED,Event,S,13935005,2002-01-31,2099-12-31,NA
4053420,Fall from stationary railway vehicle,Observation,SNOMED,Event,S,242079006,2002-01-31,2099-12-31,NA
4053475,Fall on stationary public service vehicle,Observation,SNOMED,Event,S,242121008,2002-01-31,2099-12-31,NA
4053476,Fall on moving public service vehicle,Observation,SNOMED,Event,S,242122001,2002-01-31,2099-12-31,NA
4053478,Fall from heavy goods vehicle,Observation,SNOMED,Event,S,242126003,2002-01-31,2099-12-31,NA
4053568,Fall down stairs of motor bus while boarding or alighting,Observation,SNOMED,Event,S,242109009,2002-01-31,2099-12-31,NA
4053572,Fall while boarding or alighting from public service vehicle,Observation,SNOMED,Event,S,242123006,2002-01-31,2099-12-31,NA
4053723,Fall from rigging on board vessel,Observation,SNOMED,Event,S,242183008,2002-01-31,2099-12-31,NA
4053863,Fall due to slipping on ice or snow,Observation,SNOMED,Event,S,242387001,2002-01-31,2099-12-31,NA
4053864,Fall due to defective pavement,Observation,SNOMED,Event,S,242393009,2002-01-31,2099-12-31,NA
4053865,Fall due to accidental trip by another person,Observation,SNOMED,Event,S,242394003,2002-01-31,2099-12-31,NA
4053866,Fall due to loss of equilibrium,Observation,SNOMED,Event,S,242398000,2002-01-31,2099-12-31,NA
4053867,Fall on same level due to accidental impact with another person,Observation,SNOMED,Event,S,242402009,2002-01-31,2099-12-31,NA
4053868,Fall from roof,Observation,SNOMED,Event,S,242410005,2002-01-31,2099-12-31,NA
4053869,Fall from stool,Observation,SNOMED,Event,S,242414001,2002-01-31,2099-12-31,NA
4053870,Fall from hospital gurney,Observation,SNOMED,Event,S,242415000,2002-01-31,2099-12-31,NA
4053871,Fall from ambulance stretcher,Observation,SNOMED,Event,S,242417008,2002-01-31,2099-12-31,NA
4053872,Fall into shaft of operational mine,Observation,SNOMED,Event,S,242424009,2002-01-31,2099-12-31,NA
4053873,Fall into shaft of disused mine,Observation,SNOMED,Event,S,242425005,2002-01-31,2099-12-31,NA
4053874,Fall into swallow hole,Observation,SNOMED,Event,S,242427002,2002-01-31,2099-12-31,NA
4054086,Fall on ice wearing ice-skates,Observation,SNOMED,Event,S,242388006,2002-01-31,2099-12-31,NA
4054087,Fall due to wet surface,Observation,SNOMED,Event,S,242389003,2002-01-31,2099-12-31,NA
4054088,Fall due to uneven surface indoors,Observation,SNOMED,Event,S,242396001,2002-01-31,2099-12-31,NA
4054089,Fall due to failure of rail,Observation,SNOMED,Event,S,242400001,2002-01-31,2099-12-31,NA
4054090,Fall due to impact against pedestrian conveyance,Observation,SNOMED,Event,S,242404005,2002-01-31,2099-12-31,NA
4054091,Fall due to impact against supermarket shopping cart,Observation,SNOMED,Event,S,242406007,2002-01-31,2099-12-31,NA
4054092,Fall from geological formation,Observation,SNOMED,Event,S,242411009,2002-01-31,2099-12-31,NA
4054093,Fall into septic tank,Observation,SNOMED,Event,S,242422008,2002-01-31,2099-12-31,NA
4054303,Fall while boarding or alighting from goods vehicle,Observation,SNOMED,Event,S,242125004,2002-01-31,2099-12-31,NA
4054364,Fall into hold on board vessel,Observation,SNOMED,Event,S,242184002,2002-01-31,2099-12-31,NA
4054375,Fall from aircraft in flight,Observation,SNOMED,Event,S,242228005,2002-01-31,2099-12-31,NA
4054484,Fall due to polished surface,Observation,SNOMED,Event,S,242390007,2002-01-31,2099-12-31,NA
4054485,Fall due to discarded object,Observation,SNOMED,Event,S,242391006,2002-01-31,2099-12-31,NA
4054486,Fall due to failure of support,Observation,SNOMED,Event,S,242399008,2002-01-31,2099-12-31,NA
4054487,Fall due to leaning on insecure furniture,Observation,SNOMED,Event,S,242401002,2002-01-31,2099-12-31,NA
4054488,Fall due to impact against wheelbarrow,Observation,SNOMED,Event,S,242407003,2002-01-31,2099-12-31,NA
4054489,Fall from mountain,Observation,SNOMED,Event,S,242412002,2002-01-31,2099-12-31,NA
