concept_id,concept_name,domain_id,vocabulary_id,concept_class_id,standard_concept,concept_code,valid_start_date,valid_end_date,invalid_reason
75004,Frank hematuria,Condition,SNOMED,Disorder,S,197941005,2002-01-31,2099-12-31,NA
78472,Microscopic hematuria,Condition,SNOMED,Disorder,S,197940006,2002-01-31,2099-12-31,NA
79864,Hematuria syndrome,Condition,SNOMED,Disorder,S,53298000,2002-01-31,2099-12-31,NA
437038,Blood in urine,Condition,SNOMED,Clinical Finding,S,34436003,2002-01-31,2099-12-31,NA
606931,Intermittent microscopic hematuria,Condition,SNOMED,Disorder,S,1148864001,2021-07-31,2099-12-31,NA
606972,Intermittent frank hematuria,Condition,SNOMED,Disorder,S,1148922000,2021-07-31,2099-12-31,NA
1340351,Exacerbation of hematuria syndrome,Condition,OMOP Extension,Disorder,S,OMOP5166006,2022-05-06,2099-12-31,NA
4032453,Chemical hematuria,Condition,SNOMED,Disorder,S,236718002,2002-01-31,2099-12-31,NA
4054915,"Acute nephritic syndrome, diffuse crescentic glomerulonephritis",Condition,SNOMED,Disorder,S,197688006,2002-01-31,2099-12-31,NA
4054993,"Chronic nephritic syndrome, minor glomerular abnormality",Condition,SNOMED,Disorder,S,197708002,2002-01-31,2099-12-31,NA
4056465,Recurrent benign hematuria syndrome,Condition,SNOMED,Disorder,S,197627003,2002-01-31,2099-12-31,NA
4056478,Chronic nephritic syndrome,Condition,SNOMED,Disorder,S,197707007,2002-01-31,2099-12-31,NA
4056624,Clot hematuria,Condition,SNOMED,Disorder,S,197942003,2002-01-31,2099-12-31,NA
4059740,Painless hematuria,Condition,SNOMED,Disorder,S,197938001,2002-01-31,2099-12-31,NA
4060922,Painful hematuria,Condition,SNOMED,Disorder,S,197939009,2002-01-31,2099-12-31,NA
4068106,Benign hematuria,Condition,SNOMED,Disorder,S,20407004,2002-01-31,2099-12-31,NA
4083806,Persistent frank hematuria,Condition,SNOMED,Disorder,S,281855006,2002-01-31,2099-12-31,NA
4085875,Persistent microscopic hematuria,Condition,SNOMED,Disorder,S,281857003,2002-01-31,2099-12-31,NA
4085876,Recurrent microscopic hematuria,Condition,SNOMED,Disorder,S,281858008,2002-01-31,2099-12-31,NA
4085877,Persistent hematuria,Condition,SNOMED,Disorder,S,281859000,2002-01-31,2099-12-31,NA
4085878,Recurrent hematuria,Condition,SNOMED,Disorder,S,281860005,2002-01-31,2099-12-31,NA
4106057,Recurrent frank hematuria,Condition,SNOMED,Disorder,S,281856007,2002-01-31,2099-12-31,NA
4127720,Upper urinary tract hematuria,Condition,SNOMED,Disorder,S,236717007,2002-01-31,2099-12-31,NA
4154608,Urine microscopy:RBC's present,Condition,SNOMED,Clinical Finding,S,271349002,2002-01-31,2099-12-31,NA
4159136,Renal hematuria,Condition,SNOMED,Disorder,S,371020003,2002-07-31,2099-12-31,NA
4161286,Familial hematuria,Condition,SNOMED,Disorder,S,399094007,2003-07-31,2099-12-31,NA
4194436,Hematuria of undiagnosed cause,Condition,SNOMED,Disorder,S,314280007,2002-01-31,2099-12-31,NA
4221663,Nephrotic-nephritic syndrome,Condition,SNOMED,Disorder,S,40233000,2002-01-31,2099-12-31,NA
4298809,Nephritic syndrome,Condition,SNOMED,Disorder,S,7724006,2002-01-31,2099-12-31,NA
4313575,Loin pain-hematuria syndrome,Condition,SNOMED,Disorder,S,86208007,2002-01-31,2099-12-31,NA
36714355,Hematuria due to radiation cystitis,Condition,SNOMED,Disorder,S,719551008,2017-01-31,2099-12-31,NA
37016338,Hematuria co-occurrent and due to cystitis,Condition,SNOMED,Disorder,S,367171000119100,2016-01-31,2099-12-31,NA
37016352,Hematuria co-occurrent and due to trigonitis,Condition,SNOMED,Disorder,S,368371000119102,2016-01-31,2099-12-31,NA
37016361,Chronic nephritic syndrome co-occurrent and due to membranoproliferative glomerulonephritis type III,Condition,SNOMED,Disorder,S,368901000119106,2016-01-31,2099-12-31,NA
37016363,Nephritic syndrome co-occurrent and due to membranoproliferative glomerulonephritis type III,Condition,SNOMED,Disorder,S,368921000119102,2016-01-31,2099-12-31,NA
37016367,Hematuria co-occurrent and due to chronic cystitis,Condition,SNOMED,Disorder,S,368971000119101,2016-01-31,2099-12-31,NA
37018341,Recurrent hematuria co-occurrent and due to dense deposit disease,Condition,SNOMED,Disorder,S,714813000,2016-01-31,2099-12-31,NA
37018342,Persistent hematuria co-occurrent and due to dense deposit disease,Condition,SNOMED,Disorder,S,714814006,2016-01-31,2099-12-31,NA
37018343,Recurrent hematuria co-occurrent and due to diffuse crescentic glomerulonephritis,Condition,SNOMED,Disorder,S,714815007,2016-01-31,2099-12-31,NA
37018344,Persistent hematuria co-occurrent and due to diffuse crescentic glomerulonephritis,Condition,SNOMED,Disorder,S,714816008,2016-01-31,2099-12-31,NA
37018345,Recurrent hematuria co-occurrent and due to diffuse endocapillary proliferative glomerulonephritis,Condition,SNOMED,Disorder,S,714817004,2016-01-31,2099-12-31,NA
37018346,Recurrent hematuria co-occurrent and due to diffuse mesangiocapillary glomerulonephritis,Condition,SNOMED,Disorder,S,714819001,2016-01-31,2099-12-31,NA
37018347,Persistent hematuria co-occurrent and due to diffuse mesangiocapillary glomerulonephritis,Condition,SNOMED,Disorder,S,714820007,2016-01-31,2099-12-31,NA
37018348,Recurrent hematuria co-occurrent and due to diffuse membranous glomerulonephritis,Condition,SNOMED,Disorder,S,714821006,2016-01-31,2099-12-31,NA
