concept_id,concept_name,domain_id,vocabulary_id,concept_class_id,standard_concept,concept_code,valid_start_date,valid_end_date,invalid_reason
374326,Arteriosclerotic dementia with depression,Condition,SNOMED,Disorder,S,191466007,2002-01-31,2099-12-31,NA
376094,Arteriosclerotic dementia with delirium,Condition,SNOMED,Disorder,S,191464005,2002-01-31,2099-12-31,NA
377254,"Multi-infarct dementia, uncomplicated",Condition,SNOMED,Disorder,S,70936005,2002-01-31,2099-12-31,NA
379778,Multi-infarct dementia,Condition,SNOMED,Disorder,S,56267009,2002-01-31,2099-12-31,NA
439276,Uncomplicated arteriosclerotic dementia,Condition,SNOMED,Disorder,S,191463004,2002-01-31,2099-12-31,NA
443605,Vascular dementia,Condition,SNOMED,Disorder,S,429998004,2008-07-31,2099-12-31,NA
443790,Multi-infarct dementia with delusions,Condition,SNOMED,Disorder,S,25772007,2002-01-31,2099-12-31,NA
443864,Multi-infarct dementia with depression,Condition,SNOMED,Disorder,S,14070001,2002-01-31,2099-12-31,NA
444091,Multi-infarct dementia with delirium,Condition,SNOMED,Disorder,S,10349009,2002-01-31,2099-12-31,NA
3654434,Cortical vascular dementia,Condition,SNOMED,Disorder,S,833326008,2020-07-31,2099-12-31,NA
4046089,Vascular dementia of acute onset,Condition,SNOMED,Disorder,S,230285003,2002-01-31,2099-12-31,NA
4046090,Mixed cortical and subcortical vascular dementia,Condition,SNOMED,Disorder,S,230287006,2002-01-31,2099-12-31,NA
4047747,Subcortical vascular dementia,Condition,SNOMED,Disorder,S,230286002,2002-01-31,2099-12-31,NA
4100252,Arteriosclerotic dementia with paranoia,Condition,SNOMED,Disorder,S,191465006,2002-01-31,2099-12-31,NA
4234089,Subcortical leukoencephalopathy,Condition,SNOMED,Disorder,S,90099008,2002-01-31,2099-12-31,NA
35610099,Predominantly cortical vascular dementia,Condition,SNOMED,Disorder,S,1089531000000108,2018-04-01,2099-12-31,NA
36717248,Ischemic vascular dementia,Condition,SNOMED,Disorder,S,723123001,2017-01-31,2099-12-31,NA
37018688,Vascular dementia with behavioral disturbance,Condition,SNOMED,Disorder,S,288631000119104,2016-01-31,2099-12-31,NA
37109056,Vascular dementia without behavioral disturbance,Condition,SNOMED,Disorder,S,16276361000119109,2017-07-31,2099-12-31,NA
37155661,Behavioral disturbance due to multi-infarct dementia,Condition,SNOMED,Disorder,S,293671000119109,2022-04-30,2099-12-31,NA
37166351,Dementia due to cerebral vasculitis,Condition,SNOMED,Disorder,S,1259485008,2023-01-31,2099-12-31,NA
37166354,Dementia due to cerebral amyloid angiopathy,Condition,SNOMED,Disorder,S,1259488005,2023-01-31,2099-12-31,NA
37395562,Multi-infarct dementia due to atherosclerosis,Condition,SNOMED,Disorder,S,106021000119105,2016-07-31,2099-12-31,NA
44782934,Vascular dementia in remission,Condition,SNOMED,Disorder,S,698948009,2014-01-31,2099-12-31,NA
