concept_id,concept_name,domain_id,vocabulary_id,standard_concept,ancestor_concept_id
783432,canagliflozin 50 MG / Metformin 850 MG Oral Tablet [Vokanamet] Box of 60 by Mundipharma,Drug,RxNorm Extension,S,43526465
783433,canagliflozin 50 MG / Metformin 850 MG Oral Tablet [Vokanamet] Box of 180 by Mundipharma,Drug,RxNorm Extension,S,43526465
783434,canagliflozin 50 MG / Metformin 1000 MG Oral Tablet [Vokanamet] Box of 60 by Mundipharma,Drug,RxNorm Extension,S,43526465
783435,canagliflozin 50 MG / Metformin 1000 MG Oral Tablet [Vokanamet] Box of 180 by Mundipharma,Drug,RxNorm Extension,S,43526465
783436,canagliflozin 150 MG / Metformin 850 MG Oral Tablet [Vokanamet] Box of 60 by Mundipharma,Drug,RxNorm Extension,S,43526465
783437,canagliflozin 150 MG / Metformin 850 MG Oral Tablet [Vokanamet] Box of 180 by Mundipharma,Drug,RxNorm Extension,S,43526465
783438,canagliflozin 150 MG / Metformin 1000 MG Oral Tablet [Vokanamet] Box of 60 by Mundipharma,Drug,RxNorm Extension,S,43526465
783439,canagliflozin 150 MG / Metformin 1000 MG Oral Tablet [Vokanamet] Box of 180 by Mundipharma,Drug,RxNorm Extension,S,43526465
784068,canagliflozin 300 MG Oral Tablet [Invokana] Box of 30 by Mundipharma,Drug,RxNorm Extension,S,43526465
784069,canagliflozin 300 MG Oral Tablet [Invokana] Box of 90 by Mundipharma,Drug,RxNorm Extension,S,43526465
784070,canagliflozin 100 MG Oral Tablet [Invokana] Box of 30 by Mundipharma,Drug,RxNorm Extension,S,43526465
784071,canagliflozin 100 MG Oral Tablet [Invokana] Box of 90 by Mundipharma,Drug,RxNorm Extension,S,43526465
793293,ertugliflozin,Drug,RxNorm,S,793293
793296,ertugliflozin 2.5 MG,Drug,RxNorm,S,793293
793299,ertugliflozin / metformin Oral Tablet,Drug,RxNorm,S,793293
793300,ertugliflozin 2.5 MG / metformin hydrochloride 1000 MG Oral Tablet,Drug,RxNorm,S,793293
793302,ertugliflozin 2.5 MG / metformin hydrochloride 1000 MG [Segluromet],Drug,RxNorm,S,793293
793303,ertugliflozin / metformin Oral Tablet [Segluromet],Drug,RxNorm,S,793293
793306,ertugliflozin 2.5 MG / metformin hydrochloride 1000 MG Oral Tablet [Segluromet],Drug,RxNorm,S,793293
793307,ertugliflozin 2.5 MG / metformin hydrochloride 500 MG Oral Tablet,Drug,RxNorm,S,793293
793308,ertugliflozin 2.5 MG / metformin hydrochloride 500 MG [Segluromet],Drug,RxNorm,S,793293
793309,ertugliflozin 2.5 MG / metformin hydrochloride 500 MG Oral Tablet [Segluromet],Drug,RxNorm,S,793293
793310,ertugliflozin 7.5 MG,Drug,RxNorm,S,793293
793311,ertugliflozin 7.5 MG / metformin hydrochloride 1000 MG Oral Tablet,Drug,RxNorm,S,793293
793312,ertugliflozin 7.5 MG / metformin hydrochloride 1000 MG [Segluromet],Drug,RxNorm,S,793293
793313,ertugliflozin 7.5 MG / metformin hydrochloride 1000 MG Oral Tablet [Segluromet],Drug,RxNorm,S,793293
793314,ertugliflozin 7.5 MG / metformin hydrochloride 500 MG Oral Tablet,Drug,RxNorm,S,793293
793315,ertugliflozin 7.5 MG / metformin hydrochloride 500 MG [Segluromet],Drug,RxNorm,S,793293
793316,ertugliflozin 7.5 MG / metformin hydrochloride 500 MG Oral Tablet [Segluromet],Drug,RxNorm,S,793293
793317,ertugliflozin 5 MG,Drug,RxNorm,S,793293
793320,ertugliflozin Oral Tablet,Drug,RxNorm,S,793293
793321,ertugliflozin 5 MG Oral Tablet,Drug,RxNorm,S,793293
793323,ertugliflozin 5 MG [Steglatro],Drug,RxNorm,S,793293
793324,ertugliflozin Oral Tablet [Steglatro],Drug,RxNorm,S,793293
793327,ertugliflozin 5 MG Oral Tablet [Steglatro],Drug,RxNorm,S,793293
793328,ertugliflozin 15 MG,Drug,RxNorm,S,793293
793329,ertugliflozin 15 MG Oral Tablet,Drug,RxNorm,S,793293
793330,ertugliflozin 15 MG [Steglatro],Drug,RxNorm,S,793293
793331,ertugliflozin 15 MG Oral Tablet [Steglatro],Drug,RxNorm,S,793293
793334,ertugliflozin / sitagliptin Oral Tablet,Drug,RxNorm,S,793293
793335,ertugliflozin 15 MG / sitagliptin 100 MG Oral Tablet,Drug,RxNorm,S,793293
793337,ertugliflozin 15 MG / sitagliptin 100 MG [Steglujan],Drug,RxNorm,S,793293
793338,ertugliflozin / sitagliptin Oral Tablet [Steglujan],Drug,RxNorm,S,793293
793341,ertugliflozin 15 MG / sitagliptin 100 MG Oral Tablet [Steglujan],Drug,RxNorm,S,793293
793342,ertugliflozin 5 MG / sitagliptin 100 MG Oral Tablet,Drug,RxNorm,S,793293
793343,ertugliflozin 5 MG / sitagliptin 100 MG [Steglujan],Drug,RxNorm,S,793293
793344,ertugliflozin 5 MG / sitagliptin 100 MG Oral Tablet [Steglujan],Drug,RxNorm,S,793293
793825,dapagliflozin 2.5 MG,Drug,RxNorm,S,44785829
793826,24 HR dapagliflozin 2.5 MG / metformin hydrochloride 1000 MG Extended Release Oral Tablet,Drug,RxNorm,S,44785829
793827,dapagliflozin 2.5 MG / metformin hydrochloride 1000 MG [Xigduo],Drug,RxNorm,S,44785829
793828,24 HR dapagliflozin 2.5 MG / metformin hydrochloride 1000 MG Extended Release Oral Tablet [Xigduo],Drug,RxNorm,S,44785829
793829,dapagliflozin 2.5 MG / metformin hydrochloride 1000 MG Extended Release Oral Tablet,Drug,RxNorm,S,44785829
793830,dapagliflozin 2.5 MG / metformin hydrochloride 1000 MG Extended Release Oral Tablet [Xigduo],Drug,RxNorm,S,44785829
1145900,dapagliflozin / metformin / saxagliptin Extended Release Oral Tablet,Drug,RxNorm,S,44785829
1145902,dapagliflozin 10 MG / metformin hydrochloride 1000 MG / saxagliptin 5 MG [Qternmet],Drug,RxNorm,S,44785829
1145903,dapagliflozin / metformin / saxagliptin Extended Release Oral Tablet [Qternmet],Drug,RxNorm,S,44785829
1145906,dapagliflozin 10 MG / metformin hydrochloride 1000 MG / saxagliptin 5 MG Extended Release Oral Tablet,Drug,RxNorm,S,44785829
1145907,dapagliflozin 10 MG / metformin hydrochloride 1000 MG / saxagliptin 5 MG Extended Release Oral Tablet [Qternmet],Drug,RxNorm,S,44785829
1145908,dapagliflozin 2.5 MG / metformin hydrochloride 1000 MG / saxagliptin 2.5 MG [Qternmet],Drug,RxNorm,S,44785829
1145909,dapagliflozin 2.5 MG / metformin hydrochloride 1000 MG / saxagliptin 2.5 MG Extended Release Oral Tablet,Drug,RxNorm,S,44785829
1145910,dapagliflozin 2.5 MG / metformin hydrochloride 1000 MG / saxagliptin 2.5 MG Extended Release Oral Tablet [Qternmet],Drug,RxNorm,S,44785829
1145911,dapagliflozin 5 MG / metformin hydrochloride 1000 MG / saxagliptin 2.5 MG [Qternmet],Drug,RxNorm,S,44785829
1145912,dapagliflozin 5 MG / metformin hydrochloride 1000 MG / saxagliptin 2.5 MG Extended Release Oral Tablet,Drug,RxNorm,S,44785829
1145913,dapagliflozin 5 MG / metformin hydrochloride 1000 MG / saxagliptin 2.5 MG Extended Release Oral Tablet [Qternmet],Drug,RxNorm,S,44785829
1145914,dapagliflozin 5 MG / metformin hydrochloride 1000 MG / saxagliptin 5 MG [Qternmet],Drug,RxNorm,S,44785829
1145915,dapagliflozin 5 MG / metformin hydrochloride 1000 MG / saxagliptin 5 MG Extended Release Oral Tablet,Drug,RxNorm,S,44785829
1145916,dapagliflozin 5 MG / metformin hydrochloride 1000 MG / saxagliptin 5 MG Extended Release Oral Tablet [Qternmet],Drug,RxNorm,S,44785829
1146738,24 HR dapagliflozin 10 MG / metformin hydrochloride 1000 MG / saxagliptin 5 MG Extended Release Oral Tablet,Drug,RxNorm,S,44785829
