source_concept_id,source_concept_name,concept_code,cohort_name,points
45533451,Other cardiomyopathies,I42.8,congestive_heart_failure,2
45538369,Hypertensive heart disease with (congestive) heart failure,I11.0,congestive_heart_failure,2
45543181,Left ventricular failure,I50.1,congestive_heart_failure,2
45552780,Hypertensive heart and renal disease with both (congestive) heart failure and renal failure,I13.2,congestive_heart_failure,2
45552790,Cardiomyopathy in diseases classified elsewhere,I43,congestive_heart_failure,2
45552791,Cardiomyopathy in nutritional diseases,I43.2,congestive_heart_failure,2
45553639,Neonatal cardiac failure,P29.0,congestive_heart_failure,2
45562350,Cardiomyopathy due to drugs and other external agents,I42.7,congestive_heart_failure,2
45567179,Congestive heart failure,I50.0,congestive_heart_failure,2
45572075,Hypertensive heart and renal disease with (congestive) heart failure,I13.0,congestive_heart_failure,2
45572089,Alcoholic cardiomyopathy,I42.6,congestive_heart_failure,2
45572090,Cardiomyopathy in metabolic diseases,I43.1,congestive_heart_failure,2
45576867,Ischaemic cardiomyopathy,I25.5,congestive_heart_failure,2
45576879,"Heart failure, unspecified",I50.9,congestive_heart_failure,2
45581773,"Cardiomyopathy, unspecified",I42.9,congestive_heart_failure,2
45581779,Heart failure,I50,congestive_heart_failure,2
45586569,"Rheumatic heart disease, unspecified",I09.9,congestive_heart_failure,2
45586581,Dilated cardiomyopathy,I42.0,congestive_heart_failure,2
45586582,Other restrictive cardiomyopathy,I42.5,congestive_heart_failure,2
45591465,Cardiomyopathy in infectious and parasitic diseases classified elsewhere,I43.0,congestive_heart_failure,2
45605797,Cardiomyopathy in other diseases classified elsewhere,I43.8,congestive_heart_failure,2
45533052,Dementia in Alzheimer disease,F00,dementia,2
45533058,"Vascular dementia, unspecified",F01.9,dementia,2
45537996,Mixed cortical and subcortical vascular dementia,F01.3,dementia,2
45537999,Dementia in Huntington disease,F02.2,dementia,2
45538101,Alzheimer disease,G30,dementia,2
45552425,Vascular dementia of acute onset,F01.0,dementia,2
45552429,Dementia in other specified diseases classified elsewhere,F02.8,dementia,2
45552521,Alzheimer disease with late onset,G30.1,dementia,2
45557146,"Dementia in Alzheimer disease, atypical or mixed type",F00.2,dementia,2
45557147,Vascular dementia,F01,dementia,2
45557150,Delirium superimposed on dementia,F05.1,dementia,2
45557226,"Senile degeneration of brain, not elsewhere classified",G31.1,dementia,2
45561994,"Dementia in Alzheimer disease, unspecified",F00.9,dementia,2
45566770,Dementia in human immunodeficiency virus [HIV] disease,F02.4,dementia,2
45566772,Unspecified dementia,F03,dementia,2
45566868,Alzheimer disease with early onset,G30.0,dementia,2
45571701,Dementia in Parkinson disease,F02.3,dementia,2
45576485,Other vascular dementia,F01.8,dementia,2
45581393,Subcortical vascular dementia,F01.2,dementia,2
45581394,Dementia in other diseases classified elsewhere,F02,dementia,2
45581395,Dementia in Pick disease,F02.0,dementia,2
45591070,Dementia in Alzheimer disease with early onset,F00.0,dementia,2
45591074,Dementia in Creutzfeldt-Jakob disease,F02.1,dementia,2
45591165,"Alzheimer disease, unspecified",G30.9,dementia,2
45605443,Multi-infarct dementia,F01.1,dementia,2
45605532,Other Alzheimer disease,G30.8,dementia,2
45755371,Dementia in Alzheimer disease with late onset,F00.1,dementia,2
40475107,Chronic lower respiratory diseases,J40-J47,chronic_pulmonary_disease,1
45533552,Pneumoconiosis due to other dust containing silica,J62.8,chronic_pulmonary_disease,1
45533553,Stannosis,J63.5,chronic_pulmonary_disease,1
45533554,Byssinosis,J66.0,chronic_pulmonary_disease,1
45533555,Airway disease due to other specific organic dusts,J66.8,chronic_pulmonary_disease,1
45533556,Bird fancier lung,J67.2,chronic_pulmonary_disease,1
45543266,Simple chronic bronchitis,J41.0,chronic_pulmonary_disease,1
45543267,Mucopurulent chronic bronchitis,J41.1,chronic_pulmonary_disease,1
45543268,Other chronic obstructive pulmonary disease,J44,chronic_pulmonary_disease,1
45543271,Graphite fibrosis (of lung),J63.3,chronic_pulmonary_disease,1
45543272,Chronic drug-induced interstitial lung disorders,J70.3,chronic_pulmonary_disease,1
45548015,"Pulmonary heart disease, unspecified",I27.9,chronic_pulmonary_disease,1
45548115,"Chronic obstructive pulmonary disease, unspecified",J44.9,chronic_pulmonary_disease,1
45548118,Mixed asthma,J45.8,chronic_pulmonary_disease,1
45548119,Berylliosis,J63.2,chronic_pulmonary_disease,1
45552889,Unspecified chronic bronchitis,J42,chronic_pulmonary_disease,1
45552890,Centrilobular emphysema,J43.2,chronic_pulmonary_disease,1
45552891,Siderosis,J63.4,chronic_pulmonary_disease,1
45552892,Flax-dresser disease,J66.1,chronic_pulmonary_disease,1
45552893,Bagassosis,J67.1,chronic_pulmonary_disease,1
45552894,Hypersensitivity pneumonitis due to other organic dusts,J67.8,chronic_pulmonary_disease,1
45557541,Other specified pulmonary heart diseases,I27.8,chronic_pulmonary_disease,1
45557624,Predominantly allergic asthma,J45.0,chronic_pulmonary_disease,1
45557625,Nonallergic asthma,J45.1,chronic_pulmonary_disease,1
45557627,Chronic and other pulmonary manifestations due to radiation,J70.1,chronic_pulmonary_disease,1
45562454,Other emphysema,J43.8,chronic_pulmonary_disease,1
45562456,"Asthma, unspecified",J45.9,chronic_pulmonary_disease,1
45562460,Pneumoconiosis due to other specified inorganic dusts,J63.8,chronic_pulmonary_disease,1
