concept_code,source_concept_name,source_concept_id,cohort_name,icd_description,points,chronic
R00.3,"Pulseless electrical activity, not elsewhere classified",710667,r00,Abnormalities of heart beat,0.7,FALSE
Z22.7,Latent tuberculosis,710699,z22,Carrier of infectious disease,1.7,FALSE
S42.01,"Fracture of clavicle, open",1529212,s42,Fracture of shoulder and upper arm,2.3,FALSE
J96.00,"Acute respiratory failure, Type I [hypoxic]",1529218,j96,"Respiratory failure, not elsewhere classified",1.5,FALSE
J96.01,"Acute respiratory failure, Type II [hypercapnic]",1529219,j96,"Respiratory failure, not elsewhere classified",1.5,FALSE
J96.09,"Acute respiratory failure, Type unspecified",1529220,j96,"Respiratory failure, not elsewhere classified",1.5,FALSE
J96.10,"Chronic respiratory failure, Type I [hypoxic]",1529221,j96,"Respiratory failure, not elsewhere classified",1.5,FALSE
J96.11,"Chronic respiratory failure, Type II [hypercapnic]",1529222,j96,"Respiratory failure, not elsewhere classified",1.5,FALSE
J96.19,"Chronic respiratory failure, Type unspecified",1529223,j96,"Respiratory failure, not elsewhere classified",1.5,FALSE
J96.90,"Respiratory failure, unspecified, Type I [hypoxic]",1529224,j96,"Respiratory failure, not elsewhere classified",1.5,FALSE
J96.91,"Respiratory failure, unspecified, Type II [hypercapnic]",1529225,j96,"Respiratory failure, not elsewhere classified",1.5,FALSE
J96.99,"Respiratory failure, unspecified, Type unspecified",1529226,j96,"Respiratory failure, not elsewhere classified",1.5,FALSE
S72.00,"Fracture of neck of femur, closed",1529272,s72,Fracture of femur,1.4,FALSE
S06.00,"Concussion, without open intracranial wound",1529319,s06,Intracranial injury,2.4,FALSE
S06.01,"Concussion, with open intracranial wound",1529320,s06,Intracranial injury,2.4,FALSE
S42.00,"Fracture of clavicle, closed",1529327,s42,Fracture of shoulder and upper arm,2.3,FALSE
S72.01,"Fracture of neck of femur, open",1529328,s72,Fracture of femur,1.4,FALSE
M19.01,"Primary arthrosis of other joints, shoulder region",42617036,m19,Other arthrosis,1.5,TRUE
M19.02,"Primary arthrosis of other joints, upper arm",42617037,m19,Other arthrosis,1.5,TRUE
M19.03,"Primary arthrosis of other joints, forearm",42617038,m19,Other arthrosis,1.5,TRUE
M19.04,"Primary arthrosis of other joints, hand",42617039,m19,Other arthrosis,1.5,TRUE
M19.05,"Primary arthrosis of other joints, pelvic region and thigh",42617040,m19,Other arthrosis,1.5,TRUE
M19.06,"Primary arthrosis of other joints, lower leg",42617041,m19,Other arthrosis,1.5,TRUE
M19.07,"Primary arthrosis of other joints, ankle and foot",42617042,m19,Other arthrosis,1.5,TRUE
M19.08,"Primary arthrosis of other joints, other",42617043,m19,Other arthrosis,1.5,TRUE
M19.09,"Primary arthrosis of other joints, site unspecified",42617044,m19,Other arthrosis,1.5,TRUE
M19.10,"Post-traumatic arthrosis of other joints, multiple sites",42617045,m19,Other arthrosis,1.5,TRUE
M19.11,"Post-traumatic arthrosis of other joints, shoulder region",42617046,m19,Other arthrosis,1.5,TRUE
M19.12,"Post-traumatic arthrosis of other joints, upper arm",42617047,m19,Other arthrosis,1.5,TRUE
M19.13,"Post-traumatic arthrosis of other joints, forearm",42617048,m19,Other arthrosis,1.5,TRUE
M19.14,"Post-traumatic arthrosis of other joints, hand",42617049,m19,Other arthrosis,1.5,TRUE
M19.15,"Post-traumatic arthrosis of other joints, pelvic region and thigh",42617050,m19,Other arthrosis,1.5,TRUE
M19.16,"Post-traumatic arthrosis of other joints, lower leg",42617051,m19,Other arthrosis,1.5,TRUE
M19.17,"Post-traumatic arthrosis of other joints, ankle and foot",42617052,m19,Other arthrosis,1.5,TRUE
M19.18,"Post-traumatic arthrosis of other joints, other",42617053,m19,Other arthrosis,1.5,TRUE
M19.19,"Post-traumatic arthrosis of other joints, site unspecified",42617054,m19,Other arthrosis,1.5,TRUE
M19.20,"Other secondary arthrosis, multiple sites",42617055,m19,Other arthrosis,1.5,TRUE
M19.22,"Other secondary arthrosis, upper arm",42617056,m19,Other arthrosis,1.5,TRUE
M19.23,"Other secondary arthrosis, forearm",42617057,m19,Other arthrosis,1.5,TRUE
M19.24,"Other secondary arthrosis, hand",42617058,m19,Other arthrosis,1.5,TRUE
M19.25,"Other secondary arthrosis, pelvic region and thigh",42617059,m19,Other arthrosis,1.5,TRUE
M19.26,"Other secondary arthrosis, lower leg",42617060,m19,Other arthrosis,1.5,TRUE
M19.27,"Other secondary arthrosis, ankle and foot",42617061,m19,Other arthrosis,1.5,TRUE
M19.28,"Other secondary arthrosis, other",42617062,m19,Other arthrosis,1.5,TRUE
M19.29,"Other secondary arthrosis, site unspecified",42617063,m19,Other arthrosis,1.5,TRUE
M19.80,"Other specified arthrosis, multiple sites",42617064,m19,Other arthrosis,1.5,TRUE
M19.81,"Other specified arthrosis, shoulder region",42617065,m19,Other arthrosis,1.5,TRUE
M19.82,"Other specified arthrosis, upper arm",42617066,m19,Other arthrosis,1.5,TRUE
M19.83,"Other specified arthrosis, forearm",42617067,m19,Other arthrosis,1.5,TRUE
M19.84,"Other specified arthrosis, hand",42617068,m19,Other arthrosis,1.5,TRUE
M19.85,"Other specified arthrosis, pelvic region and thigh",42617069,m19,Other arthrosis,1.5,TRUE
M19.86,"Other specified arthrosis, lower leg",42617070,m19,Other arthrosis,1.5,TRUE
M19.87,"Other specified arthrosis, ankle and foot",42617071,m19,Other arthrosis,1.5,TRUE
M19.88,"Other specified arthrosis, other",42617072,m19,Other arthrosis,1.5,TRUE
M19.89,"Other specified arthrosis, site unspecified",42617073,m19,Other arthrosis,1.5,TRUE
M19.90,"Arthrosis, unspecified, multiple sites",42617074,m19,Other arthrosis,1.5,TRUE
M19.91,"Arthrosis, unspecified, shoulder region",42617075,m19,Other arthrosis,1.5,TRUE
M19.92,"Arthrosis, unspecified, upper arm",42617076,m19,Other arthrosis,1.5,TRUE
M19.93,"Arthrosis, unspecified, forearm",42617077,m19,Other arthrosis,1.5,TRUE
M19.95,"Arthrosis, unspecified, pelvic region and thigh",42617078,m19,Other arthrosis,1.5,TRUE
M19.96,"Arthrosis, unspecified, lower leg",42617079,m19,Other arthrosis,1.5,TRUE
M19.97,"Arthrosis, unspecified, ankle and foot",42617080,m19,Other arthrosis,1.5,TRUE
M19.98,"Arthrosis, unspecified, other",42617081,m19,Other arthrosis,1.5,TRUE
M19.99,"Arthrosis, unspecified, site unspecified",42617082,m19,Other arthrosis,1.5,TRUE
M25.00,"Haemarthrosis, multiple sites",42617202,m25,"Other joint disorders, not elsewhere classified",2.3,TRUE
M25.01,"Haemarthrosis, shoulder region",42617203,m25,"Other joint disorders, not elsewhere classified",2.3,TRUE
M25.02,"Haemarthrosis, upper arm",42617204,m25,"Other joint disorders, not elsewhere classified",2.3,TRUE
M25.03,"Haemarthrosis, forearm",42617205,m25,"Other joint disorders, not elsewhere classified",2.3,TRUE
M25.04,"Haemarthrosis, hand",42617206,m25,"Other joint disorders, not elsewhere classified",2.3,TRUE
M25.05,"Haemarthrosis, pelvic region and thigh",42617207,m25,"Other joint disorders, not elsewhere classified",2.3,TRUE
M25.06,"Haemarthrosis, lower leg",42617208,m25,"Other joint disorders, not elsewhere classified",2.3,TRUE
M25.07,"Haemarthrosis, ankle and foot",42617209,m25,"Other joint disorders, not elsewhere classified",2.3,TRUE
M25.08,"Haemarthrosis, other",42617210,m25,"Other joint disorders, not elsewhere classified",2.3,TRUE
M25.09,"Haemarthrosis, site unspecified",42617211,m25,"Other joint disorders, not elsewhere classified",2.3,TRUE
M25.10,"Fistula of joint, multiple sites",42617212,m25,"Other joint disorders, not elsewhere classified",2.3,TRUE
M25.11,"Fistula of joint, shoulder region",42617213,m25,"Other joint disorders, not elsewhere classified",2.3,TRUE
M25.12,"Fistula of joint, upper arm",42617214,m25,"Other joint disorders, not elsewhere classified",2.3,TRUE
M25.13,"Fistula of joint, forearm",42617215,m25,"Other joint disorders, not elsewhere classified",2.3,TRUE
M25.14,"Fistula of joint, hand",42617216,m25,"Other joint disorders, not elsewhere classified",2.3,TRUE
M25.15,"Fistula of joint, pelvic region and thigh",42617217,m25,"Other joint disorders, not elsewhere classified",2.3,TRUE
M25.16,"Fistula of joint, lower leg",42617218,m25,"Other joint disorders, not elsewhere classified",2.3,TRUE
M25.17,"Fistula of joint, ankle and foot",42617219,m25,"Other joint disorders, not elsewhere classified",2.3,TRUE
M25.18,"Fistula of joint, other",42617220,m25,"Other joint disorders, not elsewhere classified",2.3,TRUE
M25.19,"Fistula of joint, site unspecified",42617221,m25,"Other joint disorders, not elsewhere classified",2.3,TRUE
M25.20,"Flail joint, multiple sites",42617222,m25,"Other joint disorders, not elsewhere classified",2.3,TRUE
M25.21,"Flail joint, shoulder region",42617223,m25,"Other joint disorders, not elsewhere classified",2.3,TRUE
M25.22,"Flail joint, upper arm",42617224,m25,"Other joint disorders, not elsewhere classified",2.3,TRUE
M25.23,"Flail joint, forearm",42617225,m25,"Other joint disorders, not elsewhere classified",2.3,TRUE
M25.24,"Flail joint, hand",42617226,m25,"Other joint disorders, not elsewhere classified",2.3,TRUE
M25.25,"Flail joint, pelvic region and thigh",42617227,m25,"Other joint disorders, not elsewhere classified",2.3,TRUE
M25.27,"Flail joint, ankle and foot",42617228,m25,"Other joint disorders, not elsewhere classified",2.3,TRUE
M25.28,"Flail joint, other",42617229,m25,"Other joint disorders, not elsewhere classified",2.3,TRUE
M25.29,"Flail joint, site unspecified",42617230,m25,"Other joint disorders, not elsewhere classified",2.3,TRUE
M25.30,"Other instability of joint, multiple sites",42617231,m25,"Other joint disorders, not elsewhere classified",2.3,TRUE
M25.31,"Other instability of joint, shoulder region",42617232,m25,"Other joint disorders, not elsewhere classified",2.3,TRUE
M25.32,"Other instability of joint, upper arm",42617233,m25,"Other joint disorders, not elsewhere classified",2.3,TRUE
M25.33,"Other instability of joint, forearm",42617234,m25,"Other joint disorders, not elsewhere classified",2.3,TRUE
M25.34,"Other instability of joint, hand",42617235,m25,"Other joint disorders, not elsewhere classified",2.3,TRUE
M25.35,"Other instability of joint, pelvic region and thigh",42617236,m25,"Other joint disorders, not elsewhere classified",2.3,TRUE
M25.36,"Other instability of joint, lower leg",42617237,m25,"Other joint disorders, not elsewhere classified",2.3,TRUE
M25.37,"Other instability of joint, ankle and foot",42617238,m25,"Other joint disorders, not elsewhere classified",2.3,TRUE
M25.38,"Other instability of joint, other",42617239,m25,"Other joint disorders, not elsewhere classified",2.3,TRUE
M25.39,"Other instability of joint, site unspecified",42617240,m25,"Other joint disorders, not elsewhere classified",2.3,TRUE
M25.40,"Effusion of joint, multiple sites",42617241,m25,"Other joint disorders, not elsewhere classified",2.3,TRUE
M25.42,"Effusion of joint, upper arm",42617242,m25,"Other joint disorders, not elsewhere classified",2.3,TRUE
M25.43,"Effusion of joint, forearm",42617243,m25,"Other joint disorders, not elsewhere classified",2.3,TRUE
M25.44,"Effusion of joint, hand",42617244,m25,"Other joint disorders, not elsewhere classified",2.3,TRUE
M25.45,"Effusion of joint, pelvic region and thigh",42617245,m25,"Other joint disorders, not elsewhere classified",2.3,TRUE
M25.46,"Effusion of joint, lower leg",42617246,m25,"Other joint disorders, not elsewhere classified",2.3,TRUE
M25.47,"Effusion of joint, ankle and foot",42617247,m25,"Other joint disorders, not elsewhere classified",2.3,TRUE
M25.48,"Effusion of joint, other",42617248,m25,"Other joint disorders, not elsewhere classified",2.3,TRUE
M25.49,"Effusion of joint, site unspecified",42617249,m25,"Other joint disorders, not elsewhere classified",2.3,TRUE
M25.50,"Pain in joint, multiple sites",42617250,m25,"Other joint disorders, not elsewhere classified",2.3,TRUE
M25.51,"Pain in joint, shoulder region",42617251,m25,"Other joint disorders, not elsewhere classified",2.3,TRUE
M25.52,"Pain in joint, upper arm",42617252,m25,"Other joint disorders, not elsewhere classified",2.3,TRUE
M25.53,"Pain in joint, forearm",42617253,m25,"Other joint disorders, not elsewhere classified",2.3,TRUE
M25.54,"Pain in joint, hand",42617254,m25,"Other joint disorders, not elsewhere classified",2.3,TRUE
M25.55,"Pain in joint, pelvic region and thigh",42617255,m25,"Other joint disorders, not elsewhere classified",2.3,TRUE
M25.56,"Pain in joint, lower leg",42617256,m25,"Other joint disorders, not elsewhere classified",2.3,TRUE
M25.57,"Pain in joint, ankle and foot",42617257,m25,"Other joint disorders, not elsewhere classified",2.3,TRUE
M25.59,"Pain in joint, site unspecified",42617258,m25,"Other joint disorders, not elsewhere classified",2.3,TRUE
M25.60,"Stiffness of joint, not elsewhere classified, multiple sites",42617259,m25,"Other joint disorders, not elsewhere classified",2.3,TRUE
M25.61,"Stiffness of joint, not elsewhere classified, shoulder region",42617260,m25,"Other joint disorders, not elsewhere classified",2.3,TRUE
M25.62,"Stiffness of joint, not elsewhere classified, upper arm",42617261,m25,"Other joint disorders, not elsewhere classified",2.3,TRUE
M25.63,"Stiffness of joint, not elsewhere classified, forearm",42617262,m25,"Other joint disorders, not elsewhere classified",2.3,TRUE
M25.64,"Stiffness of joint, not elsewhere classified, hand",42617263,m25,"Other joint disorders, not elsewhere classified",2.3,TRUE
M25.65,"Stiffness of joint, not elsewhere classified, pelvic region and thigh",42617264,m25,"Other joint disorders, not elsewhere classified",2.3,TRUE
M25.66,"Stiffness of joint, not elsewhere classified, lower leg",42617265,m25,"Other joint disorders, not elsewhere classified",2.3,TRUE
M25.67,"Stiffness of joint, not elsewhere classified, ankle and foot",42617266,m25,"Other joint disorders, not elsewhere classified",2.3,TRUE
M25.68,"Stiffness of joint, not elsewhere classified, other",42617267,m25,"Other joint disorders, not elsewhere classified",2.3,TRUE
M25.69,"Stiffness of joint, not elsewhere classified, site unspecified",42617268,m25,"Other joint disorders, not elsewhere classified",2.3,TRUE
M25.70,"Osteophyte, multiple sites",42617269,m25,"Other joint disorders, not elsewhere classified",2.3,TRUE
M25.71,"Osteophyte, shoulder region",42617270,m25,"Other joint disorders, not elsewhere classified",2.3,TRUE
M25.73,"Osteophyte, forearm",42617271,m25,"Other joint disorders, not elsewhere classified",2.3,TRUE
M25.74,"Osteophyte, hand",42617272,m25,"Other joint disorders, not elsewhere classified",2.3,TRUE
M25.75,"Osteophyte, pelvic region and thigh",42617273,m25,"Other joint disorders, not elsewhere classified",2.3,TRUE
M25.76,"Osteophyte, lower leg",42617274,m25,"Other joint disorders, not elsewhere classified",2.3,TRUE
M25.77,"Osteophyte, ankle and foot",42617275,m25,"Other joint disorders, not elsewhere classified",2.3,TRUE
M25.78,"Osteophyte, other",42617276,m25,"Other joint disorders, not elsewhere classified",2.3,TRUE
M25.79,"Osteophyte, site unspecified",42617277,m25,"Other joint disorders, not elsewhere classified",2.3,TRUE
M25.80,"Other specified joint disorders, multiple sites",42617278,m25,"Other joint disorders, not elsewhere classified",2.3,TRUE
M25.81,"Other specified joint disorders, shoulder region",42617279,m25,"Other joint disorders, not elsewhere classified",2.3,TRUE
M25.82,"Other specified joint disorders, upper arm",42617280,m25,"Other joint disorders, not elsewhere classified",2.3,TRUE
M25.83,"Other specified joint disorders, forearm",42617281,m25,"Other joint disorders, not elsewhere classified",2.3,TRUE
M25.84,"Other specified joint disorders, hand",42617282,m25,"Other joint disorders, not elsewhere classified",2.3,TRUE
M25.85,"Other specified joint disorders, pelvic region and thigh",42617283,m25,"Other joint disorders, not elsewhere classified",2.3,TRUE
M25.86,"Other specified joint disorders, lower leg",42617284,m25,"Other joint disorders, not elsewhere classified",2.3,TRUE
M25.88,"Other specified joint disorders, other",42617285,m25,"Other joint disorders, not elsewhere classified",2.3,TRUE
M25.89,"Other specified joint disorders, site unspecified",42617286,m25,"Other joint disorders, not elsewhere classified",2.3,TRUE
M25.90,"Joint disorder, unspecified, multiple sites",42617287,m25,"Other joint disorders, not elsewhere classified",2.3,TRUE
M25.91,"Joint disorder, unspecified, shoulder region",42617288,m25,"Other joint disorders, not elsewhere classified",2.3,TRUE
M25.92,"Joint disorder, unspecified, upper arm",42617289,m25,"Other joint disorders, not elsewhere classified",2.3,TRUE
M25.94,"Joint disorder, unspecified, hand",42617290,m25,"Other joint disorders, not elsewhere classified",2.3,TRUE
M25.95,"Joint disorder, unspecified, pelvic region and thigh",42617291,m25,"Other joint disorders, not elsewhere classified",2.3,TRUE
M25.96,"Joint disorder, unspecified, lower leg",42617292,m25,"Other joint disorders, not elsewhere classified",2.3,TRUE
M25.97,"Joint disorder, unspecified, ankle and foot",42617293,m25,"Other joint disorders, not elsewhere classified",2.3,TRUE
M25.98,"Joint disorder, unspecified, other",42617294,m25,"Other joint disorders, not elsewhere classified",2.3,TRUE
M25.99,"Joint disorder, unspecified, site unspecified",42617295,m25,"Other joint disorders, not elsewhere classified",2.3,TRUE
M41.00,"Infantile idiopathic scoliosis, multiple sites in spine",42617353,m41,Scoliosis,0.9,TRUE
M41.01,"Infantile idiopathic scoliosis, occipito-atlanto-axial region",42617354,m41,Scoliosis,0.9,TRUE
M41.02,"Infantile idiopathic scoliosis, cervical region",42617355,m41,Scoliosis,0.9,TRUE
M41.03,"Infantile idiopathic scoliosis, cervicothoracic region",42617356,m41,Scoliosis,0.9,TRUE
M41.04,"Infantile idiopathic scoliosis, thoracic region",42617357,m41,Scoliosis,0.9,TRUE
M41.05,"Infantile idiopathic scoliosis, thoracolumbar region",42617358,m41,Scoliosis,0.9,TRUE
M41.06,"Infantile idiopathic scoliosis, lumbar region",42617359,m41,Scoliosis,0.9,TRUE
M41.07,"Infantile idiopathic scoliosis, lumbosacral region",42617360,m41,Scoliosis,0.9,TRUE
M41.08,"Infantile idiopathic scoliosis, sacral and sacrococcygeal region",42617361,m41,Scoliosis,0.9,TRUE
M41.09,"Infantile idiopathic scoliosis, site unspecified",42617362,m41,Scoliosis,0.9,TRUE
M41.11,"Juvenile idiopathic scoliosis, occipito-atlanto-axial region",42617363,m41,Scoliosis,0.9,TRUE
M41.12,"Juvenile idiopathic scoliosis, cervical region",42617364,m41,Scoliosis,0.9,TRUE
M41.13,"Juvenile idiopathic scoliosis, cervicothoracic region",42617365,m41,Scoliosis,0.9,TRUE
M41.14,"Juvenile idiopathic scoliosis, thoracic region",42617366,m41,Scoliosis,0.9,TRUE
M41.15,"Juvenile idiopathic scoliosis, thoracolumbar region",42617367,m41,Scoliosis,0.9,TRUE
M41.16,"Juvenile idiopathic scoliosis, lumbar region",42617368,m41,Scoliosis,0.9,TRUE
M41.17,"Juvenile idiopathic scoliosis, lumbosacral region",42617369,m41,Scoliosis,0.9,TRUE
M41.18,"Juvenile idiopathic scoliosis, sacral and sacrococcygeal region",42617370,m41,Scoliosis,0.9,TRUE
M41.19,"Juvenile idiopathic scoliosis, site unspecified",42617371,m41,Scoliosis,0.9,TRUE
M41.20,"Other idiopathic scoliosis, multiple sites in spine",42617372,m41,Scoliosis,0.9,TRUE
M41.21,"Other idiopathic scoliosis, occipito-atlanto-axial region",42617373,m41,Scoliosis,0.9,TRUE
M41.22,"Other idiopathic scoliosis, cervical region",42617374,m41,Scoliosis,0.9,TRUE
M41.23,"Other idiopathic scoliosis, cervicothoracic region",42617375,m41,Scoliosis,0.9,TRUE
M41.24,"Other idiopathic scoliosis, thoracic region",42617376,m41,Scoliosis,0.9,TRUE
M41.25,"Other idiopathic scoliosis, thoracolumbar region",42617377,m41,Scoliosis,0.9,TRUE
M41.26,"Other idiopathic scoliosis, lumbar region",42617378,m41,Scoliosis,0.9,TRUE
M41.27,"Other idiopathic scoliosis, lumbosacral region",42617379,m41,Scoliosis,0.9,TRUE
M41.28,"Other idiopathic scoliosis, sacral and sacrococcygeal region",42617380,m41,Scoliosis,0.9,TRUE
M41.29,"Other idiopathic scoliosis, site unspecified",42617381,m41,Scoliosis,0.9,TRUE
M41.30,"Thoracogenic scoliosis, multiple sites in spine",42617382,m41,Scoliosis,0.9,TRUE
M41.31,"Thoracogenic scoliosis, occipito-atlanto-axial region",42617383,m41,Scoliosis,0.9,TRUE
M41.32,"Thoracogenic scoliosis, cervical region",42617384,m41,Scoliosis,0.9,TRUE
M41.33,"Thoracogenic scoliosis, cervicothoracic region",42617385,m41,Scoliosis,0.9,TRUE
M41.34,"Thoracogenic scoliosis, thoracic region",42617386,m41,Scoliosis,0.9,TRUE
M41.35,"Thoracogenic scoliosis, thoracolumbar region",42617387,m41,Scoliosis,0.9,TRUE
M41.36,"Thoracogenic scoliosis, lumbar region",42617388,m41,Scoliosis,0.9,TRUE
M41.37,"Thoracogenic scoliosis, lumbosacral region",42617389,m41,Scoliosis,0.9,TRUE
M41.38,"Thoracogenic scoliosis, sacral and sacrococcygeal region",42617390,m41,Scoliosis,0.9,TRUE
M41.39,"Thoracogenic scoliosis, site unspecified",42617391,m41,Scoliosis,0.9,TRUE
M41.40,"Neuromuscular scoliosis, multiple sites in spine",42617392,m41,Scoliosis,0.9,TRUE
M41.41,"Neuromuscular scoliosis, occipito-atlanto-axial region",42617393,m41,Scoliosis,0.9,TRUE
M41.42,"Neuromuscular scoliosis, cervical region",42617394,m41,Scoliosis,0.9,TRUE
M41.43,"Neuromuscular scoliosis, cervicothoracic region",42617395,m41,Scoliosis,0.9,TRUE
M41.44,"Neuromuscular scoliosis, thoracic region",42617396,m41,Scoliosis,0.9,TRUE
M41.45,"Neuromuscular scoliosis, thoracolumbar region",42617397,m41,Scoliosis,0.9,TRUE
M41.46,"Neuromuscular scoliosis, lumbar region",42617398,m41,Scoliosis,0.9,TRUE
M41.47,"Neuromuscular scoliosis, lumbosacral region",42617399,m41,Scoliosis,0.9,TRUE
M41.48,"Neuromuscular scoliosis, sacral and sacrococcygeal region",42617400,m41,Scoliosis,0.9,TRUE
M41.49,"Neuromuscular scoliosis, site unspecified",42617401,m41,Scoliosis,0.9,TRUE
M41.50,"Other secondary scoliosis, multiple sites in spine",42617402,m41,Scoliosis,0.9,TRUE
M41.51,"Other secondary scoliosis, occipito-atlanto-axial region",42617403,m41,Scoliosis,0.9,TRUE
M41.52,"Other secondary scoliosis, cervical region",42617404,m41,Scoliosis,0.9,TRUE
M41.53,"Other secondary scoliosis, cervicothoracic region",42617405,m41,Scoliosis,0.9,TRUE
M41.54,"Other secondary scoliosis, thoracic region",42617406,m41,Scoliosis,0.9,TRUE
M41.55,"Other secondary scoliosis, thoracolumbar region",42617407,m41,Scoliosis,0.9,TRUE
M41.56,"Other secondary scoliosis, lumbar region",42617408,m41,Scoliosis,0.9,TRUE
M41.57,"Other secondary scoliosis, lumbosacral region",42617409,m41,Scoliosis,0.9,TRUE
M41.59,"Other secondary scoliosis, site unspecified",42617410,m41,Scoliosis,0.9,TRUE
M41.80,"Other forms of scoliosis, multiple sites in spine",42617411,m41,Scoliosis,0.9,TRUE
M41.81,"Other forms of scoliosis, occipito-atlanto-axial region",42617412,m41,Scoliosis,0.9,TRUE
M41.82,"Other forms of scoliosis, cervical region",42617413,m41,Scoliosis,0.9,TRUE
M41.83,"Other forms of scoliosis, cervicothoracic region",42617414,m41,Scoliosis,0.9,TRUE
M41.84,"Other forms of scoliosis, thoracic region",42617415,m41,Scoliosis,0.9,TRUE
M41.85,"Other forms of scoliosis, thoracolumbar region",42617416,m41,Scoliosis,0.9,TRUE
M41.86,"Other forms of scoliosis, lumbar region",42617417,m41,Scoliosis,0.9,TRUE
M41.87,"Other forms of scoliosis, lumbosacral region",42617418,m41,Scoliosis,0.9,TRUE
M41.88,"Other forms of scoliosis, sacral and sacrococcygeal region",42617419,m41,Scoliosis,0.9,TRUE
