source_concept_id,concept_code,cohort_name,concept_id,cohort_name_1,icd_description,points
45533052,F00,Dementia in Alzheimer disease,378419,cohort_19,Dementia in Alzheimer's disease,7.1
45571827,G81,Hemiplegia,374022,cohort_36,Hemiplegia,4.4
45538101,G30,Alzheimer disease,378419,cohort_6,Alzheimer's disease,4
45543192,I69,Sequelae of cerebrovascular disease,434056,cohort_87,Sequelae of cerebrovascular disease,3.7
45755636,R29,Other symptoms and signs involving the nervous and musculoskeletal systems,441840,cohort_72,"Other symptoms and signs involving the
nervous and musculoskeletal systems (R29·6
Tendency to fall)",3.6
45567841,N39,Other disorders of urinary system,75865,cohort_57,"Other disorders of urinary system (includes
urinary tract infection and urinary
incontinence)",3.2
45581397,F05,"Delirium, not induced by alcohol and other psychoactive substances",373995,cohort_18,"Delirium, not induced by alcohol and other
psychoactive substances",3.2
45756257,W19,Unspecified fall,436583,cohort_102,Unspecified fall,3.2
45553757,S00,Superficial injury of head,4086195,cohort_91,Superficial injury of head,3.2
45553726,R31,Unspecified haematuria,437038,cohort_103,Unspecified haematuria,3
45755312,B96,Other specified bacterial agents as the cause of diseases classified to other chapters,432545,cohort_68,"Other bacterial agents as the cause of diseases
classified to other chapters (secondary code)",2.9
45544146,R41,Other symptoms and signs involving cognitive functions and awareness,4293175,cohort_70,Other symptoms and signs involving cognitive functions and awareness,2.7
45606801,R26,Abnormalities of gait and mobility,437643,cohort_2,Abnormalities of gait and mobility,2.6
45581786,I67,Other cerebrovascular diseases,381591,cohort_51,Other cerebrovascular diseases,2.6
45592425,R56,"Convulsions, not elsewhere classified",377091,cohort_15,"Convulsions, not elsewhere classified",2.6
45755637,R40,"Somnolence, stupor and coma",376961,cohort_88,"Somnolence, stupor and coma",2.5
45756008,T83,"Complications of genitourinary prosthetic devices, implants and grafts",43021248,cohort_14,"Complications of genitourinary prosthetic
devices, implants and grafts",2.4
45544245,S06,Intracranial injury,437409,cohort_38,Intracranial injury,2.4
45597678,S42,Fracture of shoulder and upper arm,4050747,cohort_34,Fracture of shoulder and upper arm,2.3
45755369,E87,"Other disorders of fluid, electrolyte and acid-base balance",436670,cohort_54,"Other disorders of fluid, electrolyte and acid-
base balance",2.3
45538734,M25,"Other joint disorders, not elsewhere classified",73553,cohort_62,"Other joint disorders, not elsewhere classified",2.3
45581386,E86,Volume depletion,37311320,cohort_109,Volume depletion,2.3
45568140,R54,Senility,4090207,cohort_86,Senility,2.2
45590736,Z50,Care involving use of rehabilitation procedures,4180248,cohort_9,"Care involving use of rehabilitation
procedures",2.1
45566772,F03,Unspecified dementia,4182210,cohort_101,Unspecified dementia,2.1
45756256,W18,Other fall on same level,4140830,cohort_58,Other fall on same level,2.1
45756340,Z75,Problems related to medical facilities and other health care,4031369,cohort_81,"Problems related to medical facilities and
other health care",2
45557147,F01,Vascular dementia,443605,cohort_106,Vascular dementia,2
45603531,S80,Superficial injury of lower leg,4106355,cohort_92,Superficial injury of lower leg,2
45591621,L03,Cellulitis,435613,cohort_11,Cellulitis,2
45755414,H54,Visual impairment including blindness (binocular or monocular),4023310,cohort_107,Blindness and low vision,1.9
45566745,E53,Deficiency of other B group vitamins,437246,cohort_17,Deficiency of other B group vitamins,1.9
45547330,Z60,Problems related to social environment,4028922,cohort_82,Problems related to social environment,1.8
45532809,A04,Other bacterial intestinal infections,193402,cohort_50,Other bacterial intestinal infections,1.1
45532831,A41,Other sepsis,132797,cohort_66,Other septicaemia,1.6
45533007,E05,Thyrotoxicosis [hyperthyroidism],4142479,cohort_96,Thyrotoxicosis [hyperthyroidism],0.9
45534421,R02,"Gangrene, not elsewhere classified",439928,cohort_35,"Gangrene, not elsewhere classified",1
45538098,G20,Parkinson disease,381270,cohort_73,Parkinson's disease,1.8
45538102,G31,"Other degenerative diseases of nervous system, not elsewhere classified",4179873,cohort_52,"Other degenerative diseases of nervous
system, not elsewhere classified",1.2
45538102,G31,"Other degenerative diseases of nervous system, not elsewhere classified",376337,cohort_52,"Other degenerative diseases of nervous
system, not elsewhere classified",1.2
45542488,Z91,"Personal history of risk-factors, not elsewhere classified",1340204,cohort_75,"Personal history of risk-factors, not elsewhere
classified",0.5
45543186,I63,Cerebral infarction,443454,cohort_12,Cerebral Infarction,0.8
45543326,K59,Other functional intestinal disorders,196151,cohort_59,Other functional intestinal disorders,1.8
45548107,J18,"Pneumonia, organism unspecified",255848,cohort_76,"Pneumonia, organism unspecified",1.1
45552919,K26,Duodenal ulcer,4198381,cohort_23,Duodenal ulcer,1.6
45558480,R69,Unknown and unspecified causes of morbidity,4192174,cohort_99,"Unknown and unspecified causes of
morbidity",1.3
45562092,G45,Transient cerebral ischaemic attacks and related syndromes,373503,cohort_97,"Transient cerebral ischaemic attacks and
related syndromes",1.2
45562714,M41,Scoliosis,72418,cohort_85,Scoliosis,0.9
45562836,M79,"Other soft tissue disorders, not elsewhere classified",4244662,cohort_67,"Other soft tissue disorders, not elsewhere
classified",1.1
45567332,K92,Other diseases of digestive system,4201745,cohort_53,Other diseases of digestive system,0.8
45568141,R55,Syncope and collapse,4206148,cohort_95,Syncope and collapse,1.8
45569417,S72,Fracture of femur,442560,cohort_31,Fracture of femur,1.4
45571665,E16,Other disorders of pancreatic internal secretion,193983,cohort_56,"Other disorders of pancreatic internal
secretion",1.4
45573013,R13,Dysphagia,31317,cohort_24,Dysphagia,0.8
45575895,W06,Fall involving bed,436882,cohort_27,Fall involving bed,1.1
45577360,M80,Osteoporosis with pathological fracture,40480160,cohort_44,Osteoporosis with pathological fracture,0.8
45577775,R00,Abnormalities of heart beat,4262562,cohort_3,Abnormalities of heart beat,0.7
45581066,Z73,Problems related to life-management difficulty,43020485,cohort_80,"Problems related to life-management
difficulty",0.6
45581091,Z93,Artificial opening status,1340204,cohort_7,Artificial opening status,1
45581401,F10,Mental and behavioural disorders due to use of alcohol,37164793,cohort_39,"Mental and behavioural disorders due to use
of alcohol",0.7
45581753,H91,Other hearing loss,377889,cohort_61,Other hearing loss,0.9
45582391,N18,Chronic kidney disease,46271022,cohort_13,Chronic renal failure,1.4
45582756,S01,Open wound of head,4243161,cohort_43,Open wound of head,1.1
45585853,Z74,Problems related to care-provider dependency,4022076,cohort_79,Problems related to care-provider dependency,1.1
45586653,I95,Hypotension,317002,cohort_37,Hypotension,1.6
45586665,J22,Unspecified acute lower respiratory infection,4307774,cohort_100,Unspecified acute lower respiratory infection,0.7
45586686,J96,"Respiratory failure, not elsewhere classified",4256228,cohort_83,"Respiratory failure, not elsewhere classified",1.5
45587093,M81,Osteoporosis without pathological fracture,80502,cohort_45,Osteoporosis without pathological fracture,1.4
45587237,N20,Calculus of kidney and ureter,4148260,cohort_8,Calculus of kidney and ureter,0.7
