icd10_code,icd_description,points,chronic
F00,Dementia in Alzheimer's disease,7.1,TRUE
G81,Hemiplegia,4.4,TRUE
G30,Alzheimer's disease,4,TRUE
I69,Sequelae of cerebrovascular disease,3.7,TRUE
R29,"Other symptoms and signs involving the nervous and musculoskeletal systems
Tendency to fall)",3.6,FALSE
N39,Other disorders of urinary system (includes urinary tract infection and urinary incontinence),3.2,FALSE
F05,"Delirium, not induced by alcohol and other psychoactive substances",3.2,FALSE
W19,Unspecified fall,3.2,FALSE
S00,Superficial injury of head,3.2,FALSE
R31,Unspecified haematuria,3,FALSE
B96,"Other bacterial agents as the cause of diseases
classified to other chapters (secondary code)",2.9,FALSE
R41,Other symptoms and signs involving cognitive functions and awareness ,2.7,TRUE
R26,Abnormalities of gait and mobility,2.6,TRUE
I67,Other cerebrovascular diseases,2.6,TRUE
R56,"Convulsions, not elsewhere classified",2.6,FALSE
R40,"Somnolence, stupor and coma",2.5,FALSE
T83,"Complications of genitourinary prosthetic
devices, implants and grafts",2.4,FALSE
S06,Intracranial injury,2.4,FALSE
S42,Fracture of shoulder and upper arm,2.3,FALSE
E87,"Other disorders of fluid, electrolyte and acid-base balance",2.3,FALSE
M25,"Other joint disorders, not elsewhere classified",2.3,TRUE
E86,Volume depletion,2.3,FALSE
R54,Senility,2.2,TRUE
Z50,"Care involving use of rehabilitation
procedures",2.1,FALSE
F03,Unspecified dementia,2.1,TRUE
W18,Other fall on same level,2.1,TRUE
Z75,Problems related to medical facilities and other health care ,2,FALSE
F01,Vascular dementia,2,TRUE
S80,Superficial injury of lower leg ,2,FALSE
L03,Cellulitis,2,TRUE
H54,Blindness and low vision,1.9,TRUE
E53,Deficiency of other B group vitamins,1.9,FALSE
Z60,Problems related to social environment,1.8,TRUE
G20,Parkinson's disease,1.8,TRUE
R55,Syncope and collapse,1.8,FALSE
S22,"Fracture of rib(s), sternum and thoracic spine",1.8,FALSE
K59,Other functional intestinal disorders,1.8,TRUE
N17,Acute renal failure,1.8,FALSE
L89,Decubitus ulcer,1.7,FALSE
Z22,Carrier of infectious disease,1.7,FALSE
B95,Streptococcus and staphylococcus as the cause of diseases classified to other chapters ,1.7,FALSE
L97,"Ulcer of lower limb, not elsewhere classified",1.6,TRUE
R44,Other symptoms and signs involving general sensations and perceptions,1.6,FALSE
K26,Duodenal ulcer,1.6,FALSE
I95,Hypotension,1.6,FALSE
N19,Unspecified renal failure,1.6,FALSE
A41,Other septicaemia,1.6,FALSE
Z87,Personal history of other diseases and conditions,1.5,TRUE
J96,"Respiratory failure, not elsewhere classified",1.5,FALSE
X59,Exposure to unspecified factor,1.5,FALSE
M19,Other arthrosis,1.5,TRUE
G40,Epilepsy,1.5,TRUE
M81,Osteoporosis without pathological fracture,1.4,TRUE
S72,Fracture of femur,1.4,FALSE
S32,Fracture of lumbar spine and pelvis,1.4,FALSE
E16,"Other disorders of pancreatic internal
secretion",1.4,FALSE
R94,Abnormal results of function studies,1.4,FALSE
N18,Chronic renal failure,1.4,TRUE
R33,Retention of urine,1.3,FALSE
R69,Unknown and unspecified causes of morbidity,1.3,FALSE
N28,"Other disorders of kidney and ureter, not elsewhere classified",1.3,FALSE
R32,Unspecified urinary incontinence,1.2,TRUE
G31,"Other degenerative diseases of nervous
system, not elsewhere classified",1.2,TRUE
Y95,Nosocomial condition,1.2,FALSE
S09,Other and unspecified injuries of head,1.2,FALSE
R45,Symptoms and signs involving emotional state,1.2,FALSE
G45,Transient cerebral ischaemic attacks and related syndromes,1.2,FALSE
Z74,Problems related to care-provider dependency,1.1,TRUE
M79,"Other soft tissue disorders, not elsewhere
classified",1.1,FALSE
W06,Fall involving bed,1.1,FALSE
S01,Open wound of head,1.1,FALSE
A04,Other bacterial intestinal infections,1.1,FALSE
A09,"Diarrhoea and gastroenteritis of presumed
infectious origin",1.1,FALSE
J18,"Pneumonia, organism unspecified",1.1,FALSE
J69,Pneumonitis due to solids and liquids,1,FALSE
R47,"Speech disturbances, not elsewhere classified",1,FALSE
E55,Vitamin D deficiency,1,FALSE
Z93,Artificial opening status,1,FALSE
R02,"Gangrene, not elsewhere classified",1,FALSE
R63,Symptoms and signs concerning food and fluid intake,0.9,FALSE
H91,Other hearing loss,0.9,TRUE
W10,Fall on and from stairs and steps,0.9,FALSE
W01,"Fall on same level from slipping, tripping and
stumbling",0.9,FALSE
E05,Thyrotoxicosis [hyperthyroidism],0.9,TRUE
M41,Scoliosis,0.9,TRUE
R13,Dysphagia,0.8,FALSE
Z99,Dependence on enabling machines and devices,0.8,TRUE
U80,"Agent resistant to penicillin and related
antibiotics",0.8,FALSE
M80,Osteoporosis with pathological fracture,0.8,TRUE
K92,Other diseases of digestive system,0.8,FALSE
I63,Cerebral Infarction,0.8,FALSE
N20,Calculus of kidney and ureter,0.7,TRUE
F10,Mental and behavioural disorders due to use of alcohol,0.7,TRUE
Y84,Other medical procedures as the cause of abnormal reaction of the patient,0.7,FALSE
R00,Abnormalities of heart beat,0.7,FALSE
J22,Unspecified acute lower respiratory infection,0.7,FALSE
Z73,"Problems related to life-management
difficulty",0.6,FALSE
R79,Other abnormal findings of blood chemistry,0.6,FALSE
Z91,"Personal history of risk-factors, not elsewhere classified",0.5,TRUE
S51,Open wound of forearm,0.5,FALSE
F32,Depressive episode,0.5,FALSE
M48,Spinal stenosis (secondary code only),0.5,TRUE
E83,Disorders of mineral metabolism,0.4,FALSE
M15,Polyarthrosis,0.4,TRUE
D64,Other anaemias,0.4,FALSE
L08,Other local infections of skin and subcutaneous tissue,0.4,FALSE
R11,Nausea and vomiting,0.3,FALSE
K52,Other noninfective gastroenteritis and colitis,0.3,FALSE
R50,Fever of unknown origin,0.1,FALSE
